class_index,class_name,support,selected_threshold,raw_precision,raw_recall,raw_f1,decoded_precision,decoded_recall,decoded_f1
0,attack,329,0.7,0.48155737704918034,0.7142857142857143,0.5752753977968176,0.6132930513595166,0.6170212765957447,0.6151515151515151
1,investigation,5109,0.3,0.8642698444758634,0.8375415932667841,0.8506958250497016,0.8391031390134529,0.9156390683108241,0.8757019842755522
2,mount,1418,0.3,0.942630185348632,0.7531734837799718,0.8373186985495884,0.9388111888111889,0.7574047954866009,0.8384074941451991
3,other,3223,0.0,0.8203592814371258,0.8926466025442135,0.8549777117384845,0.8927038626609443,0.8389699038163202,0.8650031989763275
