class_index,class_name,threshold,selected,precision,recall,f1,macro_f1,support
0,attack,0.3,True,0.8072727272727273,0.6747720364741642,0.7350993377483444,0.7899474628549905,329
0,attack,0.35,False,0.8072727272727273,0.6747720364741642,0.7350993377483444,0.7899474628549905,329
0,attack,0.4,False,0.8095238095238095,0.6717325227963525,0.73421926910299,0.7897285869114677,329
0,attack,0.45,False,0.8202247191011236,0.6656534954407295,0.7348993288590604,0.7898100566488016,329
0,attack,0.5,False,0.8275862068965517,0.6565349544072948,0.7322033898305084,0.7891056244444581,329
0,attack,0.55,False,0.83984375,0.6534954407294833,0.7350427350427351,0.789755442882973,329
0,attack,0.6000000000000001,False,0.8619246861924686,0.6261398176291794,0.7253521126760563,0.7872320825252631,329
0,attack,0.65,False,0.875,0.6170212765957447,0.7237076648841354,0.7866882179981107,329
0,attack,0.7,False,0.8834080717488789,0.5987841945288754,0.7137681159420289,0.7839483212738733,329
0,attack,0.75,False,0.8878504672897196,0.5775075987841946,0.699815837937385,0.7802059011286688,329
0,attack,0.8,False,0.9035532994923858,0.541033434650456,0.6768060836501901,0.7740464032422251,329
0,attack,0.8500000000000001,False,0.9111111111111111,0.49848024316109424,0.6444007858546169,0.7655399963415204,329
0,attack,0.9000000000000001,False,0.93125,0.45288753799392095,0.6094069529652352,0.7563049146545351,329
0,attack,0.95,False,0.9411764705882353,0.3404255319148936,0.5,0.7278190721515888,329
1,investigation,0.3,True,0.8347665847665847,0.7980035231943629,0.8159711798258781,0.7899474628549905,5109
1,investigation,0.35,False,0.8372239747634069,0.7792131532589548,0.8071776155717761,0.7856980888635728,5109
1,investigation,0.4,False,0.843034663178548,0.7568995889606577,0.7976485148514851,0.780888869734047,5109
1,investigation,0.45,False,0.8464833183047791,0.7349774907026816,0.7867993713986381,0.776085090560288,5109
1,investigation,0.5,False,0.8549492085991023,0.7083577999608534,0.7747805609077286,0.7714136858450861,5109
1,investigation,0.55,False,0.8641546851760039,0.6823253082795068,0.762550585147107,0.7688153786341972,5109
1,investigation,0.6000000000000001,False,0.8743427970557308,0.6510080250538266,0.7463255918321554,0.7611575299049862,5109
1,investigation,0.65,False,0.8848860118209964,0.6153846153846154,0.7259293465712308,0.7526153047223154,5109
1,investigation,0.7,False,0.8963302752293578,0.5736934820904287,0.6996061582527748,0.7423523145744853,5109
1,investigation,0.75,False,0.9098025867937373,0.5231943628890193,0.6643469616005965,0.7292971000940532,5109
1,investigation,0.8,False,0.925983638488508,0.4652573889215111,0.6193329859301719,0.7133385920155313,5109
1,investigation,0.8500000000000001,False,0.944900918318028,0.3826580544137796,0.5447199777096684,0.6886609147424281,5109
1,investigation,0.9000000000000001,False,0.9584214235377027,0.26619690741828145,0.41666666666666663,0.6484184253651016,5109
1,investigation,0.95,False,0.9757009345794393,0.10217263652378156,0.18497519489723602,0.5802267542918509,5109
2,mount,0.3,True,0.8892561983471075,0.7588152327221439,0.8188736681887367,0.7899474628549905,1418
2,mount,0.35,False,0.8924103419516264,0.7545839210155149,0.8177302254489874,0.7893488032673232,1418
2,mount,0.4,False,0.8977176669484361,0.7489421720733427,0.8166089965397922,0.7887968125758417,1418
2,mount,0.45,False,0.9054640069384216,0.7362482369534555,0.8121353558926488,0.7869732466188322,1418
2,mount,0.5,False,0.910873440285205,0.7207334273624824,0.804724409448819,0.7847110226654371,1418
2,mount,0.55,False,0.9228624535315985,0.7002820874471086,0.7963111467522053,0.7820249719696036,1418
2,mount,0.6000000000000001,False,0.9267364414843007,0.68688293370945,0.7889833940866748,0.7798013019207743,1418
2,mount,0.65,False,0.9364448857994042,0.6650211565585331,0.7777319587628865,0.7761930821213614,1418
2,mount,0.7,False,0.9426229508196722,0.6488011283497884,0.7685881370091896,0.7731313930197867,1418
2,mount,0.75,False,0.9518201284796574,0.6269393511988717,0.7559523809523809,0.7689675733128115,1418
2,mount,0.8,False,0.9627959413754228,0.6022566995768688,0.740997830802603,0.7641017767657707,1418
2,mount,0.8500000000000001,False,0.9676646706586827,0.5698166431593794,0.717265867731913,0.7568547368308765,1418
2,mount,0.9000000000000001,False,0.9734748010610079,0.5176304654442877,0.6758747697974217,0.7443905936971348,1418
2,mount,0.95,False,0.984182776801406,0.39492242595204513,0.5636638147961751,0.7117430390685872,1418
