backbone,head,track,seed,class,threshold,matched_bouts,median_tiou,median_abs_mean_boundary_offset_frames,median_abs_start_offset_frames,median_abs_end_offset_frames
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,attack,0.25,195,0.5909090909090909,14.5,10.0,10.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,attack,0.5,122,0.7195306401249024,9.25,7.0,7.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,investigation,0.1,791,0.53125,12.0,10.0,10.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,investigation,0.25,688,0.5924336353520903,11.0,9.0,9.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,investigation,0.5,445,0.7272727272727273,8.0,7.0,7.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,mount,0.1,147,0.7894736842105263,11.0,7.0,11.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,mount,0.25,145,0.7920792079207921,11.0,7.0,11.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,44,mount,0.5,132,0.8227236099919419,10.0,7.0,10.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,attack,0.1,228,0.5221354166666667,17.0,16.0,13.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,attack,0.25,205,0.5625,16.0,15.0,12.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,attack,0.5,125,0.7053571428571429,11.5,11.0,8.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,investigation,0.1,727,0.625,10.0,8.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,investigation,0.25,663,0.6536458333333334,9.5,8.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,investigation,0.5,485,0.75,7.5,7.0,7.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,mount,0.1,176,0.8288352272727273,8.75,8.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,mount,0.25,172,0.8333333333333334,8.5,8.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,42,mount,0.5,159,0.8513513513513513,8.0,7.0,7.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,attack,0.1,228,0.542572463768116,16.5,13.5,10.5
yolo_sppf,attention,YOLO/SPPF Attention-256,43,attack,0.25,211,0.5681818181818182,15.0,13.0,10.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,attack,0.5,132,0.6994318181818182,9.0,9.0,7.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,investigation,0.1,726,0.6517857142857143,9.5,7.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,investigation,0.25,669,0.675,9.0,7.0,8.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,investigation,0.5,487,0.7647058823529411,7.0,6.0,7.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,mount,0.1,163,0.8181818181818182,9.5,6.0,10.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,mount,0.25,161,0.8201754385964912,9.5,6.0,10.0
yolo_sppf,attention,YOLO/SPPF Attention-256,43,mount,0.5,149,0.8295964125560538,9.0,6.0,10.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,attack,0.1,221,0.53125,17.0,15.0,14.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,attack,0.25,194,0.5677083333333333,15.25,14.0,13.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,attack,0.5,123,0.6875,12.0,12.0,8.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,investigation,0.1,751,0.6,11.0,9.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,investigation,0.25,672,0.6376262626262625,10.5,8.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,investigation,0.5,460,0.7591145833333333,8.0,7.0,7.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,mount,0.1,172,0.8288352272727273,9.0,7.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,mount,0.25,170,0.831439393939394,9.0,7.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,44,mount,0.5,157,0.8444767441860465,8.0,6.0,7.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,attack,0.1,229,0.5576923076923077,15.5,12.0,10.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,attack,0.25,211,0.5879120879120879,13.5,12.0,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,attack,0.5,133,0.7125,9.5,8.0,6.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,investigation,0.1,694,0.625,10.5,8.0,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,investigation,0.25,634,0.6605458221024259,10.0,8.0,8.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,investigation,0.5,468,0.7533899465826599,8.0,7.0,7.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,mount,0.1,170,0.8343137254901961,8.5,7.0,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,mount,0.25,166,0.8441295546558705,8.25,6.5,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,42,mount,0.5,157,0.8507462686567164,8.0,6.0,8.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,attack,0.1,230,0.5880736910148675,13.0,11.0,8.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,attack,0.25,214,0.5995689655172414,12.5,10.0,8.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,attack,0.5,143,0.6893203883495146,8.5,7.0,6.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,investigation,0.1,730,0.6190476190476191,10.5,8.0,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,investigation,0.25,661,0.6458333333333334,9.5,7.0,9.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,investigation,0.5,481,0.75,7.5,6.0,7.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,mount,0.1,168,0.8188468433858369,10.0,7.0,10.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,43,mount,0.25,165,0.8205128205128205,10.0,7.0,10.0
