backbone,head,n_seeds,n_videos,frame_macro_f1_present_behaviors_mean,frame_macro_f1_present_behaviors_sd,bout_macro_f1_iou25_present_behaviors_mean,bout_macro_f1_iou25_present_behaviors_sd,bout_macro_f1_iou50_present_behaviors_mean,bout_macro_f1_iou50_present_behaviors_sd,pred_bout_ratio_mean,pred_bout_ratio_sd
mobilenetv3_native,attention,3,28,0.7148426655520339,0.03297654882518212,0.6355593748792122,0.03072412907805902,0.48570595271806827,0.04064627855930111,0.66584605284753,0.023169228647766105
mobilenetv3_native,lstm,3,28,0.703306401158,0.004695367233970043,0.6259950998642477,0.00805666486673743,0.46682273543452585,0.008591585247415849,0.6991629739044806,0.025197521579367745
yolo_sppf,attention,3,28,0.7518452477484304,0.005652305391326299,0.6795077242237585,0.011115664221527297,0.5374371831280128,0.009891521173265961,0.6758575414409979,0.020693140619436206
yolo_sppf,lstm,3,28,0.7466517003077141,0.005920040350959196,0.6722245273898108,0.002079464885544312,0.5416423011480057,0.005156064004064064,0.6860331527982931,0.022800072340246644
