run_name,backend,stream,head,hidden_dim,seed,batch,epochs_completed,n_train_windows,n_val_windows,command_elapsed_s,mean_epoch_elapsed_s,sd_epoch_elapsed_s,train_windows_per_s_command,train_val_windows_per_s_command,train_windows_per_s_mean_epoch,train_val_windows_per_s_mean_epoch,max_cpu_percent_total,max_ram_used_gb,max_proc_tree_rss_gb,max_gpu_util_pct,max_gpu_mem_used_mb,max_gpu_power_w
yolo_sppf_full_attention256_seed43,yolo_sppf,full,attention,256,43,16,10,20414,10079,1988.045,27.54585327420916,71.16407523834012,102.683792368885,153.38183994829092,741.0915827070557,1106.990576637908,51.4,8.514,0.982,38.0,977.0,23.86
yolo_sppf_full_attention256_seed44,yolo_sppf,full,attention,256,44,16,10,20414,10079,2002.696,32.49398863315582,77.54799661659405,101.93259486212584,152.25975385180777,628.2392792853448,938.4197287767228,52.2,8.533,0.984,40.0,977.0,23.3
yolo_sppf_full_attention512_seed42,yolo_sppf,full,attention,512,42,16,10,20414,10079,2070.084,28.759948015213013,74.32210677116876,98.61435574595042,147.30320122275234,709.8065681204189,1060.2592182666765,52.2,8.579,1.02,40.0,1042.0,26.26
yolo_sppf_full_attention512_seed43,yolo_sppf,full,attention,512,43,16,10,20414,10079,2065.9,33.73241003354391,79.91957374860091,98.8140761895542,147.6015295996902,605.1746667285283,903.9674298301665,56.5,9.24,1.018,40.0,1042.0,27.88
yolo_sppf_full_attention512_seed44,yolo_sppf,full,attention,512,44,16,10,20414,10079,2052.512,33.32361205418905,79.40232281702733,99.45861461467705,148.5642958482094,612.598657276524,915.05686569673,52.0,8.615,1.016,40.0,1051.0,25.92
yolo_sppf_full_attention896_seed42,yolo_sppf,full,attention,896,42,16,10,20414,10079,2428.076,60.3663318497794,80.4463841407664,84.07479831768033,125.58503111105252,338.1686343109251,505.1325642227412,53.4,8.758,1.05,45.0,1141.0,53.19
yolo_sppf_full_attention896_seed43,yolo_sppf,full,attention,896,43,16,2,20414,10079,235.86805629730225,293.67031955718994,0.0,173.0967755486904,258.559810757628,69.51332375291176,103.8341227195816,,,,,,
yolo_sppf_full_lstm256_seed42,yolo_sppf,full,lstm,256,42,16,10,20414,10079,2006.231,34.16393291950226,73.32538887718394,101.75298856412846,151.99147057342847,597.5307365255597,892.549463548246,53.3,9.83,0.975,34.0,1237.0,19.66
yolo_sppf_full_lstm256_seed43,yolo_sppf,full,lstm,256,43,16,10,20414,10079,2005.399,24.55605074763298,64.03944169523712,101.79520384721444,152.05452879950573,831.322601903637,1241.7713382897816,51.4,8.675,0.972,35.0,922.0,19.6
yolo_sppf_full_lstm256_seed44,yolo_sppf,full,lstm,256,44,16,10,20414,10079,1993.883,24.32096838951111,63.886975424405456,102.38313883011187,152.93274479997072,839.3580252669518,1253.774089569176,51.7,8.706,0.975,34.0,922.0,19.17
yolo_sppf_full_lstm512_seed42,yolo_sppf,full,lstm,512,42,16,10,20414,10079,1960.162,23.9179947078228,65.57494853542494,104.1444533666095,155.56367279847277,853.4996453244988,1274.8978487743675,51.9,8.875,1.017,44.0,986.0,24.53
yolo_sppf_full_lstm512_seed43,yolo_sppf,full,lstm,512,43,16,10,20414,10079,1966.111,38.39273729324341,83.05157450392636,103.82933618702096,155.0929728789473,531.7151482083196,794.2387584165912,52.9,8.784,1.022,40.0,986.0,24.55
yolo_sppf_full_lstm512_seed44,yolo_sppf,full,lstm,512,44,16,10,20414,10079,1971.184,27.304874556405203,70.30830596734434,103.56212306918076,154.69382868367438,747.6320741862286,1116.7603036230366,51.3,8.776,1.016,46.0,986.0,22.95
yolo_sppf_full_lstm896_seed42,yolo_sppf,full,lstm,896,42,16,10,20414,10079,2046.288,39.430114936828616,86.46713183510101,99.76112844330808,149.01616976691452,517.726109414225,773.3429143905145,51.7,8.808,1.075,40.0,1128.0,43.23
yolo_sppf_full_lstm896_seed43,yolo_sppf,full,lstm,896,43,16,10,20414,10079,2033.452,27.988502264022827,72.83184258264116,100.39086243491364,149.95682219201635,729.3709326576114,1089.4830924624546,51.3,8.791,1.075,30.0,1128.0,41.11
yolo_sppf_full_lstm896_seed44,yolo_sppf,full,lstm,896,44,16,10,20414,10079,2044.797,28.15276506968907,72.92106227374518,99.83387103952128,149.12482755011865,725.1152755144083,1083.1262905976707,51.2,8.806,1.109,33.0,1128.0,43.39
yolo_sppf_no_group_visual_attention256_seed42,yolo_sppf,no_group_visual,attention,256,42,16,10,20414,10079,2074.456,40.507925844192506,82.79620090103248,98.40652199902046,146.99275376291422,503.9507596246549,752.7662639969922,51.4,8.215,0.956,37.0,954.0,19.78
yolo_sppf_no_group_visual_attention256_seed43,yolo_sppf,no_group_visual,attention,256,43,16,10,20414,10079,2215.441,29.2559717297554,65.38466590090847,92.14418258035307,137.6385107976245,697.772071581458,1042.2829322393163,55.2,8.334,0.956,37.0,954.0,19.37
yolo_sppf_no_group_visual_attention256_seed44,yolo_sppf,no_group_visual,attention,256,44,16,10,20414,10079,2367.496,187.1417442560196,264.57432569745595,86.22612245173804,128.79852806509493,109.08309143508136,162.9406636195717,50.9,8.211,0.96,37.0,954.0,20.13
yolo_sppf_no_group_visual_attention512_seed42,yolo_sppf,no_group_visual,attention,512,42,16,10,20414,10079,1981.376,38.900976705551145,83.2137593935995,103.02940986465973,153.8980990988081,524.7683150610184,783.8620667755282,52.6,8.319,0.985,40.0,994.0,40.44
yolo_sppf_no_group_visual_attention512_seed43,yolo_sppf,no_group_visual,attention,512,43,16,10,20414,10079,1947.025,27.18659108025687,69.46933765981935,104.84713858322311,156.61329464182535,750.8848733456994,1121.6191066390911,51.6,8.392,0.99,39.0,996.0,23.98
yolo_sppf_no_group_visual_attention512_seed44,yolo_sppf,no_group_visual,attention,512,44,16,10,20414,10079,1971.371,28.09893662588937,69.82316751655871,103.5522993896126,154.6791547608238,726.5043610650824,1085.2012090701264,52.5,8.247,0.991,40.0,996.0,24.02
yolo_sppf_no_group_visual_attention896_seed42,yolo_sppf,no_group_visual,attention,896,42,16,10,20414,10079,2066.951,33.466777324676514,79.95088387583479,98.76383136320116,147.52647740560857,609.9780627801251,911.1424056213558,51.1,8.277,1.049,39.0,1090.0,46.08
