epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other
1,0.906149769312816,0.6149701185460958,0.683816878107332,0.7198134735588848,0.6417210851243886,171.71254754066467,5e-05,5e-05,50.9,6.62,nan,nan,nan,nan,0.2969004893964111,0.5531914893617021,0.386411889596603,0.7910282034199423,0.6972010178117048,0.741156887224303,0.8529111338100103,0.5888575458392101,0.6967042136003337,0.6716867469879518,0.8302823456407075,0.7426113500763147
2,0.6203851709755424,0.7622220045067111,0.7198535231341209,0.7098918543506301,0.6681622113522105,179.47512555122375,5e-05,5e-05,50.7,6.68,nan,nan,nan,nan,0.5,0.44984802431610943,0.4736,0.8304172274562585,0.6038363671951458,0.6992293744333636,0.881729920564872,0.7045133991537377,0.7832222657781263,0.5922998986828774,0.9069190195470059,0.7165972051973524
3,0.5757355939970589,0.7820613304594886,0.6295752100469101,0.7623772199622978,0.6655368220197209,180.28402662277222,5e-05,5e-05,50.8,6.69,nan,nan,nan,nan,0.3349282296650718,0.6382978723404256,0.43933054393305443,0.7236081533313051,0.9311019769035036,0.8143456304031499,0.9353169469598965,0.5098730606488011,0.6599726152441807,0.9472684085510689,0.6186782500775675,0.7484984984984985
4,0.5346684102786465,0.7986675810718135,0.6436963451109708,0.7442206568111915,0.6859874336911223,179.9604570865631,5e-05,5e-05,50.8,6.69,nan,nan,nan,nan,0.2685009487666034,0.8601823708206687,0.4092552422270427,0.8767416934619507,0.6404384419651595,0.7401877615654339,0.7314121037463976,0.8949224259520452,0.8049476688867744,0.7523889825744801,0.8305926155755508,0.7895590620852382
5,0.5099420248323521,0.8072891153130205,0.5622919006236193,0.7908522670899891,0.7195503638914371,180.11710476875305,5e-05,5e-05,50.8,6.54,nan,nan,nan,nan,0.3649754500818331,0.6778115501519757,0.47446808510638305,0.8381190178942988,0.7884126052064984,0.8125063035804336,0.860738255033557,0.7235543018335684,0.7862068965517242,0.7763688760806916,0.8358672044678871,0.8050201703272075
6,0.5009813705885485,0.8146859998040561,0.5300919467361556,0.7909514832820717,0.7683949792348835,179.95841932296753,5e-05,5e-05,50.7,6.53,nan,nan,nan,nan,0.6363636363636364,0.7021276595744681,0.6676300578034681,0.8383466782081801,0.7582697201017812,0.796300102774923,0.9074074074074074,0.7602256699576869,0.8273215656178051,0.7138469413872537,0.8653428482780019,0.782328190743338
7,0.48933668215656917,0.8183109630645635,0.5880918935857832,0.7782518106955055,0.7035383284641241,180.2543797492981,5e-05,5e-05,50.8,6.54,nan,nan,nan,nan,0.4665071770334928,0.5927051671732523,0.5220883534136547,0.7954107211723872,0.8073987081620669,0.8013598834385623,0.9284862932061978,0.5493653032440057,0.6902968542312804,0.754950495049505,0.8516909711448961,0.800408222772999
8,0.4711005240970738,0.8238953659253454,0.5848369994082503,0.7692231372159937,0.7152642384454084,180.22038054466248,5e-05,5e-05,50.8,6.53,nan,nan,nan,nan,0.3254237288135593,0.8753799392097265,0.47446457990115326,0.863768115942029,0.6999412800939518,0.7732727862471619,0.890742285237698,0.7531734837799718,0.8162017577378679,0.7317769130998703,0.8752714861929879,0.7971178298954507
9,0.45557437809096607,0.8322229842265112,0.5643947751416515,0.787578132751265,0.7528552374918462,179.97108483314514,5e-05,5e-05,50.9,6.56,nan,nan,nan,nan,0.7208480565371025,0.6200607902735562,0.6666666666666667,0.8106106106106106,0.7925229986298689,0.8014647664291369,0.91356783919598,0.6410437235543018,0.7534189805221716,0.7293746715712034,0.8613093391250388,0.7898705363494096
10,0.4391759609202139,0.8362888213970804,0.6528825471658142,0.7706121639051493,0.6672818243760085,180.38283443450928,5e-05,5e-05,50.9,6.6,nan,nan,nan,nan,0.2936170212765957,0.8389057750759878,0.43498817966903064,0.7839708561020037,0.8424349187707967,0.8121520898197945,0.9505409582689336,0.43370944992947813,0.5956416464891041,0.8567621585609594,0.7980142724170028,0.8263453815261045
