class_index,class_name,support,selected_threshold,raw_precision,raw_recall,raw_f1,decoded_precision,decoded_recall,decoded_f1
0,attack,329,0.55,0.4955357142857143,0.6747720364741642,0.5714285714285714,0.5630026809651475,0.6382978723404256,0.5982905982905983
1,investigation,5109,0.3,0.8432595140829929,0.7676649050694853,0.8036885245901639,0.8154806964420893,0.8434135838715991,0.8292119695949197
2,mount,1418,0.55,0.7979924717691342,0.8970380818053597,0.8446215139442231,0.8268974700399467,0.8758815232722144,0.8506849315068493
3,other,3223,0.0,0.7690490253987006,0.8079429103319888,0.7880163413527008,0.8280821917808219,0.7502327024511325,0.7872375061045092
