epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other
1,0.6703451861361724,0.7541883021455864,0.5257061863388305,0.8250818533584681,0.7339582102789559,165.0580894947052,5e-05,5e-05,50.7,6.43,nan,nan,nan,nan,0.38832997987927564,0.5866261398176292,0.4673123486682809,0.7968803565306822,0.9099628107261695,0.8496755917024583,0.9518324607329843,0.6410437235543018,0.7661188369152971,0.9183673469387755,0.7958423828730996,0.8527260638297872
2,0.5346890614487722,0.8107181346135005,0.6965957412932304,0.7601944637364818,0.6974508382139888,168.58422017097473,5e-05,5e-05,50.7,6.64,nan,nan,nan,nan,0.5684931506849316,0.5045592705167173,0.534621578099839,0.7953340402969247,0.733998825601879,0.7634364820846905,0.9349112426035503,0.5571227080394923,0.6981882456915598,0.699313934232316,0.9171579273968352,0.7935570469798657
3,0.5003190230297911,0.8191927108846869,0.5346522022785235,0.8148625855739656,0.7490270713220821,167.32301497459412,5e-05,5e-05,50.7,6.66,nan,nan,nan,nan,0.4624145785876993,0.6170212765957447,0.5286458333333333,0.8484911550468263,0.7980035231943629,0.8224732701230584,0.915695067264574,0.7200282087447109,0.8061587050927754,0.7827956989247312,0.9035060502637294,0.8388304767391617
4,0.4807174241106058,0.8275693151758597,0.4951192079433462,0.8334160134934021,0.7530271690376809,167.6322464942932,5e-05,5e-05,50.7,6.44,nan,nan,nan,nan,0.34087481146304677,0.6869300911854104,0.4556451612903227,0.8638933764135702,0.8373458602466236,0.850412483848524,0.9390034364261168,0.7708039492242595,0.8466305189775368,0.8493939393939394,0.8696866273658083,0.85942051203434
5,0.4552293939218159,0.8345253257568336,0.5041601173043813,0.824684988590138,0.7379230813647403,167.4304714202881,5e-05,5e-05,50.5,6.43,nan,nan,nan,nan,0.33008356545961004,0.7203647416413373,0.45272206303724927,0.8525463876825898,0.8453709140732042,0.8489434889434889,0.9415204678362573,0.6812411847672779,0.79050736497545,0.8534720097889262,0.8656531182128452,0.8595194085027725
6,0.43953277215326564,0.8405506025276771,0.6311116628681442,0.7248734993550947,0.6954789813420358,167.16150832176208,5e-05,5e-05,50.6,6.42,nan,nan,nan,nan,0.3796875,0.7386018237082067,0.5015479876160991,0.8735769922109047,0.5707574867880212,0.6904226352551202,0.8994368463395012,0.7884344146685472,0.8402856069146938,0.6235076163030053,0.9398076326403971,0.7496596955822298
7,0.43644695574283415,0.842314098167924,0.5299958515824521,0.8162516122631214,0.7427447775916957,167.44364666938782,5e-05,5e-05,50.6,6.43,nan,nan,nan,nan,0.3955094991364421,0.6960486322188449,0.5044052863436124,0.8643067846607669,0.8028968486983754,0.832470826991375,0.9355149181905679,0.685472496473907,0.7912087912087913,0.7870794078061911,0.9072292894818492,0.8428942058230037
8,0.41885336287623287,0.8456451454883903,0.584716220657223,0.7275523365413236,0.7043070620902185,167.69741201400757,5e-05,5e-05,50.8,6.47,nan,nan,nan,nan,0.3915094339622642,0.756838905775076,0.5160621761658031,0.8995882166613874,0.5558817772558231,0.6871521896927172,0.9024390243902439,0.8349788434414669,0.8673992673992674,0.6151990349819059,0.9494260006205398,0.7466146151030865
9,0.414538251633134,0.8456451454883903,0.4694917134647276,0.8410556602837583,0.7799630008432259,167.10268425941467,5e-05,5e-05,50.7,6.43,nan,nan,nan,nan,0.4691119691119691,0.7386018237082067,0.5737898465171193,0.864989939637827,0.8414562536699941,0.8530608195257466,0.9319371727748691,0.7531734837799718,0.8330733229329172,0.8322206095791002,0.8895439031957804,0.8599280143971205
10,0.3907922069428249,0.8583815028901735,0.47681634193212385,0.8419486060125012,0.7746702446783424,166.76030611991882,5e-05,5e-05,50.6,6.45,nan,nan,nan,nan,0.3960546282245827,0.7933130699088146,0.52834008097166,0.8793067877037343,0.8342141319240556,0.8561671353957413,0.9409246575342466,0.7750352609308886,0.8499613302397524,0.8411160058737152,0.8886130933912504,0.8642124321062161
