class_index,class_name,support,selected_threshold,raw_precision,raw_recall,raw_f1,decoded_precision,decoded_recall,decoded_f1
0,attack,329,0.75,0.6458333333333334,0.7537993920972644,0.6956521739130436,0.7702702702702703,0.6930091185410334,0.7296000000000001
1,investigation,5109,0.3,0.8705458680818802,0.8990017615971815,0.8845450168512278,0.8540918880114861,0.9314934429438246,0.8911150641325719
2,mount,1418,0.3,0.9249394673123487,0.8081805359661495,0.8626270229582236,0.9224,0.81311706629055,0.8643178410794602
3,other,3223,0.0,0.8820754716981132,0.8703071672354948,0.876151803841949,0.9138804457953394,0.8395904436860068,0.8751617076326003
