cache,split,geometry,keypoint,n_keypoints,contained_n,contained_pct
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,actual_crop,right_wing,78872,78872,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,bbox_x1.20,all_keypoints,394360,320416,81.24961963688001
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,bbox_x1.20,axis_endpoint_1,78872,78864,99.98985698346688
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,bbox_x1.20,axis_endpoint_2,78872,78870,99.99746424586672
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,bbox_x1.20,centroid,78872,78872,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,bbox_x1.20,left_wing,78872,39180,49.67542347094025
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,bbox_x1.20,right_wing,78872,44630,56.58535348412618
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,raw_bbox,all_keypoints,394360,243624,61.77705649660209
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,raw_bbox,axis_endpoint_1,78872,78624,99.68556648747338
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,raw_bbox,axis_endpoint_2,78872,78650,99.718531291206
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,raw_bbox,centroid,78872,78872,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,raw_bbox,left_wing,78872,3664,4.6455015721675625
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w8s4,test,raw_bbox,right_wing,78872,3814,4.835683132163505
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,actual_crop,all_keypoints,788710,788710,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,actual_crop,axis_endpoint_1,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,actual_crop,axis_endpoint_2,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,actual_crop,centroid,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,actual_crop,left_wing,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,actual_crop,right_wing,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,bbox_x1.20,all_keypoints,788710,640781,81.24418354021124
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,bbox_x1.20,axis_endpoint_1,157742,157726,99.98985685486427
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,bbox_x1.20,axis_endpoint_2,157742,157738,99.99746421371607
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,bbox_x1.20,centroid,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,bbox_x1.20,left_wing,157742,78331,49.65766885166918
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,bbox_x1.20,right_wing,157742,89244,56.57592778080664
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,raw_bbox,all_keypoints,788710,487242,61.777079027779536
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,raw_bbox,axis_endpoint_1,157742,157246,99.68556250079243
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,raw_bbox,axis_endpoint_2,157742,157298,99.71852772248356
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,raw_bbox,centroid,157742,157742,100.0
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,raw_bbox,left_wing,157742,7328,4.645560472163406
outputs/controlled_comparison_runs/fly_run_20260602/fly/heldout_npz_cache/w16s4,test,raw_bbox,right_wing,157742,7628,4.835744443458306
