class_name,n_matched_animals,mean_oks,pck_at_0_10_centroid,pck_at_0_10_left_wing,pck_at_0_10_right_wing,pck_at_0_10_axis_endpoint_1,pck_at_0_10_axis_endpoint_2
lunge,2995,0.9199794388220675,0.998330550918197,0.8743093922651933,0.8906574394463668,0.9859766277128548,0.9869782971619365
wing_threat,3441,0.9508170757413305,1.0,0.9831670822942643,0.9777914867365823,0.9747093023255814,0.9781976744186046
charge,35,0.8584630955541158,1.0,0.7419354838709677,0.7931034482758621,0.9428571428571428,0.9142857142857143
hold,315,0.8469943474409236,0.9968253968253968,0.6900826446280992,0.7215686274509804,0.9365079365079365,0.9301587301587302
tussle,475,0.855165634378211,0.9957805907172996,0.7662921348314606,0.7603686635944701,0.9451476793248945,0.9388185654008439
other,125236,0.9422543412271462,0.9995846014970323,0.9694431092494679,0.9747144626393285,0.9598022064051254,0.9601776627443462
