keypoint,rmse_px,pck_at_0_05,pck_at_0_10,pck_at_0_20
Centroid,0.14350136471287073,0.9981123527635155,0.9995469646632438,0.9997281787979463
Left wing,0.7630097477454176,0.8429609328122213,0.9662277216483143,0.9841395974895805
Right wing,0.7304401728165733,0.8543395981221877,0.9714998131934179,0.9849904972303893
Axis endpoint 1,0.5613952100811984,0.9479084868619753,0.9606689821806101,0.9684913923286016
Axis endpoint 2,0.5571921261676125,0.9489957716701902,0.9610918151615826,0.9684083358501964
