run,window,movie_id,collar_frames,collar_seconds,heldout_median_bout_frames,gt_bouts_total,pred_bouts_total,present_classes,macro_precision,macro_recall,macro_f1,per_class_json
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,10,0.333333,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.44210089488570503,0.22299714804252008,0.2803378735086052,"{""charge"": {""f1"": 0.4, ""fn"": 7, ""fp"": 8, ""precision"": 0.38461538461538464, ""recall"": 0.4166666666666667, ""tp"": 5}, ""hold"": {""f1"": 0.35714285714285715, ""fn"": 16, ""fp"": 2, ""precision"": 0.7142857142857143, ""recall"": 0.23809523809523808, ""tp"": 5}, ""lunge"": {""f1"": 0.04065040650406504, ""fn"": 565, ""fp"": 143, ""precision"": 0.0949367088607595, ""recall"": 0.02586206896551724, ""tp"": 15}, ""tussle"": {""f1"": 0.2857142857142857, ""fn"": 46, ""fp"": 9, ""precision"": 0.55, ""recall"": 0.19298245614035087, ""tp"": 11}, ""wing_threat"": {""f1"": 0.3181818181818182, ""fn"": 22, ""fp"": 8, ""precision"": 0.4666666666666667, ""recall"": 0.2413793103448276, ""tp"": 7}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,11,0.366667,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.47461631195808424,0.24759484919194538,0.3070547988596769,"{""charge"": {""f1"": 0.48000000000000004, ""fn"": 6, ""fp"": 7, ""precision"": 0.46153846153846156, ""recall"": 0.5, ""tp"": 6}, ""hold"": {""f1"": 0.35714285714285715, ""fn"": 16, ""fp"": 2, ""precision"": 0.7142857142857143, ""recall"": 0.23809523809523808, ""tp"": 5}, ""lunge"": {""f1"": 0.048780487804878044, ""fn"": 562, ""fp"": 140, ""precision"": 0.11392405063291139, ""recall"": 0.03103448275862069, ""tp"": 18}, ""tussle"": {""f1"": 0.2857142857142857, ""fn"": 46, ""fp"": 9, ""precision"": 0.55, ""recall"": 0.19298245614035087, ""tp"": 11}, ""wing_threat"": {""f1"": 0.36363636363636365, ""fn"": 21, ""fp"": 7, ""precision"": 0.5333333333333333, ""recall"": 0.27586206896551724, ""tp"": 8}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,12,0.4,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.5544373348170816,0.2883890761386224,0.3579050434660191,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.05420054200542005, ""fn"": 560, ""fp"": 138, ""precision"": 0.12658227848101267, ""recall"": 0.034482758620689655, ""tp"": 20}, ""tussle"": {""f1"": 0.33766233766233766, ""fn"": 44, ""fp"": 7, ""precision"": 0.65, ""recall"": 0.22807017543859648, ""tp"": 13}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,13,0.433333,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.5682348031715121,0.29293233082706766,0.36472586492098685,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.06233062330623307, ""fn"": 557, ""fp"": 135, ""precision"": 0.14556962025316456, ""recall"": 0.039655172413793106, ""tp"": 23}, ""tussle"": {""f1"": 0.3636363636363636, ""fn"": 43, ""fp"": 6, ""precision"": 0.7, ""recall"": 0.24561403508771928, ""tp"": 14}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,14,0.466667,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.5732980943107526,0.29431164117189523,0.36689388660120364,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.07317073170731708, ""fn"": 553, ""fp"": 131, ""precision"": 0.17088607594936708, ""recall"": 0.04655172413793104, ""tp"": 27}, ""tussle"": {""f1"": 0.3636363636363636, ""fn"": 43, ""fp"": 6, ""precision"": 0.7, ""recall"": 0.24561403508771928, ""tp"": 14}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,15,0.5,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.5745639170955628,0.2946564687581021,0.36743589202125787,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.07588075880758807, ""fn"": 552, ""fp"": 130, ""precision"": 0.17721518987341772, ""recall"": 0.04827586206896552, ""tp"": 28}, ""tussle"": {""f1"": 0.3636363636363636, ""fn"": 43, ""fp"": 6, ""precision"": 0.7, ""recall"": 0.24561403508771928, ""tp"": 14}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,16,0.533333,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.5870955626651829,0.29885489586034053,0.37371470805617146,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.08130081300813008, ""fn"": 550, ""fp"": 128, ""precision"": 0.189873417721519, ""recall"": 0.05172413793103448, ""tp"": 30}, ""tussle"": {""f1"": 0.38961038961038963, ""fn"": 42, ""fp"": 5, ""precision"": 0.75, ""recall"": 0.2631578947368421, ""tp"": 15}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,17,0.566667,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.5983613854499931,0.302708495376372,0.3794515186710309,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.08401084010840108, ""fn"": 549, ""fp"": 127, ""precision"": 0.1962025316455696, ""recall"": 0.05344827586206897, ""tp"": 31}, ""tussle"": {""f1"": 0.41558441558441556, ""fn"": 41, ""fp"": 4, ""precision"": 0.8, ""recall"": 0.2807017543859649, ""tp"": 16}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,18,0.6,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.6021588538044235,0.3037429781349926,0.38107753493119345,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.0921409214092141, ""fn"": 546, ""fp"": 124, ""precision"": 0.21518987341772153, ""recall"": 0.05862068965517241, ""tp"": 34}, ""tussle"": {""f1"": 0.41558441558441556, ""fn"": 41, ""fp"": 4, ""precision"": 0.8, ""recall"": 0.2807017543859649, ""tp"": 16}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,19,0.633333,4.0,699,213,lunge;wing_threat;charge;hold;tussle,0.6059563221588539,0.30477746089361335,0.3827035511913561,"{""charge"": {""f1"": 0.5599999999999999, ""fn"": 5, ""fp"": 6, ""precision"": 0.5384615384615384, ""recall"": 0.5833333333333334, ""tp"": 7}, ""hold"": {""f1"": 0.42857142857142855, ""fn"": 15, ""fp"": 1, ""precision"": 0.8571428571428571, ""recall"": 0.2857142857142857, ""tp"": 6}, ""lunge"": {""f1"": 0.1002710027100271, ""fn"": 543, ""fp"": 121, ""precision"": 0.23417721518987342, ""recall"": 0.06379310344827586, ""tp"": 37}, ""tussle"": {""f1"": 0.41558441558441556, ""fn"": 41, ""fp"": 4, ""precision"": 0.8, ""recall"": 0.2807017543859649, ""tp"": 16}, ""wing_threat"": {""f1"": 0.4090909090909091, ""fn"": 20, ""fp"": 6, ""precision"": 0.6, ""recall"": 0.3103448275862069, ""tp"": 9}}"
