prediction_type,class,n_videos,gt_frames_total,pred_frames_total,frame_precision_mean,frame_precision_median,frame_precision_sem,frame_recall_mean,frame_recall_median,frame_recall_sem,frame_f1_mean,frame_f1_median,frame_f1_sem,bout_precision_iou25_mean,bout_precision_iou25_median,bout_precision_iou25_sem,bout_recall_iou25_mean,bout_recall_iou25_median,bout_recall_iou25_sem,bout_f1_iou25_mean,bout_f1_iou25_median,bout_f1_iou25_sem,bout_precision_iou50_mean,bout_precision_iou50_median,bout_precision_iou50_sem,bout_recall_iou50_mean,bout_recall_iou50_median,bout_recall_iou50_sem,bout_f1_iou50_mean,bout_f1_iou50_median,bout_f1_iou50_sem
raw_windows,attack,28,19068,25152,0.3754824872560297,0.29910714285714285,0.07423387563692949,0.40711275837421457,0.16666666666666666,0.08122604205682289,0.38591584527851797,0.2140575079872204,0.07615331090204122,0.40566412143769937,0.3125,0.08023400354112527,0.37346770252856704,0.17857142857142855,0.07600732017525952,0.38418268869136346,0.25,0.07677000241191825,0.3087527296575008,0.0833333333333333,0.07022217591268667,0.29385542280725446,0.0357142857142857,0.06837926586797334,0.2991664449164833,0.05,0.06886846990926011
raw_windows,investigation,28,76698,80160,0.6963718028873954,0.705956916959251,0.02927614722561901,0.7595324559519033,0.8431829245404745,0.04033548140880532,0.7190076180776593,0.7513295023025449,0.03385871986117766,0.7387018981910056,0.763157894736842,0.02644693761537121,0.49406691924395046,0.5277777777777778,0.03957605304761447,0.5755488459855213,0.5980816831683169,0.03584516446185649,0.564926402235282,0.559299191374663,0.02988289898291099,0.39072028850145063,0.396011396011396,0.03790449374666106,0.45024195713294696,0.45189639222941713,0.036318036153623875
raw_windows,mount,28,35279,36512,0.490582010267479,0.7546073717948718,0.08529531100235083,0.5094191670411413,0.6829031002724089,0.08275008342183136,0.48208830588415613,0.6841198017668606,0.08235646493633281,0.4630252485609629,0.5625,0.08362083498945985,0.467403423802437,0.42248062015503873,0.08520955737917191,0.45913026545789515,0.4901960784313726,0.08328955121682505,0.42955313535670675,0.53125,0.08065656230705331,0.4261589609009972,0.3575581395348837,0.08177954363234594,0.4230679802928132,0.4569892473118279,0.08015537660357057
raw_windows,other,28,216683,205904,0.9695315621300918,0.9775296724759617,0.004923592606381777,0.9080358429158993,0.9191832134565174,0.008281509409234,0.9371117739141758,0.9401026793633597,0.005182643353841268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
smoothed_frames,attack,28,19068,128128,0.08737753362851293,0.02448830409356725,0.020266858390288366,0.40884000312037116,0.16666666666666666,0.08156961281786779,0.14071715969159476,0.04270235818992985,0.031090122337993395,0.05878569288901293,0.0185185185185185,0.014653181953467632,0.3315513705996357,0.14285714285714285,0.07116577443326205,0.09058695464773703,0.0352941176470588,0.01995099154931928,0.030266405161259495,0.00980392156862745,0.007590847003396968,0.21746025802286706,0.0357142857142857,0.06140901348167104,0.049053362684285576,0.01538461538461535,0.011925327453529403
smoothed_frames,investigation,28,76698,80160,0.6963718028873954,0.705956916959251,0.02927614722561901,0.7595324559519033,0.8431829245404745,0.04033548140880532,0.7190076180776593,0.7513295023025449,0.03385871986117766,0.7387018981910056,0.763157894736842,0.02644693761537121,0.49406691924395046,0.5277777777777778,0.03957605304761447,0.5755488459855213,0.5980816831683169,0.03584516446185649,0.564926402235282,0.559299191374663,0.02988289898291099,0.39072028850145063,0.396011396011396,0.03790449374666106,0.45024195713294696,0.45189639222941713,0.036318036153623875
smoothed_frames,mount,28,35279,36512,0.490582010267479,0.7546073717948718,0.08529531100235083,0.5094191670411413,0.6829031002724089,0.08275008342183136,0.48208830588415613,0.6841198017668606,0.08235646493633281,0.4630252485609629,0.5625,0.08362083498945985,0.467403423802437,0.42248062015503873,0.08520955737917191,0.45913026545789515,0.4901960784313726,0.08328955121682505,0.42955313535670675,0.53125,0.08065656230705331,0.4261589609009972,0.3575581395348837,0.08177954363234594,0.4230679802928132,0.4569892473118279,0.08015537660357057
smoothed_frames,other,28,216683,102928,0.9591596675612547,0.9730453783524905,0.007793325931002869,0.44084002013714174,0.4528728528432828,0.009098787684776288,0.6020881708821515,0.6125940370882452,0.008645724292411582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
