backbone_label,prediction_type,n_videos,frame_macro_f1_present_behaviors_mean,frame_macro_f1_present_behaviors_median,frame_macro_f1_present_behaviors_sem,bout_macro_f1_iou25_present_behaviors_mean,bout_macro_f1_iou25_present_behaviors_median,bout_macro_f1_iou25_present_behaviors_sem,bout_macro_f1_iou50_present_behaviors_mean,bout_macro_f1_iou50_present_behaviors_median,bout_macro_f1_iou50_present_behaviors_sem
YOLO-SPPF,raw_windows,28,0.7575490516310762,0.7895329814791731,0.023840902534768234,0.6908838341149776,0.7324197860962567,0.029621704713274445,0.5488029033637887,0.5870827489481065,0.0388105399258998
YOLO-SPPF,smoothed_frames,28,0.7574996495656833,0.7895329814791731,0.02385796829656744,0.6905859231369221,0.7324197860962567,0.029719028097506976,0.5485878103086235,0.5870827489481065,0.03885799758214726
MobileNetV3,smoothed_frames,28,0.6767837859292963,0.700131214470054,0.02742673294377298,0.6005937149840302,0.6212682379349046,0.03233938673417533,0.43882442978663294,0.4303925904247824,0.03580647644023841
DLC-HRNet,raw_windows,28,0.7491799358617471,0.7825823872187161,0.02737962493649048,0.6698160443808377,0.706874942966647,0.030762435443782616,0.5552445181863706,0.601332877648667,0.03789840012456254
DLC-HRNet,smoothed_frames,28,0.6378895112752111,0.644037810746688,0.0420187118446728,0.5374626910958571,0.559127889961955,0.046739901559187474,0.44264468115110184,0.4953672812408546,0.04890218334559648
