prediction_type,split,n_videos,accuracy_mean,accuracy_median,accuracy_sem,frame_macro_f1_present_behaviors_mean,frame_macro_f1_present_behaviors_median,frame_macro_f1_present_behaviors_sem,bout_macro_f1_iou10_present_behaviors_mean,bout_macro_f1_iou10_present_behaviors_median,bout_macro_f1_iou10_present_behaviors_sem,bout_macro_f1_iou25_present_behaviors_mean,bout_macro_f1_iou25_present_behaviors_median,bout_macro_f1_iou25_present_behaviors_sem,bout_macro_f1_iou50_present_behaviors_mean,bout_macro_f1_iou50_present_behaviors_median,bout_macro_f1_iou50_present_behaviors_sem,gt_bouts_total_mean,gt_bouts_total_median,gt_bouts_total_sem,pred_bouts_total_mean,pred_bouts_total_median,pred_bouts_total_sem
raw_windows,test_1,10,0.8850014963476085,0.8939548625864848,0.014931579720644754,0.7329112192806401,0.7716501712482933,0.05502367366921637,0.6637438406366448,0.6780834914611006,0.054268084217413255,0.6271210518710606,0.6500442757748262,0.05465925325000233,0.5003709096045988,0.5369871389415981,0.06500918505089535,118.5,94.5,22.52763734714416,80.0,71.5,9.197825830053533
smoothed_frames,test_1,10,0.611369037778988,0.5785719703803323,0.03162090805065218,0.6405761905713722,0.6486496899850422,0.08072674168444348,0.5520480749048025,0.5730631485375318,0.07784640205617122,0.5183965161738228,0.5319826657777322,0.0806377753519921,0.4207118877840722,0.443894045848505,0.08665879248808,118.5,94.5,22.52763734714416,173.5,184.0,15.564382416273379
raw_windows,test_2,18,0.9002614667759583,0.9052857379665393,0.009161281531172613,0.75821811174014,0.7925762434862941,0.03079179677291341,0.7288265204325778,0.7485299653237213,0.03144342442950494,0.6935354846640472,0.706874942966647,0.03696760843222043,0.585729856287355,0.6106672932330827,0.04639406636095831,46.94444444444444,43.0,5.660014678277362,37.611111111111114,34.0,4.988967494322298
smoothed_frames,test_2,18,0.5852801834445859,0.5632479959021037,0.018671596605783977,0.6363969116662327,0.644037810746688,0.04944620248822017,0.5842413024430321,0.5923350281559236,0.053806999359319485,0.5480550104969873,0.5784620851785031,0.058875524922154594,0.45482956635500726,0.5288492859878189,0.060621941735507195,46.94444444444444,43.0,5.660014678277362,92.77777777777777,84.0,7.87382341269793
raw_windows,pooled_test_1_test_2,28,0.894811477337262,0.9013537727253165,0.007905274596036453,0.7491799358617471,0.7825823872187161,0.02737962493649048,0.7055827062197446,0.7388152841781874,0.028049958203138815,0.6698160443808377,0.706874942966647,0.030762435443782616,0.5552445181863706,0.601332877648667,0.03789840012456254,72.5,50.5,10.813045716723742,52.75,40.0,5.951884899965209
smoothed_frames,pooled_test_1_test_2,28,0.5945976314211581,0.5632479959021037,0.016307444625898452,0.6378895112752111,0.644037810746688,0.0420187118446728,0.5727437211793787,0.5923350281559236,0.043613218801110895,0.5374626910958571,0.559127889961955,0.046739901559187474,0.44264468115110184,0.4953672812408546,0.04890218334559648,72.5,50.5,10.813045716723742,121.60714285714286,110.0,10.456680516422244
