,attack,investigation,mount,other
attack,0.8360079714705265,0.11621564925529683,0.03188588210614642,0.015890497168030208
investigation,0.06910219301676707,0.8180526219718898,0.026180604448616654,0.08666458056272654
mount,0.017177357634853594,0.04694010601207517,0.9323110065478046,0.003571529805266589
other,0.015252696335199347,0.06251067227239793,0.004638111896180134,0.9175985194962226
