"route","model_name","stream","head","hidden_dim","window_frames","stride_frames","seed","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","source_config"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm512_seed42","animal_visual_only","lstm","512","32","16","42","3579972","2464228","0","2464228","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm512_seed43","animal_visual_only","lstm","512","32","16","43","3579972","2464228","0","2464228","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm512_seed44","animal_visual_only","lstm","512","32","16","44","3579972","2464228","0","2464228","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm896_seed42","animal_visual_only","lstm","896","32","16","42","6954180","5838436","0","5838436","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm896_seed43","animal_visual_only","lstm","896","32","16","43","6954180","5838436","0","5838436","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_animal_visual_only_lstm896_seed44","animal_visual_only","lstm","896","32","16","44","6954180","5838436","0","5838436","256","384","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention256_seed42","full","attention","256","32","16","42","4975812","3860068","0","3860068","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention256_seed43","full","attention","256","32","16","43","4975812","3860068","0","3860068","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention256_seed44","full","attention","256","32","16","44","4975812","3860068","0","3860068","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention512_seed42","full","attention","512","32","16","42","7454404","6338660","0","6338660","256","1152","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention512_seed43","full","attention","512","32","16","43","7454404","6338660","0","6338660","256","1152","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention512_seed44","full","attention","512","32","16","44","7454404","6338660","0","6338660","256","1152","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention896_seed42","full","attention","896","32","16","42","12401092","11285348","0","11285348","256","1536","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention896_seed43","full","attention","896","32","16","43","12401092","11285348","0","11285348","256","1536","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_attention896_seed44","full","attention","896","32","16","44","12401092","11285348","0","11285348","256","1536","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm256_seed42","full","lstm","256","32","16","42","2936132","1820388","0","1820388","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm256_seed43","full","lstm","256","32","16","43","2936132","1820388","0","1820388","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm256_seed44","full","lstm","256","32","16","44","2936132","1820388","0","1820388","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm512_seed42","full","lstm","512","32","16","42","5546052","4430308","0","4430308","256","1152","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm512_seed43","full","lstm","512","32","16","43","5546052","4430308","0","4430308","256","1152","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm512_seed44","full","lstm","512","32","16","44","5546052","4430308","0","4430308","256","1152","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm896_seed42","full","lstm","896","32","16","42","11672772","10557028","0","10557028","256","1536","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm896_seed43","full","lstm","896","32","16","43","11672772","10557028","0","10557028","256","1536","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_full_lstm896_seed44","full","lstm","896","32","16","44","11672772","10557028","0","10557028","256","1536","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention256_seed42","no_group_visual","attention","256","32","16","42","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention256_seed43","no_group_visual","attention","256","32","16","43","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention256_seed44","no_group_visual","attention","256","32","16","44","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention512_seed42","no_group_visual","attention","512","32","16","42","5222852","4107108","0","4107108","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention512_seed43","no_group_visual","attention","512","32","16","43","5222852","4107108","0","4107108","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention512_seed44","no_group_visual","attention","512","32","16","44","5222852","4107108","0","4107108","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention896_seed42","no_group_visual","attention","896","32","16","42","9383108","8267364","0","8267364","256","1280","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention896_seed43","no_group_visual","attention","896","32","16","43","9383108","8267364","0","8267364","256","1280","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_attention896_seed44","no_group_visual","attention","896","32","16","44","9383108","8267364","0","8267364","256","1280","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm256_seed42","no_group_visual","lstm","256","32","16","42","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm256_seed43","no_group_visual","lstm","256","32","16","43","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm256_seed44","no_group_visual","lstm","256","32","16","44","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm512_seed42","no_group_visual","lstm","512","32","16","42","4890692","3774948","0","3774948","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm512_seed43","no_group_visual","lstm","512","32","16","43","4890692","3774948","0","3774948","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm512_seed44","no_group_visual","lstm","512","32","16","44","4890692","3774948","0","3774948","256","896","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm896_seed42","no_group_visual","lstm","896","32","16","42","10624196","9508452","0","9508452","256","1280","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm896_seed43","no_group_visual","lstm","896","32","16","43","10624196","9508452","0","9508452","256","1280","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_group_visual_lstm896_seed44","no_group_visual","lstm","896","32","16","44","10624196","9508452","0","9508452","256","1280","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention256_seed42","no_relations","attention","256","32","16","42","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention256_seed43","no_relations","attention","256","32","16","43","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention256_seed44","no_relations","attention","256","32","16","44","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention512_seed42","no_relations","attention","512","32","16","42","3515588","2399844","0","2399844","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention512_seed43","no_relations","attention","512","32","16","43","3515588","2399844","0","2399844","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention512_seed44","no_relations","attention","512","32","16","44","3515588","2399844","0","2399844","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention896_seed42","no_relations","attention","896","32","16","42","4131908","3016164","0","3016164","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention896_seed43","no_relations","attention","896","32","16","43","4131908","3016164","0","3016164","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_attention896_seed44","no_relations","attention","896","32","16","44","4131908","3016164","0","3016164","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_attention896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm256_seed42","no_relations","lstm","256","32","16","42","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm256_seed43","no_relations","lstm","256","32","16","43","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm256_seed44","no_relations","lstm","256","32","16","44","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm512_seed42","no_relations","lstm","512","32","16","42","4235332","3119588","0","3119588","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm512_seed43","no_relations","lstm","512","32","16","43","4235332","3119588","0","3119588","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm512_seed44","no_relations","lstm","512","32","16","44","4235332","3119588","0","3119588","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm896_seed42","no_relations","lstm","896","32","16","42","8002756","6887012","0","6887012","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm896_seed43","no_relations","lstm","896","32","16","43","8002756","6887012","0","6887012","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_no_relations_lstm896_seed44","no_relations","lstm","896","32","16","44","8002756","6887012","0","6887012","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_relations_lstm896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention256_seed42","pose_relations_only","attention","256","32","16","42","1400580","1400580","0","1400580","0","512","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention256_seed43","pose_relations_only","attention","256","32","16","43","1400580","1400580","0","1400580","0","512","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention256_seed44","pose_relations_only","attention","256","32","16","44","1400580","1400580","0","1400580","0","512","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_attention512_seed42","pose_relations_only","attention","512","32","16","42","5029380","5029380","0","5029380","0","1024","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_attention512_seed42\config.json"
