"route","model_name","stream","head","hidden_dim","window_frames","stride_frames","seed","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","source_config"
"MARS YOLO/SPPF","yolo_sppf_pose_relations_only_lstm896_seed44","pose_relations_only","lstm","896","32","16","44","11428484","11428484","0","11428484","0","1792","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_pose_relations_only_lstm896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention256_seed42","visual_only","attention","256","32","16","42","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention256_seed43","visual_only","attention","256","32","16","43","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention256_seed44","visual_only","attention","256","32","16","44","3268548","2152804","0","2152804","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention512_seed42","visual_only","attention","512","32","16","42","3515588","2399844","0","2399844","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention512_seed43","visual_only","attention","512","32","16","43","3515588","2399844","0","2399844","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention512_seed44","visual_only","attention","512","32","16","44","3515588","2399844","0","2399844","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention896_seed42","visual_only","attention","896","32","16","42","4131908","3016164","0","3016164","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention896_seed43","visual_only","attention","896","32","16","43","4131908","3016164","0","3016164","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_attention896_seed44","visual_only","attention","896","32","16","44","4131908","3016164","0","3016164","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_attention896_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm256_seed42","visual_only","lstm","256","32","16","42","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm256_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm256_seed43","visual_only","lstm","256","32","16","43","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm256_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm256_seed44","visual_only","lstm","256","32","16","44","2542916","1427172","0","1427172","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm256_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm512_seed42","visual_only","lstm","512","32","16","42","4235332","3119588","0","3119588","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm512_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm512_seed43","visual_only","lstm","512","32","16","43","4235332","3119588","0","3119588","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm512_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm512_seed44","visual_only","lstm","512","32","16","44","4235332","3119588","0","3119588","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm512_seed44\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm896_seed42","visual_only","lstm","896","32","16","42","8002756","6887012","0","6887012","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm896_seed42\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm896_seed43","visual_only","lstm","896","32","16","43","8002756","6887012","0","6887012","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm896_seed43\config.json"
"MARS YOLO/SPPF","yolo_sppf_visual_only_lstm896_seed44","visual_only","lstm","896","32","16","44","8002756","6887012","0","6887012","256","640","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_visual_only_lstm896_seed44\config.json"
