"route","stream","head","hidden_dim","window_frames","stride_frames","total_parameters","trainable_parameters","trainable_backbone_parameters","trainable_head_parameters","visual_feature_dim_per_crop","combined_sequence_dim","n_seed_configs","seeds","n_source_configs","source_configs"
"DLC-HRNet top-down","full","attention","256","32","16","8214012","8214012","0","8214012","480","1344","1","42","1","<RUN_ROOT>\MARS_DLC_SuperAnimal\behaviorscope_outputs\dlc_topdown_attention256_training\mars_dlc_topdown_hrnet_attention256_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","full","attention","256","8","4","4972742","3856998","0","3856998","256","896","1","42","1","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w8s4_seed42\config.json"
"Fly-v-Fly YOLO/SPPF","full","attention","256","16","8","4972742","3856998","0","3856998","256","896","1","42","1","<RUN_ROOT>\outputs\controlled_comparison_runs\fly_adaptation_attention256_cw12_seed42\fly\training\fly_yolo_sppf_full_attention256_w16s8_seed42\config.json"
"MARS YOLO/SPPF","full","attention","896","32","16","12401092","11285348","0","11285348","256","1536","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed44\config.json"
"MARS YOLO/SPPF","full","lstm","256","32","16","2936132","1820388","0","1820388","256","896","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed44\config.json"
"MARS YOLO/SPPF","full","lstm","512","32","16","5546052","4430308","0","4430308","256","1152","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed44\config.json"
"MARS YOLO/SPPF","full","lstm","896","32","16","11672772","10557028","0","10557028","256","1536","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed44\config.json"
"MARS YOLO/SPPF","no_group_visual","attention","256","32","16","3268548","2152804","0","2152804","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed44\config.json"
"MARS YOLO/SPPF","no_group_visual","attention","512","32","16","5222852","4107108","0","4107108","256","896","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed44\config.json"
"MARS YOLO/SPPF","no_group_visual","attention","896","32","16","9383108","8267364","0","8267364","256","1280","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention896_seed44\config.json"
"MARS YOLO/SPPF","no_group_visual","lstm","256","32","16","2542916","1427172","0","1427172","256","640","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm256_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm256_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm256_seed44\config.json"
"MARS YOLO/SPPF","no_group_visual","lstm","512","32","16","4890692","3774948","0","3774948","256","896","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm512_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm512_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm512_seed44\config.json"
"MARS YOLO/SPPF","no_group_visual","lstm","896","32","16","10624196","9508452","0","9508452","256","1280","3","42;43;44","3","<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm896_seed42\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm896_seed43\config.json|<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_lstm896_seed44\config.json"
