class_index,class_name,support,selected_threshold,raw_precision,raw_recall,raw_f1,decoded_precision,decoded_recall,decoded_f1
0,attack,329,0.8500000000000001,0.5349344978165939,0.7446808510638298,0.6226175349428208,0.6947040498442367,0.6778115501519757,0.6861538461538462
1,investigation,5109,0.35,0.8673431040962044,0.903503621060873,0.8850541654683156,0.8558983666061706,0.9230769230769231,0.8882192296826443
2,mount,1418,0.3,0.9100691775557264,0.8349788434414669,0.8709084222140494,0.9066059225512528,0.842031029619182,0.8731261425959781
3,other,3223,0.0,0.9099399599733156,0.8464163822525598,0.8770294164925253,0.9048106448311156,0.8228358672044679,0.861878453038674
