track,head,capacity,prediction_type,threshold,class,duration_bin,n_seeds,gt_bouts_mean,matched_bouts_mean,recall_mean,recall_sd
LSTM-256,lstm,256,smoothed_frames,0.5,investigation,0.5-1,3,379.0,90.33333333333333,0.23834652594547054,0.015904257977154924
LSTM-256,lstm,256,smoothed_frames,0.5,investigation,1-2,3,238.0,68.0,0.28571428571428575,0.00840336134453782
LSTM-256,lstm,256,smoothed_frames,0.5,investigation,2-4,3,165.0,57.666666666666664,0.3494949494949495,0.006998185081086378
LSTM-256,lstm,256,smoothed_frames,0.5,investigation,4-8,3,111.0,59.333333333333336,0.5345345345345346,0.02895991219517408
LSTM-256,lstm,256,smoothed_frames,0.5,investigation,>=8,3,53.0,31.666666666666668,0.5974842767295597,0.02882123078588578
LSTM-256,lstm,256,smoothed_frames,0.5,mount,<0.25,3,5.0,1.0,0.20000000000000004,0.0
LSTM-256,lstm,256,smoothed_frames,0.5,mount,0.25-0.5,3,13.0,2.0,0.15384615384615385,0.0
LSTM-256,lstm,256,smoothed_frames,0.5,mount,0.5-1,3,25.0,2.0,0.08,0.0
LSTM-256,lstm,256,smoothed_frames,0.5,mount,1-2,3,34.0,5.666666666666667,0.16666666666666666,0.016980890270283117
LSTM-256,lstm,256,smoothed_frames,0.5,mount,2-4,3,62.0,7.333333333333333,0.11827956989247312,0.009312101115961707
LSTM-256,lstm,256,smoothed_frames,0.5,mount,4-8,3,30.0,5.333333333333333,0.17777777777777778,0.01924500897298755
LSTM-256,lstm,256,smoothed_frames,0.5,mount,>=8,3,39.0,11.666666666666666,0.29914529914529914,0.014803853056144253
