prediction_type,track,head,capacity,class,n_seeds,pred_bouts_mean,pred_bouts_sd,bout_count_ratio_pred_gt_mean,bout_count_ratio_pred_gt_sd,pred_median_duration_frames_mean,pred_median_duration_frames_sd,median_duration_ratio_pred_gt_mean,median_duration_ratio_pred_gt_sd,fraction_pred_bouts_with_any_gt_mean,fraction_pred_bouts_with_any_gt_sd,fraction_pred_bouts_merging_gt_mean,fraction_pred_bouts_merging_gt_sd,mean_overlapping_gt_bouts_mean,mean_overlapping_gt_bouts_sd,gt_bouts,gt_median_duration_frames
raw_windows,Attention-256,attention,256,attack,3,265.0,3.605551275463989,0.7443820224719101,0.010127953020966253,64.0,0.0,1.6410256410256412,0.0,0.9095414401112634,0.01556466170191673,0.2767446808388663,0.0017776573803911062,1.2956287526933685,0.0067044040669508795,356,39.0
raw_windows,Attention-256,attention,256,investigation,3,904.3333333333334,34.35597958628646,0.6164508066348557,0.023419208988607016,48.0,0.0,2.2857142857142856,0.0,0.8536443021363261,0.013710174850746154,0.1598970183466694,0.017573520777390897,1.0727673816158363,0.00968042276363174,1467,21.0
raw_windows,Attention-256,attention,256,mount,3,199.33333333333334,11.59022576714247,0.9583333333333334,0.05572223926510805,80.0,0.0,1.0738255033557047,0.0,0.8780496673596937,0.04793007154463224,0.03468505278788178,0.011712468225845592,0.9127347201475754,0.03861121194952765,208,74.5
raw_windows,Attention-512,attention,512,attack,3,298.3333333333333,27.46512940681935,0.8380149812734082,0.07714923990679602,69.33333333333333,9.237604307034013,1.7777777777777777,0.23686164889830794,0.7811143868133493,0.09635636484405832,0.26788930860405974,0.01525119653813385,1.1839350854036834,0.10300651864878126,356,39.0
raw_windows,Attention-512,attention,512,investigation,3,903.0,30.805843601498726,0.6155419222903885,0.020999211725629637,48.0,0.0,2.2857142857142856,0.0,0.8526106601474085,0.012466320731264302,0.16185272386608687,0.013804605712104736,1.0770207914662258,0.011001065561057531,1467,21.0
raw_windows,Attention-512,attention,512,mount,3,192.33333333333334,4.163331998932262,0.9246794871794872,0.0200160192256359,80.0,0.0,1.0738255033557047,0.0,0.8963397751502038,0.02378668462206505,0.029407145015617656,0.007571267879218457,0.9257469201658215,0.023376746324903455,208,74.5
raw_windows,Attention-896,attention,896,attack,3,274.3333333333333,11.718930554164633,0.7705992509363296,0.032918344253271455,74.66666666666667,9.237604307034012,1.9145299145299142,0.23686164889830794,0.8545014826198867,0.05355534032831176,0.2771984576502356,0.005815678530339057,1.2676223155947388,0.055303889049075045,356,39.0
raw_windows,Attention-896,attention,896,investigation,3,925.3333333333334,64.63229326995393,0.6307657350602136,0.04405745962505377,48.0,0.0,2.2857142857142856,0.0,0.8458858447465416,0.025981893257834822,0.15856974187790382,0.02174628936159923,1.0696666225241502,0.012920216607738289,1467,21.0
raw_windows,Attention-896,attention,896,mount,3,201.66666666666666,26.312227829154512,0.969551282051282,0.12650109533247375,80.0,0.0,1.0738255033557047,0.0,0.894277164178118,0.07679220002449695,0.035115636546304195,0.014385000514441134,0.9293928007244222,0.06252085458203474,208,74.5
raw_windows,LSTM-256,lstm,256,attack,3,278.6666666666667,24.986663109213552,0.7827715355805244,0.07018725592475714,61.333333333333336,4.618802153517006,1.5726495726495726,0.11843082444915404,0.867885236505058,0.07189254571834315,0.22981111697065004,0.013520495994074903,1.1821800987513966,0.07004287234521549,356,39.0
