model_name,stream,head,capacity,seed,prediction_type,evaluated_videos,total_frames,gt_bouts_total,pred_bouts_total,mean_accuracy,mean_frame_macro_f1_present_behaviors,mean_bout_macro_f1_iou10_present_behaviors,mean_bout_macro_f1_iou25_present_behaviors,mean_bout_macro_f1_iou50_present_behaviors,sd_accuracy,sd_frame_macro_f1_present_behaviors,sd_bout_macro_f1_iou10_present_behaviors,sd_bout_macro_f1_iou25_present_behaviors,sd_bout_macro_f1_iou50_present_behaviors,best_val_epoch,best_epoch_train_loss,best_epoch_val_loss,best_validation_macroF1,best_epoch_elapsed_s,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_power_w
yolo_sppf_animal_visual_only_attention256_seed42,animal_visual_only,attention,256,42,raw_windows,28,348368,2031,1562,0.8422089460487113,0.6764863570218068,0.6362938437993287,0.5760252869693526,0.4121939422902581,0.058879372372591214,0.12865127007666827,0.1366808288077271,0.14711440965778755,0.17120063328916824,10,0.4609001798607806,0.4855709840587917,0.7591312108179467,173.73855805397034,50.7,9.22,8.0,1.14,14.4
yolo_sppf_animal_visual_only_attention256_seed42,animal_visual_only,attention,256,42,smoothed_frames,28,348368,2031,1566,0.8421467018815936,0.6764464812625145,0.6362348355708168,0.5758133054416537,0.41205924093539714,0.05889761613517128,0.12871650496935932,0.13686229762739896,0.14746786824287866,0.17136056062239535,10,0.4609001798607806,0.4855709840587917,0.7591312108179467,173.73855805397034,50.7,9.22,8.0,1.14,14.4
yolo_sppf_animal_visual_only_attention256_seed43,animal_visual_only,attention,256,43,raw_windows,28,348368,2031,1502,0.845943828258697,0.6803691009209523,0.6403642116281746,0.5826840508595558,0.41420385894882494,0.059345990072104594,0.12400416363267093,0.13743288813082943,0.15172651531131012,0.16586885503848242,8,0.4809201248895178,0.5189625008342167,0.7607951252486402,173.64728093147278,50.7,9.15,8.0,1.14,15.4
yolo_sppf_animal_visual_only_attention256_seed43,animal_visual_only,attention,256,43,smoothed_frames,28,348368,2031,1506,0.8458815840915792,0.6803262948617345,0.6402647610631161,0.5824483594328279,0.4140574442876505,0.0593858421950561,0.12407726381728922,0.13764664199239943,0.1520809163441714,0.16604005853349932,8,0.4809201248895178,0.5189625008342167,0.7607951252486402,173.64728093147278,50.7,9.15,8.0,1.14,15.4
yolo_sppf_animal_visual_only_attention256_seed44,animal_visual_only,attention,256,44,raw_windows,28,348368,2031,1579,0.8378464450005858,0.683273870475,0.6537106635681839,0.5831312923639007,0.41633895867267084,0.06012247025154709,0.13626691289386259,0.13598560783612218,0.14951397762960342,0.17455159798700942,6,0.5044271864090407,0.4939973982967554,0.7646526190876213,172.9041132926941,50.7,9.17,9.0,1.14,14.8
yolo_sppf_animal_visual_only_attention256_seed44,animal_visual_only,attention,256,44,smoothed_frames,28,348368,2031,1582,0.8377842008334683,0.6832330929534948,0.6536845543254277,0.5829377189995956,0.4162283453216394,0.06011552775785006,0.1363358706149836,0.13614710990112464,0.14982606933503564,0.17470159510980268,6,0.5044271864090407,0.4939973982967554,0.7646526190876213,172.9041132926941,50.7,9.17,9.0,1.14,14.8
yolo_sppf_animal_visual_only_attention512_seed42,animal_visual_only,attention,512,42,raw_windows,28,348368,2031,1630,0.8295308631745468,0.6655300130890208,0.6151024276519579,0.5411097054754603,0.397688801273748,0.07164306592161152,0.14426592142356598,0.15044637543230877,0.17709046756396782,0.19205270789706005,10,0.4654606726446822,0.5048998702672266,0.7454729075326374,175.00018095970154,50.7,9.1,9.0,1.15,13.7
yolo_sppf_animal_visual_only_attention512_seed42,animal_visual_only,attention,512,42,smoothed_frames,28,348368,2031,1632,0.8294686190074293,0.6654954347813848,0.615000698396229,0.5408099201900163,0.3976063675323017,0.07163406564787712,0.1443157992920858,0.15063334934252753,0.1775680550594414,0.19213425779348633,10,0.4654606726446822,0.5048998702672266,0.7454729075326374,175.00018095970154,50.7,9.1,9.0,1.15,13.7
yolo_sppf_animal_visual_only_attention512_seed43,animal_visual_only,attention,512,43,raw_windows,28,348368,2031,1578,0.8401413944173776,0.6828241446674249,0.6516071296746663,0.5847895746003848,0.3930636032539394,0.06204034581102329,0.12499190448023109,0.1275561655291861,0.15232332565826878,0.1678290081965144,8,0.4726499509165606,0.5002081066251747,0.7614943632606388,175.5560336112976,50.7,9.17,9.0,1.15,15.7
yolo_sppf_animal_visual_only_attention512_seed43,animal_visual_only,attention,512,43,smoothed_frames,28,348368,2031,1582,0.8400791502502599,0.6827803567341132,0.6514853410324696,0.5845500465547343,0.3929390112926127,0.062033498398543045,0.12506922857835778,0.1277826084097473,0.1526775529514062,0.16797955107580273,8,0.4726499509165606,0.5002081066251747,0.7614943632606388,175.5560336112976,50.7,9.17,9.0,1.15,15.7
yolo_sppf_animal_visual_only_attention512_seed44,animal_visual_only,attention,512,44,raw_windows,28,348368,2031,1655,0.8264382601284141,0.6790303196684774,0.6451390849719925,0.5762289115405129,0.4117066562239039,0.0640741222347415,0.13798032578300082,0.13639183254761836,0.14978856809619295,0.17345256845577084,6,0.5085220503325933,0.5001966737092487,0.7590873291173788,175.7669858932495,50.7,9.08,9.0,1.15,14.6
yolo_sppf_animal_visual_only_attention512_seed44,animal_visual_only,attention,512,44,smoothed_frames,28,348368,2031,1658,0.8263760159612966,0.6789900437905837,0.6451226222424076,0.576044341588501,0.4116011876798971,0.0640563914651838,0.13804798545795832,0.1365033725666551,0.15007507074961154,0.1735972518371947,6,0.5085220503325933,0.5001966737092487,0.7590873291173788,175.7669858932495,50.7,9.08,9.0,1.15,14.6
yolo_sppf_animal_visual_only_attention896_seed42,animal_visual_only,attention,896,42,raw_windows,28,348368,2031,1559,0.8374458342389047,0.6757390969642606,0.6244719781246089,0.56071477250135,0.3992875808422962,0.06479277638695684,0.13859616721864235,0.14958850149360534,0.1620084948545095,0.18182820813896183,10,0.4704266342168037,0.4969651213566226,0.7571912274614687,178.3313503265381,50.7,9.31,10.0,1.16,15.4
yolo_sppf_animal_visual_only_attention896_seed42,animal_visual_only,attention,896,42,smoothed_frames,28,348368,2031,1563,0.8373835900717871,0.6757016370338735,0.6244160717247803,0.5605041473419915,0.39917312842276903,0.06480101193762328,0.13865455692660997,0.14969045406867817,0.1623146861697417,0.1819640739847294,10,0.4704266342168037,0.4969651213566226,0.7571912274614687,178.3313503265381,50.7,9.31,10.0,1.16,15.4
yolo_sppf_animal_visual_only_attention896_seed43,animal_visual_only,attention,896,43,raw_windows,28,348368,2031,1557,0.8421243253145759,0.6829734728422089,0.6448274490138275,0.5831059740542016,0.41729044260257575,0.060279494071903396,0.13112094906155405,0.1307562858543707,0.15573088206631427,0.17981362020594296,8,0.4786464500746056,0.4942380674981645,0.7606007591588502,179.2059087753296,50.9,9.12,10.0,1.16,15.5
yolo_sppf_animal_visual_only_attention896_seed43,animal_visual_only,attention,896,43,smoothed_frames,28,348368,2031,1560,0.8420620811474583,0.6829322645382181,0.6448041432369027,0.5829124006898966,0.4171798292515443,0.06027346967074419,0.1311912610633735,0.1309071676647791,0.1560150099078485,0.17994513314509533,8,0.4786464500746056,0.4942380674981645,0.7606007591588502,179.2059087753296,50.9,9.12,10.0,1.16,15.5
yolo_sppf_animal_visual_only_attention896_seed44,animal_visual_only,attention,896,44,raw_windows,28,348368,2031,1630,0.8162686926309635,0.6663698636042261,0.6571656930928927,0.5783914613306832,0.3970266133289021,0.06040414649632229,0.12707146433244057,0.12537491811116203,0.13227199021255617,0.17055307308386813,6,0.5035411934645665,0.4911174490279149,0.767681383628599,178.58416080474854,50.8,9.18,10.0,1.16,15.9
yolo_sppf_animal_visual_only_attention896_seed44,animal_visual_only,attention,896,44,smoothed_frames,28,348368,2031,1633,0.8162064484638458,0.666326305901072,0.6571189711073953,0.5781930486322705,0.39688925069153946,0.060386183811209374,0.12714769593429281,0.12553365812436565,0.13257984697818423,0.17069801175768295,6,0.5035411934645665,0.4911174490279149,0.767681383628599,178.58416080474854,50.8,9.18,10.0,1.16,15.9
yolo_sppf_animal_visual_only_lstm256_seed42,animal_visual_only,lstm,256,42,raw_windows,28,348368,2031,1750,0.7846669732296379,0.6110932384342159,0.6275374411359832,0.5307919895336322,0.3401138383579147,0.06598793132194558,0.14048958525185423,0.14349373213428307,0.16205670453382962,0.16989945515034255,3,0.5891794928913019,0.5559705013379691,0.7254755249105811,203.70850110054016,50.7,9.15,8.0,1.02,16.0
yolo_sppf_animal_visual_only_lstm256_seed42,animal_visual_only,lstm,256,42,smoothed_frames,28,348368,2031,1754,0.7846047290625202,0.611050703088018,0.6274354202016157,0.5305582682781255,0.33997614273123017,0.06598154612760566,0.14056397318935446,0.14391119568656363,0.16235037338721237,0.17004583476045573,3,0.5891794928913019,0.5559705013379691,0.7254755249105811,203.70850110054016,50.7,9.15,8.0,1.02,16.0
yolo_sppf_animal_visual_only_lstm256_seed43,animal_visual_only,lstm,256,43,raw_windows,28,348368,2031,1593,0.8350542831197362,0.6537297116116579,0.6495818961623183,0.5793534956554557,0.37994510150441274,0.06059297119852297,0.13393377571132148,0.1616693109707399,0.17929353450298902,0.1820221868766324,8,0.4922330969576738,0.5040045871724567,0.7504741008996499,174.78045511245728,50.8,9.07,8.0,1.02,15.3
yolo_sppf_animal_visual_only_lstm256_seed43,animal_visual_only,lstm,256,43,smoothed_frames,28,348368,2031,1597,0.8349920389526186,0.6536878657620229,0.6495039912502919,0.5791551303211365,0.37985031693164684,0.06063276809535724,0.13401338394583692,0.16193771399486917,0.17959707201078973,0.18213963504859718,8,0.4922330969576738,0.5040045871724567,0.7504741008996499,174.78045511245728,50.8,9.07,8.0,1.02,15.3
yolo_sppf_animal_visual_only_lstm256_seed44,animal_visual_only,lstm,256,44,raw_windows,28,348368,2031,1567,0.8305278141249578,0.6484503487499619,0.6479331864914327,0.5624645591929435,0.39779050753733125,0.057526450637744586,0.1500580442671519,0.1360848940890004,0.15998346301970867,0.19460068213095102,6,0.5246302489786873,0.4890647523785157,0.7594508678867967,174.23055863380432,50.8,9.19,8.0,1.02,15.3
yolo_sppf_animal_visual_only_lstm256_seed44,animal_visual_only,lstm,256,44,smoothed_frames,28,348368,2031,1571,0.8304655699578402,0.6484089272516734,0.6478449430620298,0.562236655609308,0.3976591626237648,0.057519392401711486,0.15012866797747076,0.13643152634194716,0.1603366764579957,0.19475092715361844,6,0.5246302489786873,0.4890647523785157,0.7594508678867967,174.23055863380432,50.8,9.19,8.0,1.02,15.3
yolo_sppf_animal_visual_only_lstm512_seed42,animal_visual_only,lstm,512,42,raw_windows,28,348368,2031,1595,0.8170950399437746,0.6336145819035547,0.6262564111654435,0.5472615610439913,0.3686057773815574,0.06719004121050712,0.12412822494766047,0.15488950003851476,0.16283680318743604,0.16543502814626068,10,0.4465768011695585,0.5293828444104524,0.7324038832207656,194.84430122375488,50.8,9.18,10.0,1.05,15.1
yolo_sppf_animal_visual_only_lstm512_seed42,animal_visual_only,lstm,512,42,smoothed_frames,28,348368,2031,1598,0.817032795776657,0.6335733008501702,0.6262630013327805,0.5471091529968464,0.36852110624425466,0.06723024427879215,0.12419838695424223,0.15505306489868612,0.16311018563939925,0.16554989931786077,10,0.4465768011695585,0.5293828444104524,0.7324038832207656,194.84430122375488,50.8,9.18,10.0,1.05,15.1
