stream,head,capacity,class,threshold,n_seeds,matched_bouts_mean,median_tiou_mean,median_tiou_sd,median_abs_start_offset_frames_mean,median_abs_start_offset_frames_sd,median_abs_end_offset_frames_mean,median_abs_end_offset_frames_sd,median_abs_mean_boundary_offset_frames_mean,median_abs_mean_boundary_offset_frames_sd,median_duration_error_frames_mean,median_duration_error_frames_sd,median_abs_duration_error_frames_mean,median_abs_duration_error_frames_sd,median_pred_duration_frames_mean,median_pred_duration_frames_sd,median_gt_duration_frames_mean,median_gt_duration_frames_sd
animal_visual_only,attention,256,attack,0.1,3,213.0,0.4724264705882353,0.016246413705346605,22.333333333333332,0.5773502691896255,18.0,0.0,23.833333333333332,1.892969448600091,34.666666666666664,3.055050463303893,41.333333333333336,2.3094010767585034,105.66666666666667,9.237604307034013,57.666666666666664,0.5773502691896247
animal_visual_only,attention,256,attack,0.25,3,178.0,0.5393784153005464,0.009620423339891826,20.666666666666668,1.1547005383792517,16.0,0.0,21.416666666666668,1.4215601757693321,31.333333333333332,1.5275252316519465,37.0,2.0,105.66666666666667,9.237604307034013,65.83333333333333,1.8929694486000899
animal_visual_only,attention,256,attack,0.5,3,101.66666666666667,0.6661823830409357,0.014293246133020581,15.166666666666666,1.0408329997330665,11.833333333333334,1.040832999733066,15.416666666666666,0.8036375634160797,22.0,1.0,27.166666666666668,3.1754264805429413,100.33333333333333,9.237604307034012,76.16666666666667,7.751343969488991
animal_visual_only,attention,256,investigation,0.1,3,686.0,0.5170369571469657,0.014774016699960766,12.0,1.0,13.0,0.0,15.0,1.0,17.0,3.605551275463989,24.333333333333332,1.5275252316519472,63.0,0.0,41.833333333333336,1.7559422921421242
animal_visual_only,attention,256,investigation,0.25,3,592.3333333333334,0.5660492848587332,0.011235034047968802,11.333333333333334,0.5773502691896255,11.833333333333334,0.28867513459481275,13.5,1.0,15.0,3.605551275463989,22.0,2.0,63.0,0.0,51.333333333333336,1.5275252316519474
animal_visual_only,attention,256,investigation,0.5,3,361.6666666666667,0.7061562962215948,0.005564925031240636,10.0,0.0,9.0,0.0,11.0,0.5,11.5,2.179449471770337,16.333333333333332,0.5773502691896263,79.0,0.0,65.5,1.8027756377319946
animal_visual_only,attention,256,mount,0.1,3,158.33333333333334,0.7511055444090641,0.010765822118868574,8.666666666666666,0.5773502691896255,14.0,0.0,13.083333333333334,0.5204164998665334,-2.3333333333333335,2.254624876411447,18.833333333333332,0.28867513459481314,87.0,8.0,101.0,0.5
animal_visual_only,attention,256,mount,0.25,3,152.33333333333334,0.7700201257324913,0.008907964656176727,8.666666666666666,0.5773502691896255,13.0,0.0,12.333333333333334,0.5773502691896258,-0.6666666666666666,1.755942292142123,18.333333333333332,0.5773502691896255,100.33333333333333,9.237604307034013,100.0,0.8660254037844386
animal_visual_only,attention,256,mount,0.5,3,131.0,0.8049617455628906,0.008548935458286234,8.5,0.5,11.5,1.3228756555322954,10.916666666666666,0.3818813079129867,1.3333333333333333,0.5773502691896258,15.833333333333334,1.040832999733066,111.0,0.0,103.83333333333333,5.346338310781816
animal_visual_only,attention,512,attack,0.1,3,205.33333333333334,0.4408079314528359,0.01575262004294013,22.833333333333332,1.7559422921421233,19.666666666666668,2.081665999466133,27.25,3.783186487605389,37.833333333333336,7.285830998131464,44.166666666666664,3.547299442298794,105.66666666666667,18.475208614068027,58.833333333333336,1.8929694486000916
