model_name,head,capacity,seed,track,source,frequency_bin,motif_recall
Markov baseline,null,0,0,Markov baseline,null,Common,0.8458230958230958
Composition shuffle,null,0,1,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,1,Composition shuffle,null,Intermediate,0.9382352941176471
Composition shuffle,null,0,1,Composition shuffle,null,Common,0.7358722358722358
Markov baseline,null,0,1,Markov baseline,null,Rare,0.5714285714285714
Markov baseline,null,0,1,Markov baseline,null,Intermediate,0.9176470588235294
Markov baseline,null,0,1,Markov baseline,null,Common,0.8083538083538083
Composition shuffle,null,0,2,Composition shuffle,null,Rare,0.5714285714285714
Composition shuffle,null,0,2,Composition shuffle,null,Intermediate,0.9147058823529411
Composition shuffle,null,0,2,Composition shuffle,null,Common,0.7487714987714987
Markov baseline,null,0,2,Markov baseline,null,Rare,0.7142857142857143
Markov baseline,null,0,2,Markov baseline,null,Intermediate,0.8588235294117647
Markov baseline,null,0,2,Markov baseline,null,Common,0.8495085995085995
Composition shuffle,null,0,3,Composition shuffle,null,Rare,0.2857142857142857
Composition shuffle,null,0,3,Composition shuffle,null,Intermediate,0.9294117647058824
Composition shuffle,null,0,3,Composition shuffle,null,Common,0.7321867321867321
Markov baseline,null,0,3,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,3,Markov baseline,null,Intermediate,0.8470588235294118
Markov baseline,null,0,3,Markov baseline,null,Common,0.8667076167076168
Composition shuffle,null,0,4,Composition shuffle,null,Rare,0.0
Composition shuffle,null,0,4,Composition shuffle,null,Intermediate,0.9205882352941176
Composition shuffle,null,0,4,Composition shuffle,null,Common,0.75
Markov baseline,null,0,4,Markov baseline,null,Rare,1.0
Markov baseline,null,0,4,Markov baseline,null,Intermediate,0.8911764705882353
Markov baseline,null,0,4,Markov baseline,null,Common,0.8366093366093366
Composition shuffle,null,0,5,Composition shuffle,null,Rare,0.8571428571428571
Composition shuffle,null,0,5,Composition shuffle,null,Intermediate,0.8794117647058823
Composition shuffle,null,0,5,Composition shuffle,null,Common,0.7567567567567568
Markov baseline,null,0,5,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,5,Markov baseline,null,Intermediate,0.8794117647058823
Markov baseline,null,0,5,Markov baseline,null,Common,0.8482800982800983
Composition shuffle,null,0,6,Composition shuffle,null,Rare,0.42857142857142855
Composition shuffle,null,0,6,Composition shuffle,null,Intermediate,0.9
Composition shuffle,null,0,6,Composition shuffle,null,Common,0.7788697788697788
Markov baseline,null,0,6,Markov baseline,null,Rare,0.8571428571428571
Markov baseline,null,0,6,Markov baseline,null,Intermediate,0.8794117647058823
Markov baseline,null,0,6,Markov baseline,null,Common,0.8323095823095823
Composition shuffle,null,0,7,Composition shuffle,null,Rare,0.7142857142857143
Composition shuffle,null,0,7,Composition shuffle,null,Intermediate,0.8970588235294118
Composition shuffle,null,0,7,Composition shuffle,null,Common,0.7285012285012284
Markov baseline,null,0,7,Markov baseline,null,Rare,0.42857142857142855
Markov baseline,null,0,7,Markov baseline,null,Intermediate,0.8323529411764706
Markov baseline,null,0,7,Markov baseline,null,Common,0.8286240786240786
