stream,head,capacity,seed,prediction_type,true_class,total_frames,pred_attack_frames,pred_attack_fraction,pred_investigation_frames,pred_investigation_fraction,pred_mount_frames,pred_mount_fraction,pred_other_frames,pred_other_fraction
animal_visual_only,attention,512,42,smoothed_frames,other,217302.0,9419.0,0.04334520621071136,26850.0,0.12356075875969848,1982.0,0.00912094688498035,179051.0,0.8239730881446098
animal_visual_only,attention,512,43,raw_windows,attack,19068.0,16764.0,0.8791692888609188,2018.0,0.10583176001678204,175.0,0.009177679882525698,111.0,0.005821271239773443
animal_visual_only,attention,512,43,raw_windows,investigation,76719.0,5829.0,0.07597857114925899,62173.0,0.8103989885165344,1497.0,0.019512767371837485,7220.0,0.09410967296236916
animal_visual_only,attention,512,43,raw_windows,mount,35279.0,1074.0,0.030443039768700927,4887.0,0.1385243345899827,28898.0,0.8191275262904277,420.0,0.011905099350888631
animal_visual_only,attention,512,43,raw_windows,other,217302.0,5341.0,0.02457869692869831,28778.0,0.13243320356002244,1638.0,0.007537896567910097,181545.0,0.8354502029433691
animal_visual_only,attention,512,43,smoothed_frames,attack,19068.0,16768.0,0.8793790644010908,2018.0,0.10583176001678204,175.0,0.009177679882525698,107.0,0.0056114956996014265
animal_visual_only,attention,512,43,smoothed_frames,investigation,76719.0,5870.0,0.07651298895971011,62173.0,0.8103989885165344,1497.0,0.019512767371837485,7179.0,0.09357525515191804
animal_visual_only,attention,512,43,smoothed_frames,mount,35279.0,1074.0,0.030443039768700927,4887.0,0.1385243345899827,28898.0,0.8191275262904277,420.0,0.011905099350888631
animal_visual_only,attention,512,43,smoothed_frames,other,217302.0,5360.0,0.024666132847373703,28778.0,0.13243320356002244,1638.0,0.007537896567910097,181526.0,0.8353627670246937
animal_visual_only,attention,512,44,raw_windows,attack,19068.0,17043.0,0.893801132787917,1692.0,0.08873505349276274,279.0,0.014631843926998112,54.0,0.0028319697923222154
animal_visual_only,attention,512,44,raw_windows,investigation,76719.0,6745.0,0.08791824710958172,63054.0,0.8218824541508623,2599.0,0.033876875350304356,4321.0,0.05632242338925168
animal_visual_only,attention,512,44,raw_windows,mount,35279.0,873.0,0.024745599365061367,2367.0,0.06709373848465093,31982.0,0.9065449700955243,57.0,0.001615692054763457
animal_visual_only,attention,512,44,raw_windows,other,217302.0,6923.0,0.03185888763103883,34535.0,0.1589262869186662,2996.0,0.013787263807972315,172848.0,0.7954275616423226
animal_visual_only,attention,512,44,smoothed_frames,attack,19068.0,17047.0,0.8940109083280889,1692.0,0.08873505349276274,279.0,0.014631843926998112,50.0,0.002622194252150199
animal_visual_only,attention,512,44,smoothed_frames,investigation,76719.0,6786.0,0.08845266492003284,63054.0,0.8218824541508623,2599.0,0.033876875350304356,4280.0,0.05578800557880056
