epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other
1,0.590691224105516,0.7805917507592829,0.46165560711884784,0.8526639547574164,0.7766095423023719,190.22050404548645,5e-05,5e-05,50.7,6.63,nan,nan,nan,nan,0.5851063829787234,0.5015197568389058,0.5400981996726677,0.817433081674674,0.9324721080446271,0.8711712535430189,0.941952506596306,0.7552891396332864,0.8383561643835616,0.9159604519774012,0.8048402109835557,0.8568125516102395
2,0.4669126635358952,0.8344273537768199,0.4463113196449177,0.8473062803849588,0.7775723675253224,191.51601815223694,5e-05,5e-05,50.5,6.63,nan,nan,nan,nan,0.5545977011494253,0.5866261398176292,0.5701624815361891,0.8318503722534956,0.8966529653552554,0.8630369253956292,0.9398704902867715,0.7165021156558533,0.8131252501000401,0.8749602290804963,0.8532423208191127,0.8639648130694314
3,0.43513173470127636,0.8412364063877731,0.3763792536785043,0.8673479511856335,0.8099705873854492,191.77720761299133,5e-05,5e-05,50.5,6.66,nan,nan,nan,nan,0.5789473684210527,0.6352583586626139,0.6057971014492753,0.8639545884578997,0.8937169700528479,0.8785837983451992,0.8870853916725476,0.886459802538787,0.8867724867724869,0.8985411140583555,0.84083152342538,0.8687289629748357
4,0.41117098299512017,0.8524541980993436,0.4399624700900093,0.8480007937295366,0.7827918554291173,191.79112219810486,5e-05,5e-05,50.7,6.63,nan,nan,nan,nan,0.3800841514726508,0.8237082066869301,0.5201535508637236,0.8925933741295632,0.8279506752789195,0.8590576766856215,0.8603874415497662,0.9083215796897038,0.883704974271012,0.8811501597444089,0.8557244802978592,0.8682512198961121
5,0.3840883571572812,0.8603899284804546,0.38207973336342665,0.8665542216489731,0.8130554771552936,192.10136651992798,5e-05,5e-05,50.8,6.65,nan,nan,nan,nan,0.5405982905982906,0.7689969604863222,0.6348808030112923,0.8590029761904762,0.9038950871011939,0.8808774439675727,0.9242546333601934,0.808885754583921,0.8627303497555472,0.9071476285905143,0.84269314303444,0.8737333118867621
6,0.3675908247070229,0.8639659057509552,0.40577944859137965,0.8467109832324635,0.7986285504552221,192.3589391708374,5e-05,5e-05,50.5,6.65,nan,nan,nan,nan,0.4869402985074627,0.7933130699088146,0.6034682080924856,0.9070845288015891,0.8044627128596594,0.8526970954356846,0.8965267727930536,0.8737658674188998,0.885,0.8055096418732782,0.9072292894818492,0.8533488982927184
7,0.3681329561274814,0.8662192612912707,0.4268294991225481,0.8506796309157655,0.800912286828235,192.04415798187256,5e-05,5e-05,50.7,6.65,nan,nan,nan,nan,0.5831265508684863,0.7142857142857143,0.6420765027322404,0.8618331053351573,0.8631826189078098,0.8625073342460395,0.9452296819787986,0.7545839210155149,0.8392156862745098,0.8342573679603151,0.8870617437170338,0.8598496240601504
8,0.3475983241181762,0.8707749583619085,0.39308796420856007,0.8543506300228197,0.8238142881685888,191.95821285247803,5e-05,5e-05,50.7,6.64,nan,nan,nan,nan,0.6338383838383839,0.7629179331306991,0.6924137931034484,0.9153863282119795,0.8046584458798199,0.8564583333333334,0.8622715404699739,0.9315937940761636,0.895593220338983,0.8,0.9084703692212225,0.8507918058985907
9,0.34591954993376023,0.8718526501420594,0.42672808630537934,0.8686377616827066,0.8184225975202506,191.97252202033997,5e-05,5e-05,50.5,6.58,nan,nan,nan,nan,0.5775280898876405,0.7811550151975684,0.6640826873385013,0.8587560162902629,0.9080054805245645,0.8826943202359433,0.935374149659864,0.7757404795486601,0.8481110254433308,0.9028141361256544,0.8560347502327025,0.8788023570632266
10,0.3089600627844844,0.8886548447144117,0.38909601683708533,0.8723087607897609,0.829744004391111,191.91711521148682,2.5e-05,2.5e-05,50.7,6.59,nan,nan,nan,nan,0.6458333333333334,0.7537993920972644,0.6956521739130436,0.8705458680818802,0.8990017615971815,0.8845450168512278,0.9249394673123487,0.8081805359661495,0.8626270229582236,0.8820754716981132,0.8703071672354948,0.876151803841949
