route,n_common_samples_available,n_samples_loaded,n_features,fisher_ratio_balanced,silhouette_pca2_balanced,effective_dim_top128_participation_ratio,pc50,pc80,pc90,explained_by_top16,explained_by_top32,explained_by_top64,probe_macro_f1_mean,probe_macro_f1_sd,probe_accuracy_mean,probe_accuracy_sd,n_group_folds
YOLO-SPPF,11960,2000,768,53.99924552613941,-0.05660276859998703,14.59733275094297,6,27,63.0,0.7209548354148865,0.8258193135261536,0.9019670486450195,0.8485062980616543,0.014971185661372491,0.8592668794692205,0.01819918239275949,5
MobileNetV3,11960,2000,2880,26.06436994907057,-0.048282694071531296,7.646333708352721,4,41,,0.7056079506874084,0.7784425020217896,0.8409525156021118,0.7567689129325083,0.027723768875700272,0.7671441080486723,0.03330896206913418,5
DLC-HRNet,11960,2000,1440,63.3314047202242,-0.020664207637310028,13.254112168386978,5,24,56.0,0.7430964708328247,0.8434336185455322,0.9114954471588135,0.7042868001283566,0.05865654726584543,0.7279779144330477,0.04582268264271437,5
