route,component,n_features,visual_fisher_ratio,behavior_probe_macro_f1,behavior_probe_accuracy,behavior_probe_fold_macro_f1_mean,behavior_probe_fold_macro_f1_sd,video_probe_accuracy,video_probe_balanced_accuracy,video_probe_n_classes,video_probe_chance,behavior_minus_video_balanced_accuracy
YOLO-SPPF,combined,768,32.712751396857314,0.828421645578294,0.8275,0.7804246085590671,0.09867418162684284,0.6191666666666666,0.5944290055578377,28,0.03571428571428571,0.23307099444216228
YOLO-SPPF,group,256,17.06634835079566,0.6627714706402015,0.6658333333333334,0.6183523223348906,0.055400813976912766,0.5291666666666667,0.5067247871569724,28,0.03571428571428571,0.15910854617636094
YOLO-SPPF,animal_pair,512,40.986075146171146,0.8242364427224947,0.8241666666666667,0.7709146845315592,0.10086431898403399,0.6175,0.6027115445296192,28,0.03571428571428571,0.22145512213704754
MobileNetV3,combined,2880,17.850956652798097,0.7495916375361839,0.7525,0.7135385385363904,0.08669034027507383,0.7991666666666667,0.7461865011443031,28,0.03571428571428571,0.006313498855696875
MobileNetV3,group,960,14.182133674541948,0.6841704049540147,0.6883333333333334,0.6423979074432568,0.06625885866041419,0.7625,0.7093955082730214,28,0.03571428571428571,-0.021062174939688094
MobileNetV3,animal_pair,1920,19.709930066649367,0.7153496691018253,0.72,0.6795787248090639,0.10460955359414044,0.8133333333333334,0.7726170139022214,28,0.03571428571428571,-0.0526170139022214
DLC-HRNet,combined,1440,40.91412958259533,0.7299649300795643,0.7283333333333334,0.6658562245291684,0.06753047748934794,0.38166666666666665,0.3382796063363414,28,0.03571428571428571,0.390053726996992
DLC-HRNet,group,480,70.20592727948952,0.6206076939330208,0.6191666666666666,0.5752137245752293,0.06841688604248483,0.31583333333333335,0.2777438290078427,28,0.03571428571428571,0.3414228376588239
DLC-HRNet,animal_pair,960,27.733664212693757,0.6770389795077394,0.6775,0.6136073879968815,0.067960925842896,0.36,0.3212996634134116,28,0.03571428571428571,0.3562003365865884
