channel_index,fisher_ratio,z_variance
470,318.15973051629476,1.0000001192092896
331,317.0235199027618,1.0000001192092896
183,301.57351658901,1.0
132,301.25629040159885,1.0
1178,297.5887279237851,1.0
281,296.0388616022298,1.0
1129,294.85393086467224,1.0
450,292.4677051563009,1.0000001192092896
1356,287.10362902464806,1.0000001192092896
394,283.11218359990846,1.0
382,271.1038199882118,0.9999999403953552
101,266.04956340284,1.0
175,266.0422407060865,1.0
1057,265.6168809578646,0.9999999403953552
87,263.3771758906673,1.0
421,262.2058432064331,1.0
385,262.13210212193405,1.0
443,260.76372090664546,1.0
1180,257.49057949837277,1.0
48,257.126562725585,1.0
248,254.36653689321128,1.0
359,253.51531959900296,1.0
372,252.57407027569232,1.0000001192092896
298,252.36046591283707,1.0
1116,248.99251723387056,1.0
228,246.33919048690532,1.0
1253,246.17618580007561,0.9999998807907104
330,244.72840043742474,1.0
1294,240.68531811696462,1.0
166,240.3241407170607,1.0
