stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
full,lstm,256,smoothed_frames,3,28.0,0.8851274360949359,0.7466517003077143,0.7126127958750051,0.6722245273898108,0.5416423011480057,0.0042118650655018,0.005920040350959,0.0069328695573141,0.0020794648855443,0.0051560640040641
full,lstm,512,smoothed_frames,3,28.0,0.8779778643848012,0.7305107220329826,0.7045789940153901,0.6594666741530791,0.5017879900145789,0.0102891912009666,0.002935195824558,0.0195621973321713,0.0111931127297231,0.0059943771976681
full,lstm,896,smoothed_frames,3,28.0,0.8744230484876763,0.7253610569606859,0.6929475002308086,0.6432978427498194,0.4811445678273152,0.0074238389609559,0.0043671881671528,0.0050452431803416,0.0064519040922207,0.0088082802276245
no_group_visual,lstm,256,smoothed_frames,3,28.0,0.8811949436360066,0.7338022464570075,0.7012223448979281,0.6588834903059047,0.505373522701583,0.0049317785396158,0.007130635343696,0.0049322192258015,0.0073790370671852,0.0104655365814492
no_group_visual,lstm,512,smoothed_frames,3,28.0,0.8821627887089255,0.7275426944951899,0.6859946792264348,0.6413178255625063,0.490623382694527,0.0036659507201505,0.0035998939778629,0.01025731723592,0.0058363657623963,0.004419393554343
no_group_visual,lstm,896,smoothed_frames,3,28.0,0.8847182290015115,0.7277218398616879,0.680695305616902,0.6414406178874467,0.4888235589604607,0.0050300075592486,0.0032754832609027,0.0066032472666101,0.0009119228113385,0.0085167906883852
pose_relations_only,lstm,256,smoothed_frames,3,28.0,0.8745173875340623,0.7105569333640606,0.6878549727571136,0.6407052920089148,0.487099397275483,0.0052140955500441,0.0076944212228799,0.0008445705229998,0.0056530685144244,0.0154764651071829
pose_relations_only,lstm,512,smoothed_frames,3,28.0,0.871803118040804,0.7112046781253208,0.6935932088449372,0.6417155663323437,0.479309878369719,0.0040094654084372,0.0051267855158752,0.0090291468950103,0.0087344180886832,0.0132942539797851
pose_relations_only,lstm,896,smoothed_frames,3,28.0,0.8705629912370494,0.712162034511144,0.6872474822343778,0.6402645798416439,0.4812707612433482,0.0128174298116811,0.0088496178370242,0.0096050387254338,0.001573467757963,0.0217497173308211
no_relations,lstm,256,smoothed_frames,3,28.0,0.852217940546543,0.6868230322016468,0.668488211577944,0.6161327169677508,0.4403317426334887,0.0154934758797394,0.0165075738965515,0.0077001891565718,0.0133324559358781,0.0237002197795721
no_relations,lstm,512,smoothed_frames,3,28.0,0.8532720448003079,0.6980449608492701,0.6865160005181258,0.631645302400821,0.4525781774058743,0.0055046717142991,0.0034694097484295,0.0072345912854208,0.0104891133108989,0.0072649438142513
no_relations,lstm,896,smoothed_frames,3,28.0,0.849878983166852,0.6961463647267956,0.6835283755605928,0.6270857524560173,0.4523156070632963,0.0060677175367122,0.0095310100679203,0.0049537478022368,0.0099025697377699,0.0167294101965979
animal_visual_only,lstm,256,smoothed_frames,3,28.0,0.816687445990993,0.6377158320339048,0.6415947848379792,0.55731668473619,0.3724952074288806,0.0278764734951277,0.0232430338859751,0.0122903952500262,0.0246691778369508,0.02953651846154
animal_visual_only,lstm,512,smoothed_frames,3,28.0,0.8203476815677746,0.6334893731144322,0.6271657911277565,0.5499987093973197,0.3746169174897912,0.0245692765211661,0.0179118426299476,0.0115726155499544,0.0123636324350797,0.0052803769344589
animal_visual_only,lstm,896,smoothed_frames,3,28.0,0.8148453947320693,0.6358404610941354,0.631434701940799,0.5452568995227492,0.3773460712150049,0.0128570360289051,0.0265835692652763,0.0068774771059078,0.0225501057689205,0.0214413324961549
visual_only,lstm,256,smoothed_frames,3,28.0,0.8434885137961721,0.671652952156318,0.6493632748147403,0.5933824656334671,0.4161170345419323,0.007913495495967,0.0030253527941917,0.0058317888272444,0.0059762807234264,0.0101193163889472
visual_only,lstm,512,smoothed_frames,3,28.0,0.8517832287753566,0.668239295308584,0.6436110312772382,0.5809236308278191,0.4016194857907296,0.0018708948837723,0.0036768395519028,0.0055384625593657,0.0048024858173689,0.0044593490378506
