head,backend,hidden_dim,n_runs,mean_train_val_windows_per_s_command,sd_train_val_windows_per_s_command,min_train_val_windows_per_s_command,max_train_val_windows_per_s_command
attention,yolo_sppf,256,18,157.24701909977048,16.134707809524073,128.79852806509493,189.7003290967569
attention,yolo_sppf,512,18,155.86199712384297,14.198742921569552,127.70599937179352,182.20668893882964
attention,yolo_sppf,896,17,157.9103730734587,27.525534118732534,125.58503111105252,258.559810757628
lstm,yolo_sppf,256,18,158.04118166937886,25.059647952660463,85.08929590442362,193.8798737011835
lstm,yolo_sppf,512,18,155.20080434301934,14.633447592482446,125.86334212102412,185.34693666669708
lstm,yolo_sppf,896,18,148.1538500593729,6.716559006028876,139.8953984493279,170.1583170436771
