stream,head,capacity,class,threshold,n_seeds,bout_precision_mean,bout_precision_sd,bout_recall_mean,bout_recall_sd,bout_f1_mean,bout_f1_sd,tp_mean,fp_mean,fn_mean
animal_visual_only,attention,256,attack,0.1,3,0.5943552825603948,0.047253287924289615,0.5983146067415731,0.014863771410475238,0.5958548275532108,0.029030362975703508,213.0,146.66666666666666,143.0
animal_visual_only,attention,256,attack,0.25,3,0.4968536116187743,0.04328808540783019,0.5,0.015639787536039396,0.4980276866063192,0.028217266988948813,178.0,181.66666666666666,178.0
animal_visual_only,attention,256,attack,0.5,3,0.28391441279887825,0.026560333787087893,0.28558052434456926,0.007069133366358369,0.28451711512174566,0.01695669913267893,101.66666666666667,258.0,254.33333333333334
animal_visual_only,attention,256,investigation,0.1,3,0.70540914455977,0.006896876923542343,0.4676209952283572,0.008861622358554895,0.5623400936834465,0.004200657062614327,686.0,286.6666666666667,781.0
animal_visual_only,attention,256,investigation,0.25,3,0.6093328015466709,0.01847388117215256,0.40377187002953874,0.0010412578266202816,0.4856351546986697,0.0065435924030500065,592.3333333333334,380.3333333333333,874.6666666666666
animal_visual_only,attention,256,investigation,0.5,3,0.37216176542209056,0.017344132918487735,0.24653487843671895,0.004639985879723267,0.29655601724920516,0.008884285107765484,361.6666666666667,611.0,1105.3333333333333
animal_visual_only,attention,256,mount,0.1,3,0.72311043437804,0.010502252348275206,0.7612179487179488,0.012099093646267258,0.7416045222707103,0.006990813948184244,158.33333333333334,60.666666666666664,49.666666666666664
animal_visual_only,attention,256,mount,0.25,3,0.6957027449985196,0.010006492186909403,0.7323717948717948,0.012099093646267258,0.7134986834594633,0.007021075556009227,152.33333333333334,66.66666666666667,55.666666666666664
animal_visual_only,attention,256,mount,0.5,3,0.5982108869432813,0.02937444486740266,0.6298076923076923,0.03365384615384612,0.613544716345357,0.030601268561465795,131.0,88.0,77.0
animal_visual_only,attention,512,attack,0.1,3,0.5506616010284088,0.11750258359084038,0.5767790262172284,0.04253863929438415,0.5614259653249637,0.08312575977943504,205.33333333333334,176.0,150.66666666666666
animal_visual_only,attention,512,attack,0.25,3,0.44050407964654753,0.1089269274924361,0.4597378277153558,0.050976245650997,0.4483626636909514,0.08230370558716772,163.66666666666666,217.66666666666666,192.33333333333334
animal_visual_only,attention,512,attack,0.5,3,0.23949727813512675,0.06732411910862013,0.24906367041198504,0.03666062163005973,0.24336301617342218,0.053202867202695826,88.66666666666667,292.6666666666667,267.3333333333333
animal_visual_only,attention,512,investigation,0.1,3,0.6871352660261328,0.013323044707284537,0.47489206998409456,0.025123090647007486,0.5614638696183416,0.020942921639117446,696.6666666666666,317.0,770.3333333333334
animal_visual_only,attention,512,investigation,0.25,3,0.573149036082702,0.022656161304940033,0.3962735741876846,0.028412631733407117,0.4684379519925203,0.026837412558471736,581.3333333333334,432.3333333333333,885.6666666666666
animal_visual_only,attention,512,investigation,0.5,3,0.35131621270681285,0.013429293706923862,0.24267211997273344,0.011826415523447504,0.28697260383820355,0.011386932533723968,356.0,657.6666666666666,1111.0
