track,head,capacity,seed,prediction_type,threshold,class,duration_bin,gt_bouts,matched_bouts,recall
Attention-256,attention,256,42,smoothed_frames,0.5,investigation,0.25-0.5,301,61,0.2026578073089701
Attention-256,attention,256,42,smoothed_frames,0.5,investigation,0.5-1,379,90,0.23746701846965698
Attention-256,attention,256,42,smoothed_frames,0.5,investigation,1-2,238,75,0.31512605042016806
Attention-256,attention,256,42,smoothed_frames,0.5,investigation,2-4,165,57,0.34545454545454546
Attention-256,attention,256,42,smoothed_frames,0.5,investigation,4-8,111,54,0.4864864864864865
Attention-256,attention,256,42,smoothed_frames,0.5,investigation,>=8,53,31,0.5849056603773585
Attention-256,attention,256,42,smoothed_frames,0.5,mount,<0.25,5,1,0.2
Attention-256,attention,256,42,smoothed_frames,0.5,mount,0.25-0.5,13,2,0.15384615384615385
Attention-256,attention,256,42,smoothed_frames,0.5,mount,0.5-1,25,2,0.08
Attention-256,attention,256,42,smoothed_frames,0.5,mount,1-2,34,6,0.17647058823529413
Attention-256,attention,256,42,smoothed_frames,0.5,mount,2-4,62,8,0.12903225806451613
Attention-256,attention,256,42,smoothed_frames,0.5,mount,4-8,30,6,0.2
Attention-256,attention,256,42,smoothed_frames,0.5,mount,>=8,39,12,0.3076923076923077
Attention-256,attention,256,43,raw_windows,0.25,attack,<0.25,26,7,0.2692307692307692
Attention-256,attention,256,43,raw_windows,0.25,attack,0.25-0.5,46,11,0.2391304347826087
Attention-256,attention,256,43,raw_windows,0.25,attack,0.5-1,77,16,0.2077922077922078
Attention-256,attention,256,43,raw_windows,0.25,attack,1-2,91,27,0.2967032967032967
Attention-256,attention,256,43,raw_windows,0.25,attack,2-4,78,15,0.19230769230769232
Attention-256,attention,256,43,raw_windows,0.25,attack,4-8,36,7,0.19444444444444445
Attention-256,attention,256,43,raw_windows,0.25,attack,>=8,2,0,0.0
Attention-256,attention,256,43,raw_windows,0.25,investigation,<0.25,220,42,0.19090909090909092
Attention-256,attention,256,43,raw_windows,0.25,investigation,0.25-0.5,301,94,0.3122923588039867
