stream,head,capacity,prediction_type,n_seeds,evaluated_videos,mean_accuracy_seed_mean,mean_frame_macro_f1_present_behaviors_seed_mean,mean_bout_macro_f1_iou10_present_behaviors_seed_mean,mean_bout_macro_f1_iou25_present_behaviors_seed_mean,mean_bout_macro_f1_iou50_present_behaviors_seed_mean,mean_accuracy_seed_sd,mean_frame_macro_f1_present_behaviors_seed_sd,mean_bout_macro_f1_iou10_present_behaviors_seed_sd,mean_bout_macro_f1_iou25_present_behaviors_seed_sd,mean_bout_macro_f1_iou50_present_behaviors_seed_sd
animal_visual_only,attention,256,smoothed_frames,3,28.0,0.8419374956022136,0.680001956359248,0.6433947169864536,0.5803997946246924,0.4141150101815623,0.0040527434359557,0.0034049113291221,0.0091362267493359,0.0039795452586941,0.0020851482489147
animal_visual_only,lstm,256,smoothed_frames,3,28.0,0.816687445990993,0.6377158320339048,0.6415947848379792,0.55731668473619,0.3724952074288806,0.0278764734951277,0.0232430338859751,0.0122903952500262,0.0246691778369508,0.02953651846154
full,attention,256,smoothed_frames,3,28.0,0.8852262194427082,0.7518452477484304,0.7194812116694315,0.6795077242237585,0.5374371831280128,0.0089931455013233,0.0056523053913263,0.0148456880829645,0.0111156642215273,0.0098915211732658
full,lstm,256,smoothed_frames,3,28.0,0.8851274360949359,0.7466517003077143,0.7126127958750051,0.6722245273898108,0.5416423011480057,0.0042118650655018,0.005920040350959,0.0069328695573141,0.0020794648855443,0.0051560640040641
no_group_visual,attention,512,smoothed_frames,3,28.0,0.877307694805178,0.7391695045066622,0.7095487653300893,0.6662885935650542,0.5153864084556191,0.0034645937188676,0.0050114690417212,0.0080372919682421,0.0095937614512329,0.0037463636772315
no_group_visual,lstm,256,smoothed_frames,3,28.0,0.8811949436360066,0.7338022464570075,0.7012223448979281,0.6588834903059047,0.505373522701583,0.0049317785396158,0.007130635343696,0.0049322192258015,0.0073790370671852,0.0104655365814492
no_relations,attention,896,smoothed_frames,3,28.0,0.850470973192143,0.6972828824796533,0.6676764919740897,0.6136070866847679,0.4367520563578181,0.0137425759017875,0.012283987094044,0.0154018025079309,0.0013354502450369,0.0223811670753122
no_relations,lstm,512,smoothed_frames,3,28.0,0.8532720448003079,0.6980449608492701,0.6865160005181258,0.631645302400821,0.4525781774058743,0.0055046717142991,0.0034694097484295,0.0072345912854208,0.0104891133108989,0.0072649438142513
pose_relations_only,attention,896,smoothed_frames,3,28.0,0.8774695215426737,0.7279640520343964,0.7068222751002279,0.6618180663228063,0.5073505145214591,0.0046355612782177,0.0040695757636908,0.0058310361425236,0.0021220987284509,0.0122798663510637
pose_relations_only,lstm,896,smoothed_frames,3,28.0,0.8705629912370494,0.712162034511144,0.6872474822343778,0.6402645798416439,0.4812707612433482,0.0128174298116811,0.0088496178370242,0.0096050387254338,0.001573467757963,0.0217497173308211
visual_only,attention,896,smoothed_frames,3,28.0,0.8470478378864055,0.6867240836390641,0.6584969213603872,0.6000510108107545,0.4249704096792511,0.005174794585575,0.0042987256820798,0.0108883847896364,0.0052686406125659,0.0052556347896105
visual_only,lstm,896,smoothed_frames,3,28.0,0.8390986967053795,0.6745861200251818,0.6530641486972185,0.595141843360259,0.4183872939982442,0.0105586380702205,0.0033291808294473,0.0006411354837723,0.0049971528466968,0.0115860404491532
