track,head,capacity,seed,model_name,class,gt_start_frame,gt_end_frame,gt_duration_frames,overlapping_pred_bouts,covered_gt_frames,gt_coverage_fraction,split,video_id
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,3802,3816,15,1,6,0.4,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,3818,3838,21,1,21,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,3859,3981,123,1,123,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,4000,4055,56,1,56,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,4290,4346,57,1,46,0.8070175438596491,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,4348,4501,154,1,154,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,4612,4685,74,2,28,0.3783783783783784,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,4687,4710,24,1,24,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,4712,4718,7,0,0,0.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,4965,5026,62,1,43,0.6935483870967742,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,5028,5183,156,1,128,0.8205128205128205,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,5913,5996,84,1,71,0.8452380952380952,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,5998,6322,325,1,325,1.0,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,investigation,6918,6945,28,1,26,0.9285714285714286,test_1,Mouse060_20160526_18-16-27
Attention-256,attention,256,42,yolo_sppf_full_attention256_seed42,mount,6947,6981,35,1,29,0.8285714285714286,test_1,Mouse060_20160526_18-16-27
