model_name,head,capacity,seed,track,split,video_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,levenshtein_distance,normalized_edit_similarity,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,1,90,103,109,0.8737864077669902,0.8256880733944955,0.8490566037735849
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,2,82,102,108,0.803921568627451,0.7592592592592593,0.780952380952381
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,3,73,101,107,0.7227722772277227,0.6822429906542056,0.7019230769230769
yolo_sppf_full_attention896_seed42,attention,896,42,Attention-896,test_1,Mouse060_20160526_18-16-27,109,103,0.944954128440367,26,0.7614678899082569,4,64,100,106,0.64,0.6037735849056604,0.6213592233009708
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,19,0.8256880733944953,1,103,107,109,0.9626168224299065,0.944954128440367,0.9537037037037037
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,19,0.8256880733944953,2,98,106,108,0.9245283018867925,0.9074074074074074,0.9158878504672898
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,19,0.8256880733944953,3,84,105,107,0.8,0.7850467289719626,0.7924528301886793
yolo_sppf_full_attention896_seed43,attention,896,43,Attention-896,test_1,Mouse060_20160526_18-16-27,109,107,0.981651376146789,19,0.8256880733944953,4,77,104,106,0.7403846153846154,0.7264150943396226,0.7333333333333334
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,22,0.8018018018018018,1,103,111,109,0.9279279279279279,0.944954128440367,0.9363636363636363
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,22,0.8018018018018018,2,95,110,108,0.8636363636363636,0.8796296296296297,0.8715596330275229
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,22,0.8018018018018018,3,79,109,107,0.7247706422018348,0.7383177570093458,0.7314814814814815
yolo_sppf_full_attention896_seed44,attention,896,44,Attention-896,test_1,Mouse060_20160526_18-16-27,109,111,1.018348623853211,22,0.8018018018018018,4,69,108,106,0.6388888888888888,0.6509433962264151,0.6448598130841121
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,26,0.7614678899082569,1,89,98,109,0.9081632653061225,0.8165137614678899,0.8599033816425121
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,26,0.7614678899082569,2,81,97,108,0.8350515463917526,0.75,0.7902439024390243
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,26,0.7614678899082569,3,73,96,107,0.7604166666666666,0.6822429906542056,0.7192118226600985
yolo_sppf_full_lstm256_seed42,lstm,256,42,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,26,0.7614678899082569,4,64,95,106,0.6736842105263158,0.6037735849056604,0.6368159203980099
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,21,0.8073394495412844,1,96,98,109,0.9795918367346939,0.8807339449541285,0.927536231884058
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,21,0.8073394495412844,2,94,97,108,0.9690721649484536,0.8703703703703703,0.9170731707317072
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,21,0.8073394495412844,3,91,96,107,0.9479166666666666,0.8504672897196262,0.8965517241379312
yolo_sppf_full_lstm256_seed43,lstm,256,43,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,98,0.8990825688073395,21,0.8073394495412844,4,87,95,106,0.9157894736842105,0.8207547169811321,0.8656716417910448
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,1,104,109,109,0.9541284403669725,0.9541284403669725,0.9541284403669725
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,2,99,108,108,0.9166666666666666,0.9166666666666666,0.9166666666666666
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,3,86,107,107,0.8037383177570093,0.8037383177570093,0.8037383177570093
yolo_sppf_full_lstm256_seed44,lstm,256,44,LSTM-256,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,4,79,106,106,0.7452830188679245,0.7452830188679245,0.7452830188679244
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,22,0.7981651376146789,1,101,104,109,0.9711538461538461,0.926605504587156,0.9483568075117371
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,22,0.7981651376146789,2,97,103,108,0.941747572815534,0.8981481481481481,0.9194312796208531
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,22,0.7981651376146789,3,85,102,107,0.8333333333333334,0.794392523364486,0.8133971291866029
yolo_sppf_full_lstm512_seed42,lstm,512,42,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,104,0.9541284403669725,22,0.7981651376146789,4,79,101,106,0.7821782178217822,0.7452830188679245,0.7632850241545893
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,1,105,109,109,0.963302752293578,0.963302752293578,0.963302752293578
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,2,100,108,108,0.9259259259259259,0.9259259259259259,0.9259259259259259
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,3,92,107,107,0.8598130841121495,0.8598130841121495,0.8598130841121495
yolo_sppf_full_lstm512_seed43,lstm,512,43,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,109,1.0,22,0.7981651376146789,4,87,106,106,0.8207547169811321,0.8207547169811321,0.8207547169811321
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,18,0.8348623853211009,1,107,108,109,0.9907407407407407,0.981651376146789,0.9861751152073732
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,18,0.8348623853211009,2,106,107,108,0.9906542056074766,0.9814814814814815,0.986046511627907
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,18,0.8348623853211009,3,94,106,107,0.8867924528301887,0.8785046728971962,0.8826291079812206
yolo_sppf_full_lstm512_seed44,lstm,512,44,LSTM-512,test_1,Mouse060_20160526_18-16-27,109,108,0.9908256880733946,18,0.8348623853211009,4,88,105,106,0.8380952380952381,0.8301886792452831,0.8341232227488152
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,23,0.7964601769911505,1,105,113,109,0.9292035398230089,0.963302752293578,0.9459459459459459
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,23,0.7964601769911505,2,98,112,108,0.875,0.9074074074074074,0.8909090909090909
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,23,0.7964601769911505,3,84,111,107,0.7567567567567568,0.7850467289719626,0.7706422018348625
yolo_sppf_full_lstm896_seed42,lstm,896,42,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,113,1.036697247706422,23,0.7964601769911505,4,75,110,106,0.6818181818181818,0.7075471698113207,0.6944444444444443
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,22,0.7981651376146789,1,100,100,109,1.0,0.9174311926605505,0.9569377990430622
yolo_sppf_full_lstm896_seed43,lstm,896,43,LSTM-896,test_1,Mouse060_20160526_18-16-27,109,100,0.9174311926605505,22,0.7981651376146789,2,99,99,108,1.0,0.9166666666666666,0.9565217391304348
