from_behavior,to_behavior,gt_probability,model_probability,difference_model_minus_gt,focus_track
attack,attack,0.06741573033707865,0.3100871731008717,0.24267144276379304,Attention-256
attack,investigation,0.9269662921348315,0.6500622665006226,-0.2769040256342089,Attention-256
attack,mount,0.0056179775280898875,0.0398505603985056,0.03423258287041571,Attention-256
investigation,attack,0.22714681440443213,0.19561933534743203,-0.031527479057000096,Attention-256
investigation,investigation,0.6301939058171745,0.5962990936555892,-0.0338948121615853,Attention-256
investigation,mount,0.14265927977839335,0.20808157099697885,0.0654222912185855,Attention-256
mount,attack,0.0049261083743842365,0.048027444253859346,0.04310133587947511,Attention-256
mount,investigation,0.9950738916256158,0.9262435677530017,-0.06883032387261412,Attention-256
mount,mount,0.0,0.025728987993138934,0.025728987993138934,Attention-256
