stream,head,capacity,seed,prediction_type,class,evaluated_videos,mean_gt_frames,mean_pred_frames,mean_frame_precision,mean_frame_recall,mean_frame_f1,mean_bout_f1_iou10,mean_bout_f1_iou25,mean_bout_f1_iou50,sum_gt_frames,sum_pred_frames
animal_visual_only,attention,256,42,raw_windows,attack,28,681.0,1201.7142857142858,0.3319313285761738,0.43691740287746483,0.3701935912005828,0.3457226202039287,0.3173997637664325,0.22421620084403562,19068,33648
animal_visual_only,attention,256,42,raw_windows,investigation,28,2739.964285714286,3246.285714285714,0.5872570134470533,0.7051409947159092,0.6329060271751648,0.570601111269352,0.4890654760802827,0.3064092247026635,76719,90896
animal_visual_only,attention,256,42,raw_windows,mount,28,1259.9642857142858,1195.4285714285713,0.43900085255297305,0.42817996329254715,0.4205888646871355,0.42255916141582756,0.40154272802254687,0.32583081788349544,35279,33472
animal_visual_only,attention,256,42,raw_windows,other,28,7760.785714285715,6798.285714285715,0.9606163783433652,0.84020853472265,0.8947163802765347,0.0,0.0,0.0,217302,190352
animal_visual_only,attention,256,42,smoothed_frames,attack,28,681.0,1204.0,0.331724751081748,0.4369486489717031,0.3700776605780004,0.345420033794893,0.3168044143270237,0.22382814602230613,19068,33712
animal_visual_only,attention,256,42,smoothed_frames,investigation,28,2739.964285714286,3246.285714285714,0.5872570134470533,0.7051409947159092,0.6329060271751648,0.570601111269352,0.4890654760802827,0.3064092247026635,76719,90896
animal_visual_only,attention,256,42,smoothed_frames,mount,28,1259.9642857142858,1195.4285714285713,0.43900085255297305,0.42817996329254715,0.4205888646871355,0.42255916141582756,0.40154272802254687,0.32583081788349544,35279,33472
animal_visual_only,attention,256,42,smoothed_frames,other,28,7760.785714285715,6796.0,0.9608540989054603,0.8400931915277275,0.8947474544934932,0.0,0.0,0.0,217302,190288
animal_visual_only,attention,256,43,raw_windows,attack,28,681.0,1071.4285714285713,0.35144836781009153,0.4148352190195727,0.3714069036834787,0.349961282859092,0.32002186232224206,0.22019399189515168,19068,30000
animal_visual_only,attention,256,43,raw_windows,investigation,28,2739.964285714286,3174.285714285714,0.6065055750094539,0.6983936164752473,0.6387676686426601,0.5713910474935552,0.5016842861028334,0.3145149554616338,76719,88880
animal_visual_only,attention,256,43,raw_windows,mount,28,1259.9642857142858,1166.2857142857142,0.4447684865279372,0.4281741002772392,0.4247818137852394,0.43499238592575384,0.41026823789333516,0.3290779631070012,35279,32656
animal_visual_only,attention,256,43,raw_windows,other,28,7760.785714285715,7029.714285714285,0.9434931507255226,0.8595746536844848,0.8968959904556177,0.0,0.0,0.0,217302,196832
animal_visual_only,attention,256,43,smoothed_frames,attack,28,681.0,1073.7142857142858,0.3512062472145697,0.4148664651138109,0.3712826515785084,0.34954115502691224,0.3193569061044816,0.21977672255289252,19068,30064
animal_visual_only,attention,256,43,smoothed_frames,investigation,28,2739.964285714286,3174.285714285714,0.6065055750094539,0.6983936164752473,0.6387676686426601,0.5713910474935552,0.5016842861028334,0.3145149554616338,76719,88880
animal_visual_only,attention,256,43,smoothed_frames,mount,28,1259.9642857142858,1166.2857142857142,0.4447684865279372,0.4281741002772392,0.4247818137852394,0.43499238592575384,0.41026823789333516,0.3290779631070012,35279,32656
animal_visual_only,attention,256,43,smoothed_frames,other,28,7760.785714285715,7027.428571428572,0.9437263065479097,0.8594593104895624,0.8969280293101801,0.0,0.0,0.0,217302,196768
animal_visual_only,attention,256,44,raw_windows,attack,28,681.0,1074.857142857143,0.3505038625120929,0.40934674824426526,0.3685626272493244,0.35958028675551884,0.3239679138254762,0.20718265601820354,19068,30096
animal_visual_only,attention,256,44,raw_windows,investigation,28,2739.964285714286,3534.8571428571427,0.5667315542035233,0.7439153055136957,0.6356965206979692,0.5794827537152256,0.4914696538029019,0.2965722690360098,76719,98976
animal_visual_only,attention,256,44,raw_windows,mount,28,1259.9642857142858,1285.142857142857,0.4396438970178214,0.4604992338434254,0.43312847916234576,0.4399220422625157,0.4100348242174029,0.3598994260343374,35279,35984
animal_visual_only,attention,256,44,raw_windows,other,28,7760.785714285715,6546.857142857143,0.967442974532183,0.8169704551756384,0.8837304133362579,0.0,0.0,0.0,217302,183312
animal_visual_only,attention,256,44,smoothed_frames,attack,28,681.0,1077.142857142857,0.35027430807849047,0.40937799433850347,0.3684441432359365,0.3593206682368225,0.3233871937325609,0.20685081596510915,19068,30160
animal_visual_only,attention,256,44,smoothed_frames,investigation,28,2739.964285714286,3534.8571428571427,0.5667315542035233,0.7439153055136957,0.6356965206979692,0.5794827537152256,0.4914696538029019,0.2965722690360098,76719,98976
animal_visual_only,attention,256,44,smoothed_frames,mount,28,1259.9642857142858,1285.142857142857,0.4396438970178214,0.4604992338434254,0.43312847916234576,0.4399220422625157,0.4100348242174029,0.3598994260343374,35279,35984
animal_visual_only,attention,256,44,smoothed_frames,other,28,7760.785714285715,6544.571428571428,0.9677021783226476,0.8168551119807159,0.8837597232214379,0.0,0.0,0.0,217302,183248
animal_visual_only,attention,512,42,raw_windows,attack,28,681.0,1410.857142857143,0.3022387253365429,0.4533581255302928,0.35606917113967745,0.3074035905421539,0.27143465399179806,0.19343021090177093,19068,39504
animal_visual_only,attention,512,42,raw_windows,investigation,28,2739.964285714286,3213.714285714286,0.5709022079131183,0.676447260658728,0.6088036560290065,0.55765191875642,0.45258203223734095,0.2915809291761349,76719,89984
animal_visual_only,attention,512,42,raw_windows,mount,28,1259.9642857142858,1217.142857142857,0.4454242351898515,0.44436017718809523,0.43324239279871424,0.4290056918715663,0.4074179345372954,0.33318255426364557,35279,34080
animal_visual_only,attention,512,42,raw_windows,other,28,7760.785714285715,6600.0,0.9656962791296267,0.8235664681340408,0.8869431412452032,0.0,0.0,0.0,217302,184800
animal_visual_only,attention,512,42,smoothed_frames,attack,28,681.0,1413.142857142857,0.3020826567088052,0.453389371624531,0.3559684375609845,0.3070482855778292,0.2706933600649008,0.19317423554715835,19068,39568
animal_visual_only,attention,512,42,smoothed_frames,investigation,28,2739.964285714286,3213.714285714286,0.5709022079131183,0.676447260658728,0.6088036560290065,0.55765191875642,0.45258203223734095,0.2915809291761349,76719,89984
animal_visual_only,attention,512,42,smoothed_frames,mount,28,1259.9642857142858,1217.142857142857,0.4454242351898515,0.44436017718809523,0.43324239279871424,0.4290056918715663,0.4074179345372954,0.33318255426364557,35279,34080
animal_visual_only,attention,512,42,smoothed_frames,other,28,7760.785714285715,6597.714285714285,0.9659587633945456,0.8234511249391183,0.8869731625678963,0.0,0.0,0.0,217302,184736
animal_visual_only,attention,512,43,raw_windows,attack,28,681.0,1036.0,0.35879355890905007,0.4099549563518159,0.3736812098368944,0.366742895810028,0.3258263469392096,0.20791790233815158,19068,29008
animal_visual_only,attention,512,43,raw_windows,investigation,28,2739.964285714286,3494.8571428571427,0.5788695228284352,0.7405340463042738,0.6405060241702628,0.5877401933812563,0.5034650498749578,0.3116027031681624,76719,97856
animal_visual_only,attention,512,43,raw_windows,mount,28,1259.9642857142858,1150.2857142857142,0.45431483807575945,0.42339394891507187,0.4262716758442255,0.43006352958270605,0.4106313122513291,0.29996991198583467,35279,32208
animal_visual_only,attention,512,43,raw_windows,other,28,7760.785714285715,6760.571428571428,0.9553108823040628,0.8377089417899262,0.890130069637725,0.0,0.0,0.0,217302,189296
animal_visual_only,attention,512,43,smoothed_frames,attack,28,681.0,1038.2857142857142,0.3585274705604592,0.4099862024460541,0.3735537573866718,0.3662551182814342,0.3251488781494959,0.20756188080866061,19068,29072
animal_visual_only,attention,512,43,smoothed_frames,investigation,28,2739.964285714286,3494.8571428571427,0.5788695228284352,0.7405340463042738,0.6405060241702628,0.5877401933812563,0.5034650498749578,0.3116027031681624,76719,97856
animal_visual_only,attention,512,43,smoothed_frames,mount,28,1259.9642857142858,1150.2857142857142,0.45431483807575945,0.42339394891507187,0.4262716758442255,0.43006352958270605,0.4106313122513291,0.29996991198583467,35279,32208
animal_visual_only,attention,512,43,smoothed_frames,other,28,7760.785714285715,6758.285714285715,0.9555569267476663,0.8375935985950037,0.8901618092525795,0.0,0.0,0.0,217302,189232
animal_visual_only,attention,512,44,raw_windows,attack,28,681.0,1128.0,0.3454479501161413,0.41810850677913025,0.3694862286067852,0.3536551430262548,0.31423928814295593,0.1994121667276318,19068,31584
animal_visual_only,attention,512,44,raw_windows,investigation,28,2739.964285714286,3630.285714285714,0.5493376430496116,0.7469435554164007,0.6256214804332375,0.5839821174714811,0.4914141075802852,0.2961449810926779,76719,101648
animal_visual_only,attention,512,44,raw_windows,mount,28,1259.9642857142858,1352.0,0.4286980932411275,0.4754762511479459,0.43255626838819555,0.41988243227871314,0.40380327334241134,0.35844179102440726,35279,37856
animal_visual_only,attention,512,44,raw_windows,other,28,7760.785714285715,6331.428571428572,0.9717519443649169,0.7962377194394051,0.8727125913308089,0.0,0.0,0.0,217302,177280
animal_visual_only,attention,512,44,smoothed_frames,attack,28,681.0,1130.2857142857142,0.34522607323149607,0.41813975287336846,0.3693688599896537,0.35342446404707256,0.3136855782869205,0.19909576109561153,19068,31648
animal_visual_only,attention,512,44,smoothed_frames,investigation,28,2739.964285714286,3630.285714285714,0.5493376430496116,0.7469435554164007,0.6256214804332375,0.5839821174714811,0.4914141075802852,0.2961449810926779,76719,101648
animal_visual_only,attention,512,44,smoothed_frames,mount,28,1259.9642857142858,1352.0,0.4286980932411275,0.4754762511479459,0.43255626838819555,0.41988243227871314,0.40380327334241134,0.35844179102440726,35279,37856
animal_visual_only,attention,512,44,smoothed_frames,other,28,7760.785714285715,6329.142857142857,0.9720237302504311,0.7961223762444826,0.8727408729416919,0.0,0.0,0.0,217302,177216
animal_visual_only,attention,896,42,raw_windows,attack,28,681.0,1262.2857142857142,0.3189308078046076,0.44283845580317466,0.36393993470822883,0.3245452309785584,0.29773384956593274,0.1897387342018941,19068,35344
animal_visual_only,attention,896,42,raw_windows,investigation,28,2739.964285714286,3201.714285714286,0.5819354897088491,0.6907472924707189,0.6213680727528506,0.5647533202511635,0.4778045419285196,0.29402601950474844,76719,89648
animal_visual_only,attention,896,42,raw_windows,mount,28,1259.9642857142858,1261.142857142857,0.4392140158354512,0.4585870998999772,0.43598453617172706,0.4258019140796545,0.401130654197127,0.34279510758964843,35279,35312
animal_visual_only,attention,896,42,raw_windows,other,28,7760.785714285715,6716.571428571428,0.9606942720846217,0.8321039146834835,0.8896700637472569,0.0,0.0,0.0,217302,188064
animal_visual_only,attention,896,42,smoothed_frames,attack,28,681.0,1264.5714285714287,0.3187490251502787,0.44286970189741287,0.3638309812069183,0.3242446534552531,0.29713641883847713,0.18940915484356058,19068,35408
animal_visual_only,attention,896,42,smoothed_frames,investigation,28,2739.964285714286,3201.714285714286,0.5819354897088491,0.6907472924707189,0.6213680727528506,0.5647533202511635,0.4778045419285196,0.29402601950474844,76719,89648
animal_visual_only,attention,896,42,smoothed_frames,mount,28,1259.9642857142858,1261.142857142857,0.4392140158354512,0.4585870998999772,0.43598453617172706,0.4258019140796545,0.401130654197127,0.34279510758964843,35279,35312
