prediction_type,track,head,capacity,seed,class,pred_bouts,pred_median_duration_frames,fraction_pred_bouts_with_any_gt,fraction_pred_bouts_merging_gt,mean_overlapping_gt_bouts,median_overlapping_gt_bouts,gt_bouts,gt_median_duration_frames,bout_count_ratio_pred_gt,median_duration_ratio_pred_gt
raw_windows,Attention-256,attention,256,42,attack,269,64.0,0.8996282527881041,0.275092936802974,1.2899628252788105,1.0,356,39.0,0.7556179775280899,1.641025641025641
raw_windows,Attention-256,attention,256,42,investigation,884,48.0,0.8631221719457014,0.1515837104072398,1.0723981900452488,1.0,1467,21.0,0.6025903203817314,2.2857142857142856
raw_windows,Attention-256,attention,256,42,mount,205,80.0,0.8682926829268293,0.04390243902439024,0.9121951219512195,1.0,208,74.5,0.9855769230769231,1.0738255033557047
raw_windows,Attention-256,attention,256,43,attack,262,64.0,0.9274809160305344,0.2786259541984733,1.2938931297709924,1.0,356,39.0,0.7359550561797753,1.641025641025641
raw_windows,Attention-256,attention,256,43,investigation,885,48.0,0.8598870056497175,0.1480225988700565,1.0632768361581921,1.0,1467,21.0,0.6032719836400818,2.2857142857142856
raw_windows,Attention-256,attention,256,43,mount,186,80.0,0.9301075268817204,0.021505376344086023,0.9516129032258065,1.0,208,74.5,0.8942307692307693,1.0738255033557047
raw_windows,Attention-256,attention,256,44,attack,264,64.0,0.9015151515151515,0.2765151515151515,1.303030303030303,1.0,356,39.0,0.7415730337078652,1.641025641025641
raw_windows,Attention-256,attention,256,44,investigation,944,48.0,0.8379237288135594,0.18008474576271186,1.0826271186440677,1.0,1467,21.0,0.643490115882754,2.2857142857142856
raw_windows,Attention-256,attention,256,44,mount,207,80.0,0.8357487922705314,0.03864734299516908,0.8743961352657005,1.0,208,74.5,0.9951923076923077,1.0738255033557047
raw_windows,Attention-512,attention,512,42,attack,330,64.0,0.6757575757575758,0.2515151515151515,1.0666666666666667,1.0,356,39.0,0.9269662921348315,1.641025641025641
raw_windows,Attention-512,attention,512,42,investigation,875,48.0,0.8662857142857143,0.1462857142857143,1.0651428571428572,1.0,1467,21.0,0.5964553510565781,2.2857142857142856
raw_windows,Attention-512,attention,512,42,mount,189,80.0,0.9206349206349206,0.031746031746031744,0.9523809523809523,1.0,208,74.5,0.9086538461538461,1.0738255033557047
raw_windows,Attention-512,attention,512,43,attack,281,64.0,0.8647686832740213,0.2704626334519573,1.2597864768683273,1.0,356,39.0,0.7893258426966292,1.641025641025641
raw_windows,Attention-512,attention,512,43,investigation,936,48.0,0.8418803418803419,0.16666666666666666,1.079059829059829,1.0,1467,21.0,0.6380368098159509,2.2857142857142856
raw_windows,Attention-512,attention,512,43,mount,191,80.0,0.8952879581151832,0.020942408376963352,0.9162303664921466,1.0,208,74.5,0.9182692307692307,1.0738255033557047
raw_windows,Attention-512,attention,512,44,attack,284,80.0,0.8028169014084507,0.28169014084507044,1.2253521126760563,1.0,356,39.0,0.797752808988764,2.051282051282051
raw_windows,Attention-512,attention,512,44,investigation,898,48.0,0.8496659242761693,0.17260579064587972,1.086859688195991,1.0,1467,21.0,0.6121336059986366,2.2857142857142856
raw_windows,Attention-512,attention,512,44,mount,197,80.0,0.8730964467005076,0.03553299492385787,0.9086294416243654,1.0,208,74.5,0.9471153846153846,1.0738255033557047
raw_windows,Attention-896,attention,896,42,attack,283,64.0,0.8162544169611308,0.27208480565371024,1.215547703180212,1.0,356,39.0,0.7949438202247191,1.641025641025641
raw_windows,Attention-896,attention,896,42,investigation,852,48.0,0.8755868544600939,0.13380281690140844,1.056338028169014,1.0,1467,21.0,0.5807770961145194,2.2857142857142856
raw_windows,Attention-896,attention,896,42,mount,232,80.0,0.8060344827586207,0.05172413793103448,0.8577586206896551,1.0,208,74.5,1.1153846153846154,1.0738255033557047
raw_windows,Attention-896,attention,896,43,attack,261,80.0,0.9157088122605364,0.2835249042145594,1.3256704980842913,1.0,356,39.0,0.7331460674157303,2.051282051282051
raw_windows,Attention-896,attention,896,43,investigation,974,48.0,0.8347022587268994,0.17453798767967146,1.0821355236139631,1.0,1467,21.0,0.6639400136332652,2.2857142857142856
raw_windows,Attention-896,attention,896,43,mount,185,80.0,0.9459459459459459,0.02702702702702703,0.972972972972973,1.0,208,74.5,0.8894230769230769,1.0738255033557047
raw_windows,Attention-896,attention,896,44,attack,279,80.0,0.8315412186379928,0.27598566308243727,1.2616487455197132,1.0,356,39.0,0.7837078651685393,2.051282051282051
raw_windows,Attention-896,attention,896,44,investigation,950,48.0,0.8273684210526315,0.16736842105263158,1.0705263157894738,1.0,1467,21.0,0.6475800954328562,2.2857142857142856
raw_windows,Attention-896,attention,896,44,mount,188,80.0,0.9308510638297872,0.026595744680851064,0.9574468085106383,1.0,208,74.5,0.9038461538461539,1.0738255033557047
raw_windows,LSTM-256,lstm,256,42,attack,306,56.0,0.7941176470588235,0.2222222222222222,1.1013071895424837,1.0,356,39.0,0.8595505617977528,1.435897435897436
raw_windows,LSTM-256,lstm,256,42,investigation,855,48.0,0.8596491228070176,0.16257309941520467,1.0713450292397662,1.0,1467,21.0,0.5828220858895705,2.2857142857142856
raw_windows,LSTM-256,lstm,256,42,mount,210,80.0,0.819047619047619,0.0380952380952381,0.8571428571428571,1.0,208,74.5,1.0096153846153846,1.0738255033557047
raw_windows,LSTM-256,lstm,256,43,attack,257,64.0,0.9377431906614786,0.22178988326848248,1.2217898832684826,1.0,356,39.0,0.7219101123595506,1.641025641025641
raw_windows,LSTM-256,lstm,256,43,investigation,903,48.0,0.8504983388704319,0.14728682170542637,1.0487264673311185,1.0,1467,21.0,0.6155419222903885,2.2857142857142856
raw_windows,LSTM-256,lstm,256,43,mount,195,80.0,0.882051282051282,0.020512820512820513,0.9025641025641026,1.0,208,74.5,0.9375,1.0738255033557047
raw_windows,LSTM-256,lstm,256,44,attack,273,64.0,0.8717948717948718,0.2454212454212454,1.2234432234432235,1.0,356,39.0,0.7668539325842697,1.641025641025641
raw_windows,LSTM-256,lstm,256,44,investigation,958,48.0,0.8288100208768268,0.14926931106471816,1.0313152400835073,1.0,1467,21.0,0.6530334014996592,2.2857142857142856
raw_windows,LSTM-256,lstm,256,44,mount,212,80.0,0.8349056603773585,0.03773584905660377,0.8726415094339622,1.0,208,74.5,1.0192307692307692,1.0738255033557047
raw_windows,LSTM-512,lstm,512,42,attack,275,64.0,0.8836363636363637,0.2545454545454545,1.269090909090909,1.0,356,39.0,0.7724719101123596,1.641025641025641
raw_windows,LSTM-512,lstm,512,42,investigation,943,48.0,0.8324496288441146,0.15906680805938495,1.0477200424178155,1.0,1467,21.0,0.6428084526244036,2.2857142857142856
raw_windows,LSTM-512,lstm,512,42,mount,198,80.0,0.9040404040404041,0.03535353535353535,0.9393939393939394,1.0,208,74.5,0.9519230769230769,1.0738255033557047
raw_windows,LSTM-512,lstm,512,43,attack,250,64.0,0.96,0.232,1.26,1.0,356,39.0,0.702247191011236,1.641025641025641
raw_windows,LSTM-512,lstm,512,43,investigation,912,48.0,0.8355263157894737,0.13815789473684212,1.025219298245614,1.0,1467,21.0,0.621676891615542,2.2857142857142856
raw_windows,LSTM-512,lstm,512,43,mount,198,80.0,0.8838383838383839,0.030303030303030304,0.9141414141414141,1.0,208,74.5,0.9519230769230769,1.0738255033557047
raw_windows,LSTM-512,lstm,512,44,attack,257,64.0,0.9260700389105059,0.25680933852140075,1.3073929961089494,1.0,356,39.0,0.7219101123595506,1.641025641025641
raw_windows,LSTM-512,lstm,512,44,investigation,979,48.0,0.8345250255362615,0.17466802860061287,1.083758937691522,1.0,1467,21.0,0.667348329925017,2.2857142857142856
raw_windows,LSTM-512,lstm,512,44,mount,187,80.0,0.8983957219251337,0.03208556149732621,0.93048128342246,1.0,208,74.5,0.8990384615384616,1.0738255033557047
raw_windows,LSTM-896,lstm,896,42,attack,282,64.0,0.851063829787234,0.25886524822695034,1.2340425531914894,1.0,356,39.0,0.7921348314606742,1.641025641025641
raw_windows,LSTM-896,lstm,896,42,investigation,917,48.0,0.8287895310796074,0.14394765539803708,1.0327153762268266,1.0,1467,21.0,0.6250852079072938,2.2857142857142856
raw_windows,LSTM-896,lstm,896,42,mount,198,80.0,0.9343434343434344,0.030303030303030304,0.9646464646464646,1.0,208,74.5,0.9519230769230769,1.0738255033557047
raw_windows,LSTM-896,lstm,896,43,attack,245,80.0,0.9510204081632653,0.2693877551020408,1.3591836734693878,1.0,356,39.0,0.6882022471910112,2.051282051282051
raw_windows,LSTM-896,lstm,896,43,investigation,966,48.0,0.8229813664596274,0.15424430641821946,1.046583850931677,1.0,1467,21.0,0.6584867075664622,2.2857142857142856
raw_windows,LSTM-896,lstm,896,43,mount,204,80.0,0.9166666666666666,0.00980392156862745,0.9264705882352942,1.0,208,74.5,0.9807692307692307,1.0738255033557047
raw_windows,LSTM-896,lstm,896,44,attack,261,80.0,0.9042145593869731,0.25287356321839083,1.2950191570881227,1.0,356,39.0,0.7331460674157303,2.051282051282051
raw_windows,LSTM-896,lstm,896,44,investigation,981,48.0,0.81855249745158,0.1712538226299694,1.0744138634046891,1.0,1467,21.0,0.6687116564417178,2.2857142857142856
raw_windows,LSTM-896,lstm,896,44,mount,196,80.0,0.9540816326530612,0.015306122448979591,0.9693877551020408,1.0,208,74.5,0.9423076923076923,1.0738255033557047
smoothed_frames,Attention-256,attention,256,42,attack,273,64.0,0.8901098901098901,0.27106227106227104,1.2747252747252746,1.0,356,39.0,0.7668539325842697,1.641025641025641
smoothed_frames,Attention-256,attention,256,42,investigation,884,48.0,0.8631221719457014,0.1515837104072398,1.0723981900452488,1.0,1467,21.0,0.6025903203817314,2.2857142857142856
smoothed_frames,Attention-256,attention,256,42,mount,205,80.0,0.8682926829268293,0.04390243902439024,0.9121951219512195,1.0,208,74.5,0.9855769230769231,1.0738255033557047
smoothed_frames,Attention-256,attention,256,43,attack,266,64.0,0.9172932330827067,0.2744360902255639,1.2781954887218046,1.0,356,39.0,0.7471910112359551,1.641025641025641
smoothed_frames,Attention-256,attention,256,43,investigation,885,48.0,0.8598870056497175,0.1480225988700565,1.0632768361581921,1.0,1467,21.0,0.6032719836400818,2.2857142857142856
smoothed_frames,Attention-256,attention,256,43,mount,186,80.0,0.9301075268817204,0.021505376344086023,0.9516129032258065,1.0,208,74.5,0.8942307692307693,1.0738255033557047
smoothed_frames,Attention-256,attention,256,44,attack,268,64.0,0.8917910447761194,0.27238805970149255,1.287313432835821,1.0,356,39.0,0.7528089887640449,1.641025641025641
smoothed_frames,Attention-256,attention,256,44,investigation,944,48.0,0.8379237288135594,0.18008474576271186,1.0826271186440677,1.0,1467,21.0,0.643490115882754,2.2857142857142856
smoothed_frames,Attention-256,attention,256,44,mount,207,80.0,0.8357487922705314,0.03864734299516908,0.8743961352657005,1.0,208,74.5,0.9951923076923077,1.0738255033557047
smoothed_frames,Attention-512,attention,512,42,attack,333,64.0,0.6696696696696697,0.24924924924924924,1.057057057057057,1.0,356,39.0,0.9353932584269663,1.641025641025641
smoothed_frames,Attention-512,attention,512,42,investigation,875,48.0,0.8662857142857143,0.1462857142857143,1.0651428571428572,1.0,1467,21.0,0.5964553510565781,2.2857142857142856
smoothed_frames,Attention-512,attention,512,42,mount,189,80.0,0.9206349206349206,0.031746031746031744,0.9523809523809523,1.0,208,74.5,0.9086538461538461,1.0738255033557047
smoothed_frames,Attention-512,attention,512,43,attack,285,64.0,0.856140350877193,0.26666666666666666,1.2456140350877194,1.0,356,39.0,0.800561797752809,1.641025641025641
smoothed_frames,Attention-512,attention,512,43,investigation,936,48.0,0.8418803418803419,0.16666666666666666,1.079059829059829,1.0,1467,21.0,0.6380368098159509,2.2857142857142856
smoothed_frames,Attention-512,attention,512,43,mount,191,80.0,0.8952879581151832,0.020942408376963352,0.9162303664921466,1.0,208,74.5,0.9182692307692307,1.0738255033557047
smoothed_frames,Attention-512,attention,512,44,attack,288,80.0,0.7951388888888888,0.2777777777777778,1.2118055555555556,1.0,356,39.0,0.8089887640449438,2.051282051282051
smoothed_frames,Attention-512,attention,512,44,investigation,898,48.0,0.8496659242761693,0.17260579064587972,1.086859688195991,1.0,1467,21.0,0.6121336059986366,2.2857142857142856
smoothed_frames,Attention-512,attention,512,44,mount,197,80.0,0.8730964467005076,0.03553299492385787,0.9086294416243654,1.0,208,74.5,0.9471153846153846,1.0738255033557047
smoothed_frames,Attention-896,attention,896,42,attack,287,64.0,0.8083623693379791,0.2682926829268293,1.2020905923344947,1.0,356,39.0,0.8061797752808989,1.641025641025641
smoothed_frames,Attention-896,attention,896,42,investigation,852,48.0,0.8755868544600939,0.13380281690140844,1.056338028169014,1.0,1467,21.0,0.5807770961145194,2.2857142857142856
smoothed_frames,Attention-896,attention,896,42,mount,232,80.0,0.8060344827586207,0.05172413793103448,0.8577586206896551,1.0,208,74.5,1.1153846153846154,1.0738255033557047
smoothed_frames,Attention-896,attention,896,43,attack,265,80.0,0.9056603773584906,0.2792452830188679,1.3094339622641509,1.0,356,39.0,0.7443820224719101,2.051282051282051
smoothed_frames,Attention-896,attention,896,43,investigation,974,48.0,0.8347022587268994,0.17453798767967146,1.0821355236139631,1.0,1467,21.0,0.6639400136332652,2.2857142857142856
smoothed_frames,Attention-896,attention,896,43,mount,185,80.0,0.9459459459459459,0.02702702702702703,0.972972972972973,1.0,208,74.5,0.8894230769230769,1.0738255033557047
smoothed_frames,Attention-896,attention,896,44,attack,282,64.0,0.8226950354609929,0.2730496453900709,1.24822695035461,1.0,356,39.0,0.7921348314606742,1.641025641025641
smoothed_frames,Attention-896,attention,896,44,investigation,950,48.0,0.8273684210526315,0.16736842105263158,1.0705263157894738,1.0,1467,21.0,0.6475800954328562,2.2857142857142856
smoothed_frames,Attention-896,attention,896,44,mount,188,80.0,0.9308510638297872,0.026595744680851064,0.9574468085106383,1.0,208,74.5,0.9038461538461539,1.0738255033557047
smoothed_frames,LSTM-256,lstm,256,42,attack,310,48.0,0.7870967741935484,0.21935483870967742,1.0903225806451613,1.0,356,39.0,0.8707865168539326,1.2307692307692308
smoothed_frames,LSTM-256,lstm,256,42,investigation,855,48.0,0.8596491228070176,0.16257309941520467,1.0713450292397662,1.0,1467,21.0,0.5828220858895705,2.2857142857142856
smoothed_frames,LSTM-256,lstm,256,42,mount,210,80.0,0.819047619047619,0.0380952380952381,0.8571428571428571,1.0,208,74.5,1.0096153846153846,1.0738255033557047
smoothed_frames,LSTM-256,lstm,256,43,attack,261,64.0,0.9272030651340997,0.21839080459770116,1.206896551724138,1.0,356,39.0,0.7331460674157303,1.641025641025641
smoothed_frames,LSTM-256,lstm,256,43,investigation,903,48.0,0.8504983388704319,0.14728682170542637,1.0487264673311185,1.0,1467,21.0,0.6155419222903885,2.2857142857142856
smoothed_frames,LSTM-256,lstm,256,43,mount,195,80.0,0.882051282051282,0.020512820512820513,0.9025641025641026,1.0,208,74.5,0.9375,1.0738255033557047
smoothed_frames,LSTM-256,lstm,256,44,attack,276,64.0,0.8623188405797102,0.2427536231884058,1.210144927536232,1.0,356,39.0,0.7752808988764045,1.641025641025641
smoothed_frames,LSTM-256,lstm,256,44,investigation,958,48.0,0.8288100208768268,0.14926931106471816,1.0313152400835073,1.0,1467,21.0,0.6530334014996592,2.2857142857142856
smoothed_frames,LSTM-256,lstm,256,44,mount,212,80.0,0.8349056603773585,0.03773584905660377,0.8726415094339622,1.0,208,74.5,1.0192307692307692,1.0738255033557047
smoothed_frames,LSTM-512,lstm,512,42,attack,278,64.0,0.8741007194244604,0.2517985611510791,1.2553956834532374,1.0,356,39.0,0.7808988764044944,1.641025641025641
smoothed_frames,LSTM-512,lstm,512,42,investigation,943,48.0,0.8324496288441146,0.15906680805938495,1.0477200424178155,1.0,1467,21.0,0.6428084526244036,2.2857142857142856
smoothed_frames,LSTM-512,lstm,512,42,mount,198,80.0,0.9040404040404041,0.03535353535353535,0.9393939393939394,1.0,208,74.5,0.9519230769230769,1.0738255033557047
