stream,head,capacity,seed,class,threshold,tp,fp,fn,bout_precision,bout_recall,bout_f1
animal_visual_only,attention,896,44,investigation,0.25,590.0,506.0,877.0,0.5383211678832117,0.4021813224267212,0.4603979711275849
animal_visual_only,attention,896,44,investigation,0.5,350.0,746.0,1117.0,0.3193430656934307,0.23858214042263123,0.2731174404994148
animal_visual_only,attention,896,44,mount,0.1,155.0,64.0,53.0,0.7077625570776256,0.7451923076923077,0.7259953161592506
animal_visual_only,attention,896,44,mount,0.25,151.0,68.0,57.0,0.6894977168949772,0.7259615384615384,0.7072599531615925
animal_visual_only,attention,896,44,mount,0.5,132.0,87.0,76.0,0.6027397260273972,0.6346153846153846,0.6182669789227165
animal_visual_only,lstm,256,42,attack,0.1,209.0,97.0,147.0,0.6830065359477124,0.5870786516853933,0.6314199395770392
animal_visual_only,lstm,256,42,attack,0.25,181.0,125.0,175.0,0.5915032679738562,0.5084269662921348,0.5468277945619334
animal_visual_only,lstm,256,42,attack,0.5,109.0,197.0,247.0,0.3562091503267974,0.3061797752808989,0.3293051359516617
animal_visual_only,lstm,256,42,investigation,0.1,800.0,461.0,667.0,0.63441712926249,0.5453306066803,0.5865102639296187
animal_visual_only,lstm,256,42,investigation,0.25,621.0,640.0,846.0,0.49246629659000796,0.4233128834355828,0.45527859237536655
animal_visual_only,lstm,256,42,investigation,0.5,329.0,932.0,1138.0,0.26090404440919907,0.22426721199727334,0.24120234604105573
animal_visual_only,lstm,256,42,mount,0.1,141.0,46.0,67.0,0.7540106951871658,0.6778846153846154,0.7139240506329114
animal_visual_only,lstm,256,42,mount,0.25,134.0,53.0,74.0,0.7165775401069518,0.6442307692307693,0.6784810126582278
animal_visual_only,lstm,256,42,mount,0.5,109.0,78.0,99.0,0.5828877005347594,0.5240384615384616,0.5518987341772152
animal_visual_only,lstm,256,43,attack,0.1,213.0,100.0,143.0,0.6805111821086262,0.598314606741573,0.6367713004484304
animal_visual_only,lstm,256,43,attack,0.25,184.0,129.0,172.0,0.5878594249201278,0.5168539325842697,0.5500747384155457
animal_visual_only,lstm,256,43,attack,0.5,98.0,215.0,258.0,0.31309904153354634,0.2752808988764045,0.29297458893871453
animal_visual_only,lstm,256,43,investigation,0.1,761.0,332.0,706.0,0.696248856358646,0.5187457396046353,0.59453125
animal_visual_only,lstm,256,43,investigation,0.25,645.0,448.0,822.0,0.5901189387008234,0.4396728016359918,0.50390625
animal_visual_only,lstm,256,43,investigation,0.5,390.0,703.0,1077.0,0.35681610247026535,0.2658486707566462,0.3046875
animal_visual_only,lstm,256,43,mount,0.1,150.0,41.0,58.0,0.7853403141361257,0.7211538461538461,0.7518796992481203
animal_visual_only,lstm,256,43,mount,0.25,142.0,49.0,66.0,0.743455497382199,0.6826923076923077,0.7117794486215538
animal_visual_only,lstm,256,43,mount,0.5,119.0,72.0,89.0,0.6230366492146597,0.5721153846153846,0.5964912280701754
animal_visual_only,lstm,256,44,attack,0.1,199.0,76.0,157.0,0.7236363636363636,0.5589887640449438,0.6307448494453249
animal_visual_only,lstm,256,44,attack,0.25,170.0,105.0,186.0,0.6181818181818182,0.47752808988764045,0.5388272583201268
animal_visual_only,lstm,256,44,attack,0.5,92.0,183.0,264.0,0.33454545454545453,0.25842696629213485,0.29160063391442154
