split,video_id,prediction_type,class,gt_frames,pred_frames,frame_precision,frame_recall,frame_f1,bout_tp_iou10,bout_fp_iou10,bout_fn_iou10,bout_precision_iou10,bout_recall_iou10,bout_f1_iou10,bout_tp_iou25,bout_fp_iou25,bout_fn_iou25,bout_precision_iou25,bout_recall_iou25,bout_f1_iou25,bout_tp_iou50,bout_fp_iou50,bout_fn_iou50,bout_precision_iou50,bout_recall_iou50,bout_f1_iou50,cm_attack,cm_investigation,cm_mount,cm_other,stream,head,capacity,seed,model_name,eval_dir,train_dir
test_1,Mouse061_20160526_18-38-49,raw_windows,mount,6399,5520,0.975,0.8410689170182841,0.903095897306821,10,9,0,0.5263157894736842,1.0,0.6896551724137931,9,10,1,0.4736842105263157,0.9,0.6206896551724138,6,13,4,0.3157894736842105,0.6,0.4137931034482758,23,994,5382,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,raw_windows,other,7643,5296,0.993202416918429,0.6882114353002747,0.8130458304351186,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,41,2235,107,5260,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,smoothed_frames,attack,0,80,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,smoothed_frames,investigation,4598,7744,0.5830320247933884,0.9819486733362331,0.7316480311132718,36,25,17,0.5901639344262295,0.6792452830188679,0.631578947368421,35,26,18,0.5737704918032787,0.660377358490566,0.6140350877192982,25,36,28,0.4098360655737705,0.4716981132075472,0.4385964912280701,16,4515,31,36,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,smoothed_frames,mount,6399,5520,0.975,0.8410689170182841,0.903095897306821,10,9,0,0.5263157894736842,1.0,0.6896551724137931,9,10,1,0.4736842105263157,0.9,0.6206896551724138,6,13,4,0.3157894736842105,0.6,0.4137931034482758,23,994,5382,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse061_20160526_18-38-49,smoothed_frames,other,7643,5296,0.993202416918429,0.6882114353002747,0.8130458304351186,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,41,2235,107,5260,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,raw_windows,attack,0,192,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,raw_windows,investigation,7057,8432,0.8092979127134725,0.966983137310472,0.8811414552262896,49,3,23,0.9423076923076924,0.6805555555555556,0.7903225806451614,45,7,27,0.8653846153846154,0.625,0.7258064516129031,35,17,37,0.6730769230769231,0.4861111111111111,0.564516129032258,78,6824,15,140,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,raw_windows,mount,5196,5104,0.9882445141065832,0.970746728252502,0.9794174757281554,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,83,69,5044,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,raw_windows,other,7379,5904,0.9762872628726288,0.7811356552378371,0.8678762327787397,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,31,1539,45,5764,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,smoothed_frames,attack,0,192,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,smoothed_frames,investigation,7057,8432,0.8092979127134725,0.966983137310472,0.8811414552262896,49,3,23,0.9423076923076924,0.6805555555555556,0.7903225806451614,45,7,27,0.8653846153846154,0.625,0.7258064516129031,35,17,37,0.6730769230769231,0.4861111111111111,0.564516129032258,78,6824,15,140,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,smoothed_frames,mount,5196,5104,0.9882445141065832,0.970746728252502,0.9794174757281554,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,5,2,2,0.7142857142857143,0.7142857142857143,0.7142857142857143,83,69,5044,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse062_20160526_18-56-26,smoothed_frames,other,7379,5904,0.9762872628726288,0.7811356552378371,0.8678762327787397,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,31,1539,45,5764,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,raw_windows,attack,0,736,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0,22,0,0.0,0.0,0.0,0,0,0,0,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,raw_windows,investigation,3728,5408,0.5793269230769231,0.8403969957081545,0.6858581436077058,55,21,46,0.7236842105263158,0.5445544554455446,0.6214689265536724,50,26,51,0.6578947368421053,0.495049504950495,0.5649717514124294,28,48,73,0.3684210526315789,0.2772277227722772,0.3163841807909604,125,3133,188,282,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
test_1,Mouse063_20160526_19-14-46,raw_windows,mount,2160,1616,0.823019801980198,0.6157407407407407,0.7044491525423728,22,7,21,0.7586206896551724,0.5116279069767442,0.6111111111111112,21,8,22,0.7241379310344828,0.4883720930232558,0.5833333333333334,15,14,28,0.5172413793103449,0.3488372093023256,0.4166666666666666,450,379,1330,1,animal_visual_only,attention,256,42,yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed42,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed42
