epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other,stream,head,capacity,seed,model_name,eval_dir,train_dir
1,0.8231801739937646,0.6585186636621926,0.7046459398631538,0.6919337235836889,0.6534500304485481,166.39630484580994,5e-05,5e-05,50.8,9.29,9.0,1.14,37.0,14.3,0.4380403458213256,0.4620060790273556,0.4497041420118343,0.8497377352668929,0.53904873752202,0.6596407185628742,0.7677756033920418,0.8300423131170663,0.7976956963741104,0.5830980233965308,0.8969903816320198,0.7067595648453735,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
2,0.5893592474906235,0.7700107769178015,0.5709202571757256,0.7869828355987697,0.7249823024016762,173.1991147994995,5e-05,5e-05,50.6,9.32,9.0,1.14,37.0,15.6,0.5337620578778135,0.5045592705167173,0.5187499999999999,0.7943464238284955,0.819534155412018,0.8067437379576108,0.9155963302752294,0.7038081805359662,0.79585326953748,0.7575579688875844,0.8008067018305927,0.7785822021116139,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
3,0.5605994546581585,0.7821593024395023,0.5710409898547426,0.7939279690445481,0.7257283482489388,173.3884301185608,5e-05,5e-05,50.7,9.15,9.0,1.14,37.0,14.5,0.4425162689804772,0.6200607902735562,0.5164556962025316,0.7672787979966611,0.8995889606576629,0.8281827191638885,0.9054545454545454,0.7023977433004231,0.7911040508339952,0.872626582278481,0.68445547626435,0.76717092679534,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
4,0.5203668371391801,0.7979817772117175,0.5209627354428882,0.8097033435856732,0.7552914969635031,173.19990253448486,5e-05,5e-05,50.7,9.15,8.0,1.14,37.0,15.7,0.5542857142857143,0.5896656534954408,0.5714285714285715,0.812874251497006,0.8502642395772166,0.8311489524538409,0.7873015873015873,0.8744710860366713,0.828600066822586,0.8480427046263345,0.7393732547316165,0.7899883971490138,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
5,0.5060875424794082,0.8031742921524444,0.5545742237999562,0.7901577537454113,0.7320879074935391,173.6942765712738,5e-05,5e-05,50.7,9.16,9.0,1.14,37.0,14.8,0.5303867403314917,0.5835866261398176,0.5557163531114326,0.8130128956623681,0.8144450968878449,0.8137283660897624,0.912129894937918,0.6734837799717912,0.7748478701825559,0.7477477477477478,0.8240769469438411,0.7840590405904059,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
6,0.4947918054463814,0.8114039384735966,0.5354548375462256,0.7974005357674372,0.747662980796836,173.7795729637146,5e-05,5e-05,50.8,9.17,8.0,1.14,37.0,14.4,0.4718614718614718,0.662613981762918,0.5512010113780026,0.8396127131130289,0.7807790174202388,0.8091277890466532,0.8688400303260045,0.8081805359661495,0.8374132261600292,0.7566957992669862,0.8327645051194539,0.7929098966026589,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
7,0.4876195121159468,0.8169883413343784,0.5325792946157948,0.8066276416311142,0.7422119732902674,174.18377900123596,5e-05,5e-05,50.8,9.16,9.0,1.14,37.0,14.8,0.4861751152073733,0.6413373860182371,0.5530799475753604,0.8089657738095238,0.8512429046780192,0.8295660467334287,0.9088319088319088,0.6748942172073342,0.7745851881829218,0.8125,0.8107353397455787,0.8116167106693587,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
8,0.4809201248895178,0.8190947389046732,0.5189625008342167,0.804048020636968,0.7607951252486402,173.64728093147278,5e-05,5e-05,50.7,9.15,8.0,1.14,38.0,15.4,0.5382653061224489,0.6413373860182371,0.5852981969486823,0.8451299387280794,0.7829320806420043,0.8128429181060759,0.8725782414307004,0.8258110014104373,0.8485507246376812,0.7535991140642303,0.8445547626434998,0.7964886613021214,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
9,0.4687692297062016,0.8213480944449887,0.5285316902035404,0.7944240500049609,0.7467611820418785,173.9598319530487,5e-05,5e-05,50.7,9.15,9.0,1.14,38.0,15.7,0.4536679536679536,0.7142857142857143,0.5548996458087367,0.8467184801381693,0.7676649050694853,0.8052561338671594,0.8751937984496124,0.7961918194640338,0.8338257016248154,0.7477328936521023,0.8442444927086565,0.7930632468668026,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
10,0.4624073695928605,0.8197805427647693,0.5392479890380941,0.7867844032146046,0.7503092884287186,174.84711909294128,5e-05,5e-05,51.4,9.12,9.0,1.14,38.0,15.5,0.5461741424802111,0.6291793313069909,0.5847457627118644,0.8612207008586679,0.7263652378156195,0.7880654066680823,0.8580738595220855,0.8356840620592384,0.8467309753483386,0.7049875311720698,0.8771331058020477,0.7816950089865891,animal_visual_only,attention,256,43,yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_eval\yolo_sppf_animal_visual_only_attention256_seed43,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_attention256_seed43
