stream,head,capacity,seed,model_name,aggregate_mode,aggregate_manifest_path,aggregate_feature_cache_dir,aggregate_model_path,aggregate_n_windows,aggregate_n_manifest_videos,aggregate_n_evaluated_videos,aggregate_n_gt_missing_or_excluded_videos,aggregate_n_failures,aggregate_n_blocking_failures,aggregate_threshold_decoder_disabled,aggregate_threshold_decoder_enabled,aggregate_elapsed_s,aggregate_n_videos
animal_visual_only,lstm,512,42,yolo_sppf_animal_visual_only_lstm512_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,60.261,
animal_visual_only,lstm,512,43,yolo_sppf_animal_visual_only_lstm512_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,59.578,
animal_visual_only,lstm,512,44,yolo_sppf_animal_visual_only_lstm512_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm512_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,60.354,
animal_visual_only,lstm,896,42,yolo_sppf_animal_visual_only_lstm896_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,59.457,
animal_visual_only,lstm,896,43,yolo_sppf_animal_visual_only_lstm896_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,60.246,
animal_visual_only,lstm,896,44,yolo_sppf_animal_visual_only_lstm896_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_animal_visual_only_lstm896_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,59.845,
full,attention,256,42,yolo_sppf_full_attention256_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.733,
full,attention,256,43,yolo_sppf_full_attention256_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.07,
full,attention,256,44,yolo_sppf_full_attention256_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention256_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.101,
full,attention,512,42,yolo_sppf_full_attention512_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.859,
full,attention,512,43,yolo_sppf_full_attention512_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.31,
full,attention,512,44,yolo_sppf_full_attention512_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention512_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.253,
full,attention,896,42,yolo_sppf_full_attention896_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.697,
full,attention,896,43,yolo_sppf_full_attention896_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.461,
full,attention,896,44,yolo_sppf_full_attention896_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_attention896_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.395,
full,lstm,256,42,yolo_sppf_full_lstm256_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.981,
full,lstm,256,43,yolo_sppf_full_lstm256_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.952,
full,lstm,256,44,yolo_sppf_full_lstm256_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm256_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.915,
full,lstm,512,42,yolo_sppf_full_lstm512_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.335,
full,lstm,512,43,yolo_sppf_full_lstm512_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.971,
full,lstm,512,44,yolo_sppf_full_lstm512_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm512_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.742,
full,lstm,896,42,yolo_sppf_full_lstm896_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,58.053,
full,lstm,896,43,yolo_sppf_full_lstm896_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.701,
full,lstm,896,44,yolo_sppf_full_lstm896_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_full_lstm896_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.518,
no_group_visual,attention,256,42,yolo_sppf_no_group_visual_attention256_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.749,
no_group_visual,attention,256,43,yolo_sppf_no_group_visual_attention256_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.382,
no_group_visual,attention,256,44,yolo_sppf_no_group_visual_attention256_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention256_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.702,
no_group_visual,attention,512,42,yolo_sppf_no_group_visual_attention512_seed42,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed42\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.477,
no_group_visual,attention,512,43,yolo_sppf_no_group_visual_attention512_seed43,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed43\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,56.997,
no_group_visual,attention,512,44,yolo_sppf_no_group_visual_attention512_seed44,classifier_only_cached_heldout,<RUN_ROOT>\outputs\npz_cache\mars_heldout_eval\sequence_manifest.json,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\neural_training\yolo_sppf_no_group_visual_attention512_seed44\best_model_macro_f1.pt,22527,30.0,28.0,2.0,2,0.0,True,False,57.203,
