run,window,collar_frames,mean_macro_precision,mean_macro_recall,mean_macro_f1,sd_macro_f1,n_videos,median_heldout_bout_frames
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,0,0.0,0.0,0.0,0.0,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,1,0.0075738317757009345,0.005630514096185738,0.0059915217909025965,0.009260402955648369,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,2,0.011709825713564031,0.007899412030755315,0.008822228248674676,0.013413782060882042,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,3,0.022405796409534728,0.020402336007363502,0.020138170277660183,0.01118892678513529,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,4,0.07660563244267198,0.05763636462137424,0.057559266971159664,0.016591950088185065,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,5,0.12441694065337068,0.08768429048468382,0.09201809622500368,0.031455354324980395,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,6,0.15681419556323914,0.11750835377422156,0.12131918907910724,0.04999272508410011,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,7,0.19799054806337954,0.1386319456175837,0.1479918635107651,0.06042292009599699,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,8,0.246138838421134,0.16670503654437566,0.1822618667571167,0.059451240296775204,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,9,0.25737933406294844,0.17410193607376487,0.1909970950243832,0.06036692242983465,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,10,0.30450501191808077,0.208619345170986,0.22932910982561502,0.08973857633647654,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,11,0.31730796753860735,0.21812254500633205,0.23986453751398087,0.09565498435496986,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,12,0.35786495861558876,0.23922263542601505,0.26687953365663714,0.0890522236751613,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,13,0.3661984873698557,0.24279919683277615,0.27178336180286317,0.0931200409765052,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,14,0.37772675664676303,0.25371845988361763,0.28225816361043304,0.09344379320636878,5,4.0
fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,15,0.3884912299169029,0.25913252585774427,0.2893309431464563,0.09190495256785297,5,4.0
