source,run,window,track,seed,prediction_type,movie_id,gt_sequence_length,pred_sequence_length,sequence_length_ratio_pred_over_gt,n,ngram_tp,pred_ngram_total,gt_ngram_total,ngram_precision,ngram_recall,ngram_f1
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,9,64,58,0.90625,2,55,57,63,0.9649122807017544,0.873015873015873,0.9166666666666667
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,9,64,58,0.90625,3,53,56,62,0.9464285714285714,0.8548387096774194,0.8983050847457628
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,9,64,58,0.90625,4,52,55,61,0.9454545454545454,0.8524590163934426,0.8965517241379309
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,10,193,151,0.7823834196891192,1,140,151,193,0.9271523178807947,0.7253886010362695,0.8139534883720929
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,10,193,151,0.7823834196891192,2,123,150,192,0.82,0.640625,0.7192982456140351
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,10,193,151,0.7823834196891192,3,103,149,191,0.6912751677852349,0.5392670157068062,0.6058823529411764
model,fly_yolo_sppf_full_attention256_w16s8_seed42,w16s8,16-frame window,0,raw,10,193,151,0.7823834196891192,4,83,148,190,0.5608108108108109,0.4368421052631579,0.4911242603550296
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,10,193,240,1.2435233160621761,1,189,240,193,0.7875,0.9792746113989638,0.8729792147806005
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,10,193,240,1.2435233160621761,2,154,239,192,0.6443514644351465,0.8020833333333334,0.7146171693735499
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,10,193,240,1.2435233160621761,3,121,238,191,0.5084033613445378,0.6335078534031413,0.5641025641025641
model,fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,0,raw,10,193,240,1.2435233160621761,4,90,237,190,0.379746835443038,0.47368421052631576,0.4215456674473068
null,GT composition shuffle,null,GT composition shuffle,0,raw,6,699,699,1.0,1,699,699,699,1.0,1.0,1.0
null,GT composition shuffle,null,GT composition shuffle,0,raw,6,699,699,1.0,2,663,698,698,0.9498567335243553,0.9498567335243553,0.9498567335243553
null,GT composition shuffle,null,GT composition shuffle,0,raw,6,699,699,1.0,3,578,697,697,0.8292682926829268,0.8292682926829268,0.8292682926829268
null,GT composition shuffle,null,GT composition shuffle,0,raw,6,699,699,1.0,4,500,696,696,0.7183908045977011,0.7183908045977011,0.7183908045977012
null,GT Markov baseline,null,GT Markov baseline,0,raw,6,699,699,1.0,1,645,699,699,0.9227467811158798,0.9227467811158798,0.9227467811158798
null,GT Markov baseline,null,GT Markov baseline,0,raw,6,699,699,1.0,2,623,698,698,0.8925501432664756,0.8925501432664756,0.8925501432664756
null,GT Markov baseline,null,GT Markov baseline,0,raw,6,699,699,1.0,3,549,697,697,0.787661406025825,0.787661406025825,0.787661406025825
null,GT Markov baseline,null,GT Markov baseline,0,raw,6,699,699,1.0,4,467,696,696,0.6709770114942529,0.6709770114942529,0.6709770114942529
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,6,699,213,0.30472103004291845,1,213,213,699,1.0,0.30472103004291845,0.46710526315789475
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,6,699,213,0.30472103004291845,2,199,212,698,0.9386792452830188,0.2851002865329513,0.43736263736263736
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,6,699,213,0.30472103004291845,3,179,211,697,0.8483412322274881,0.2568149210903874,0.39427312775330403
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,6,699,213,0.30472103004291845,4,162,210,696,0.7714285714285715,0.23275862068965517,0.35761589403973515
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,6,699,213,0.30472103004291845,1,213,213,699,1.0,0.30472103004291845,0.46710526315789475
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,6,699,213,0.30472103004291845,2,211,212,698,0.9952830188679245,0.3022922636103152,0.46373626373626375
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,6,699,213,0.30472103004291845,3,203,211,697,0.9620853080568721,0.29124820659971307,0.447136563876652
length_matched_null,16-frame window length Markov,w16s8,16-frame window length Markov,0,raw,6,699,213,0.30472103004291845,4,193,210,696,0.919047619047619,0.27729885057471265,0.4260485651214128
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,6,699,402,0.575107296137339,1,389,402,699,0.9676616915422885,0.5565092989985694,0.7066303360581289
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,6,699,402,0.575107296137339,2,351,401,698,0.8753117206982544,0.502865329512894,0.6387625113739763
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,6,699,402,0.575107296137339,3,302,400,697,0.755,0.4332855093256815,0.5505925250683683
length_matched_null,8-frame window length unigram,w8s4,8-frame window length unigram,0,raw,6,699,402,0.575107296137339,4,264,399,696,0.6616541353383458,0.3793103448275862,0.4821917808219177
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,6,699,402,0.575107296137339,1,381,402,699,0.9477611940298507,0.5450643776824035,0.6920980926430518
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,6,699,402,0.575107296137339,2,370,401,698,0.9226932668329177,0.5300859598853869,0.6733393994540492
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,6,699,402,0.575107296137339,3,336,400,697,0.84,0.48206599713055953,0.6125797629899726
length_matched_null,8-frame window length Markov,w8s4,8-frame window length Markov,0,raw,6,699,402,0.575107296137339,4,287,399,696,0.7192982456140351,0.41235632183908044,0.5242009132420091
null,GT composition shuffle,null,GT composition shuffle,0,raw,7,424,424,1.0,1,424,424,424,1.0,1.0,1.0
null,GT composition shuffle,null,GT composition shuffle,0,raw,7,424,424,1.0,2,404,423,423,0.9550827423167849,0.9550827423167849,0.9550827423167849
null,GT composition shuffle,null,GT composition shuffle,0,raw,7,424,424,1.0,3,374,422,422,0.8862559241706162,0.8862559241706162,0.8862559241706162
null,GT composition shuffle,null,GT composition shuffle,0,raw,7,424,424,1.0,4,349,421,421,0.828978622327791,0.828978622327791,0.828978622327791
null,GT Markov baseline,null,GT Markov baseline,0,raw,7,424,424,1.0,1,384,424,424,0.9056603773584906,0.9056603773584906,0.9056603773584906
null,GT Markov baseline,null,GT Markov baseline,0,raw,7,424,424,1.0,2,344,423,423,0.8132387706855791,0.8132387706855791,0.8132387706855793
null,GT Markov baseline,null,GT Markov baseline,0,raw,7,424,424,1.0,3,332,422,422,0.7867298578199052,0.7867298578199052,0.7867298578199052
null,GT Markov baseline,null,GT Markov baseline,0,raw,7,424,424,1.0,4,318,421,421,0.7553444180522565,0.7553444180522565,0.7553444180522564
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,7,424,182,0.42924528301886794,1,170,182,424,0.9340659340659341,0.4009433962264151,0.5610561056105611
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,7,424,182,0.42924528301886794,2,154,181,423,0.850828729281768,0.3640661938534279,0.5099337748344371
length_matched_null,16-frame window length unigram,w16s8,16-frame window length unigram,0,raw,7,424,182,0.42924528301886794,3,138,180,422,0.7666666666666667,0.32701421800947866,0.4584717607973422
