run,window,track,from_behavior,to_behavior,gt_probability,model_probability,difference_model_minus_gt
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,hold,lunge,0.9,0.8690476190476191,-0.030952380952380953
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,hold,wing_threat,0.02,0.023809523809523808,0.003809523809523808
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,hold,charge,0.04,0.011904761904761904,-0.028095238095238097
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,hold,hold,0.02,0.08333333333333333,0.06333333333333332
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,hold,tussle,0.02,0.011904761904761904,-0.008095238095238096
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,tussle,lunge,0.8838709677419355,0.91,0.02612903225806451
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,tussle,wing_threat,0.0064516129032258064,0.01,0.0035483870967741938
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,tussle,charge,0.0,0.04,0.04
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,tussle,hold,0.0064516129032258064,0.03,0.023548387096774193
fly_yolo_sppf_full_attention256_w8s4_seed42,w8s4,8-frame window,tussle,tussle,0.1032258064516129,0.01,-0.09322580645161291
