backbone,head,track,class,n_seeds,pred_bouts_mean,pred_bouts_sd,bout_count_ratio_pred_gt_mean,bout_count_ratio_pred_gt_sd,pred_median_duration_frames_mean,pred_median_duration_frames_sd,median_duration_ratio_pred_gt_mean,median_duration_ratio_pred_gt_sd,gt_bouts,gt_median_duration_frames,fraction_pred_bouts_with_any_gt_mean,fraction_pred_bouts_with_any_gt_sd,fraction_pred_bouts_merging_gt_mean,fraction_pred_bouts_merging_gt_sd,mean_overlapping_gt_bouts_mean,mean_overlapping_gt_bouts_sd
mobilenetv3_native,attention,MobileNetV3 Attention-256,attack,3,269.3333333333333,11.015141094572197,0.7565543071161048,0.030941407569023097,64.0,0.0,1.6410256410256412,0.0,356,39.0,0.8877045650301465,0.012155750743062283,0.2503024896435749,0.015568196866547201,1.2358978302776753,0.030676401530463904
mobilenetv3_native,attention,MobileNetV3 Attention-256,investigation,3,904.6666666666666,60.34346139668599,0.6166780277209725,0.04113392051580503,53.333333333333336,9.237604307034013,2.5396825396825395,0.439885919382572,1467,21.0,0.8612092139583162,0.02752450631131799,0.17077482106214303,0.023984887753455995,1.1073363002065195,0.03167425435623707
mobilenetv3_native,attention,MobileNetV3 Attention-256,mount,3,178.33333333333334,16.743157806499145,0.8573717948717948,0.08049595099278435,80.0,0.0,1.0738255033557047,0.0,208,74.5,0.8660399661001829,0.039847836707415575,0.020473705339221198,0.0013906469751656988,0.8865136714394041,0.03846040261771449
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,attack,3,262.6666666666667,4.041451884327387,0.7378277153558052,0.011352392933503881,64.0,0.0,1.6410256410256412,0.0,356,39.0,0.9087012833474795,0.00884517730505255,0.23990926341042132,0.0066879034614270964,1.2285428861893395,0.01918769896370713
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,investigation,3,970.0,54.4426303552648,0.6612133605998637,0.03711154080113488,48.0,0.0,2.2857142857142856,0.0,1467,21.0,0.8310205452206935,0.012539062771092305,0.17683492603108583,0.006012790987798411,1.0935377304241671,0.012456471095607515
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,mount,3,187.33333333333334,2.309401076758505,0.9006410256410257,0.011102889792108148,80.0,0.0,1.0738255033557047,0.0,208,74.5,0.8506319562346727,0.012241170748554459,0.01246934540652707,0.0031714022139086315,0.8631013016411998,0.013625074264407148
yolo_sppf,attention,YOLO/SPPF Attention-256,attack,3,269.0,3.605551275463989,0.7556179775280899,0.01012795302096627,64.0,0.0,1.6410256410256412,0.0,356,39.0,0.8997313893229054,0.015232213806131422,0.2726288069964425,0.0016997450931447989,1.2800780654276334,0.006501807628961719
yolo_sppf,attention,YOLO/SPPF Attention-256,investigation,3,904.3333333333334,34.35597958628646,0.6164508066348557,0.023419208988607016,48.0,0.0,2.2857142857142856,0.0,1467,21.0,0.8536443021363261,0.013710174850746154,0.1598970183466694,0.017573520777390897,1.0727673816158363,0.00968042276363174
yolo_sppf,attention,YOLO/SPPF Attention-256,mount,3,199.33333333333334,11.59022576714247,0.9583333333333334,0.05572223926510805,80.0,0.0,1.0738255033557047,0.0,208,74.5,0.8780496673596937,0.04793007154463224,0.03468505278788178,0.011712468225845592,0.9127347201475754,0.03861121194952765
yolo_sppf,lstm,YOLO/SPPF LSTM-256,attack,3,282.3333333333333,25.106440076867393,0.793071161048689,0.07052370808108818,58.666666666666664,9.237604307034013,1.5042735042735043,0.23686164889830794,356,39.0,0.8588728933024528,0.07011668207179964,0.22683308883192813,0.013796010332306322,1.1691213533018436,0.06826106441818638
yolo_sppf,lstm,YOLO/SPPF LSTM-256,investigation,3,905.3333333333334,51.53962876596349,0.617132469893206,0.03513267127877536,48.0,0.0,2.2857142857142856,0.0,1467,21.0,0.8463191608514254,0.01583861416447428,0.15304307739511638,0.008312554107640554,1.050462245551464,0.020071265518056044
yolo_sppf,lstm,YOLO/SPPF LSTM-256,mount,3,205.66666666666666,9.291573243177572,0.9887820512820512,0.044671025207584446,80.0,0.0,1.0738255033557047,0.0,208,74.5,0.8453348538254198,0.03277104583245091,0.0321146358882208,0.010049073595308594,0.8774494897136407,0.0230891725638141
