visual_backend,role,pose_model_family,pose_model_backbone,pose_model_size,feature_layer,pooling,feature_dim_per_crop,raw_visual_dim_per_frame,train_cache,heldout_cache,parameter_count,pose_metrics_source,pose_epoch,pose_train_loss,pose_val_loss,pose_box_map50,pose_box_map5095,pose_pose_map50,pose_pose_map5095,pose_pck05,pose_validation_scope,pose_validation_images,pose_seconds,pose_precision,pose_recall
mobilenetv3_native,"architecture-portability/sensitivity arm, not size-matched to YOLO nano",BehaviorScopeZ,mobilenet_v3_large,large,backbone.features.16,adaptive_avg_pool2d,960,2880,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\feature_caches\mobilenetv3_native\train,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\feature_caches\mobilenetv3_native\heldout,2971952.0,<RUN_ROOT>\outputs\controlled_comparison_runs\run_20260528_205727\feature_caches\mobilenetv3_native\train\cache_manifest.json,42.0,0.9459383996940476,1.5196807993219257,0.9697097746533548,0.8014662037580778,0.906952664886874,0.669663872137006,0.9496666666666668,full,3000.0,657.4828767776489,,
yolo_sppf,primary controlled decoder-comparison backend,YOLO-pose,,nano,layers[0:10] through SPPF,adaptive_avg_pool2d,256,768,<RUN_ROOT>\outputs\npz_cache\mars_full_video\yolo_feature_cache,<RUN_ROOT>\outputs\eval_feature_cache\mars_stride16,,<RUN_ROOT>\MARS_YOLO_Pose_Model\results.csv,,,,0.93623,0.72326,0.92819,0.89921,,,,,0.87338,0.874
