backbone,head,track,class,threshold,matched_bouts_mean,matched_bouts_sd,median_tiou_mean,median_tiou_sd,median_abs_mean_boundary_offset_frames_mean,median_abs_mean_boundary_offset_frames_sd,median_abs_start_offset_frames_mean,median_abs_end_offset_frames_mean
mobilenetv3_native,attention,MobileNetV3 Attention-256,attack,0.1,223.33333333333334,3.7859388972001864,0.5184461805555555,0.01605756140076902,17.5,0.5,13.666666666666666,12.833333333333334
mobilenetv3_native,attention,MobileNetV3 Attention-256,attack,0.25,202.0,2.0,0.5544003664185383,0.02467500676401507,16.666666666666668,0.5773502691896255,13.5,11.166666666666666
mobilenetv3_native,attention,MobileNetV3 Attention-256,attack,0.5,119.33333333333333,5.507570547286102,0.7060019841269841,0.007925184133905737,10.666666666666666,0.5773502691896258,10.333333333333334,7.166666666666667
mobilenetv3_native,attention,MobileNetV3 Attention-256,investigation,0.1,729.0,26.90724809414742,0.5952974870657798,0.028469641455003292,10.833333333333334,1.0408329997330665,8.0,9.666666666666666
mobilenetv3_native,attention,MobileNetV3 Attention-256,investigation,0.25,651.3333333333334,7.37111479583201,0.635898755898756,0.015220722412019414,9.666666666666666,0.7637626158259733,7.333333333333333,9.0
mobilenetv3_native,attention,MobileNetV3 Attention-256,investigation,0.5,452.6666666666667,18.0092568789868,0.7540033524354083,0.003490606333679932,7.5,0.5,6.0,7.333333333333333
mobilenetv3_native,attention,MobileNetV3 Attention-256,mount,0.1,140.33333333333334,18.502252115170556,0.814781466652593,0.020064952802275587,10.833333333333334,1.8929694486000914,8.0,10.666666666666666
mobilenetv3_native,attention,MobileNetV3 Attention-256,mount,0.25,137.66666666666666,19.62990915244728,0.8189542483660132,0.01713116656481199,10.5,1.7320508075688772,8.0,10.666666666666666
mobilenetv3_native,attention,MobileNetV3 Attention-256,mount,0.5,124.33333333333333,20.231987873991358,0.8416750382701875,0.011957225386931421,9.166666666666666,0.7637626158259733,7.666666666666667,9.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,attack,0.1,223.33333333333334,2.886751345948133,0.5489838864838865,0.0170262737212058,16.416666666666668,0.5204164998665334,11.333333333333334,12.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,attack,0.25,201.66666666666666,6.506407098647708,0.5976145382395383,0.024724375993750793,14.75,0.25,10.5,9.833333333333334
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,attack,0.5,125.33333333333333,3.0550504633038913,0.7234214475656134,0.0035189801289897014,9.083333333333334,0.5204164998665332,7.666666666666667,6.5
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,investigation,0.1,757.6666666666666,29.29732638541159,0.560566538090646,0.028980852104497537,11.583333333333334,0.520416499866533,8.666666666666666,9.666666666666666
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,investigation,0.25,666.3333333333334,19.08751773629386,0.6095149154877338,0.01634175348444051,10.5,0.5,8.333333333333334,9.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,investigation,0.5,441.6666666666667,6.658328118479389,0.7416666666666667,0.0125172057892866,7.666666666666667,0.28867513459481275,6.666666666666667,7.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,mount,0.1,147.0,0.0,0.8046855427638896,0.013234724178887432,11.166666666666666,0.28867513459481275,7.666666666666667,11.0
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,mount,0.25,144.0,1.0,0.8070591050197437,0.013010670864078873,10.916666666666666,0.14433756729740657,7.5,10.333333333333334
mobilenetv3_native,lstm,MobileNetV3 LSTM-256,mount,0.5,126.66666666666667,4.725815626252606,0.8270867317859318,0.003778574313400787,9.666666666666666,0.5773502691896258,7.0,9.333333333333334
yolo_sppf,attention,YOLO/SPPF Attention-256,attack,0.1,225.66666666666666,4.041451884327376,0.5319859601449276,0.010238381295786211,16.833333333333332,0.28867513459481314,14.833333333333334,12.5
yolo_sppf,attention,YOLO/SPPF Attention-256,attack,0.25,203.33333333333334,8.621678104251712,0.5661300505050505,0.0031526174803405875,15.416666666666666,0.5204164998665332,14.0,11.666666666666666
yolo_sppf,attention,YOLO/SPPF Attention-256,attack,0.5,126.66666666666667,4.72581562625261,0.6974296536796537,0.009095377110125705,10.833333333333334,1.607275126832159,10.666666666666666,7.666666666666667
yolo_sppf,attention,YOLO/SPPF Attention-256,investigation,0.1,734.6666666666666,14.15391583037478,0.6255952380952381,0.02589798799738941,10.166666666666666,0.7637626158259736,8.0,9.0
yolo_sppf,attention,YOLO/SPPF Attention-256,investigation,0.25,668.0,4.58257569495584,0.655424031986532,0.018750214776315336,9.666666666666666,0.7637626158259736,7.666666666666667,8.666666666666666
yolo_sppf,attention,YOLO/SPPF Attention-256,investigation,0.5,477.3333333333333,15.04437879519567,0.757940155228758,0.007422951230760461,7.5,0.5,6.666666666666667,7.0
yolo_sppf,attention,YOLO/SPPF Attention-256,mount,0.1,170.33333333333334,6.658328118479392,0.8252840909090909,0.0061507486064235365,9.083333333333334,0.3818813079129867,7.0,9.333333333333334
yolo_sppf,attention,YOLO/SPPF Attention-256,mount,0.25,167.66666666666666,5.859465277082316,0.8283160552897395,0.007113296121825207,9.0,0.5,7.0,9.333333333333334
yolo_sppf,attention,YOLO/SPPF Attention-256,mount,0.5,155.0,5.291502622129181,0.8418081693644838,0.01112026569738754,8.333333333333334,0.5773502691896258,6.333333333333333,8.0
yolo_sppf,lstm,YOLO/SPPF LSTM-256,attack,0.1,225.66666666666666,6.658328118479389,0.5587347701318289,0.02883182761259427,15.0,1.8027756377319946,11.666666666666666,10.166666666666666
