class_index,class_name,threshold,selected,precision,recall,f1,macro_f1,support
0,attack,0.3,False,0.5826771653543307,0.6747720364741642,0.6253521126760563,0.8154829107372902,329
0,attack,0.35,False,0.5826771653543307,0.6747720364741642,0.6253521126760563,0.8154829107372902,329
0,attack,0.4,False,0.58311345646438,0.6717325227963525,0.6242937853107344,0.8151494550667671,329
0,attack,0.45,False,0.5846560846560847,0.6717325227963525,0.6251768033946252,0.8153490989870993,329
0,attack,0.5,False,0.5972972972972973,0.6717325227963525,0.6323319027181687,0.8171068232416294,329
0,attack,0.55,False,0.5961538461538461,0.6595744680851063,0.6262626262626262,0.8155583414217613,329
0,attack,0.6000000000000001,False,0.603988603988604,0.6443768996960486,0.6235294117647059,0.8146379801160392,329
0,attack,0.65,False,0.6147058823529412,0.6352583586626139,0.624813153961136,0.814621661071961,329
0,attack,0.7,False,0.625,0.6231003039513677,0.624048706240487,0.8141394044562227,329
0,attack,0.75,False,0.6487341772151899,0.6231003039513677,0.6356589147286822,0.8166332741452084,329
0,attack,0.8,False,0.6778523489932886,0.6139817629179332,0.6443381180223285,0.8182720751654632,329
0,attack,0.8500000000000001,True,0.7158273381294964,0.6048632218844985,0.6556836902800659,0.8205132420189803,329
0,attack,0.9000000000000001,False,0.7509881422924901,0.5775075987841946,0.6529209621993127,0.8192212580245193,329
0,attack,0.95,False,0.81,0.49240121580547114,0.6124763705103969,0.8073553610253497,329
1,investigation,0.3,True,0.8615498977885151,0.907418281464083,0.8838894184938036,0.8205132420189803,5109
1,investigation,0.35,False,0.8657137483543351,0.9009590917987864,0.8829848455783618,0.8201874962152308,5109
1,investigation,0.4,False,0.8703456177200687,0.8921511058915639,0.881113473806302,0.8193366577773856,5109
1,investigation,0.45,False,0.8753640069889342,0.8825601879036994,0.8789473684210526,0.8180529790291343,5109
1,investigation,0.5,False,0.8798971111990502,0.8704247406537483,0.8751352946964479,0.8161898304315369,5109
1,investigation,0.55,False,0.8846854137163666,0.8559404971618713,0.8700756068444091,0.8134259905034236,5109
1,investigation,0.6000000000000001,False,0.8889350217977995,0.8381287923272656,0.8627846060850293,0.8095437113175202,5109
1,investigation,0.65,False,0.8972926514825956,0.8173810921902525,0.8554747516132336,0.8056863685353675,5109
1,investigation,0.7,False,0.9009109086869584,0.7936973967508318,0.8439125910509886,0.8002371199069553,5109
1,investigation,0.75,False,0.9087310826542492,0.7639459776864357,0.8300723096554657,0.7937012842382739,5109
1,investigation,0.8,False,0.9148936170212766,0.7154041886866315,0.8029437609841827,0.7814786473311433,5109
1,investigation,0.8500000000000001,False,0.9266927811975377,0.6482677627715796,0.7628699758148106,0.764655689656049,5109
1,investigation,0.9000000000000001,False,0.9428864569083447,0.5396359365825014,0.6864185235901905,0.735246464019209,5109
1,investigation,0.95,False,0.9747826086956521,0.2194167155999217,0.35820418597220005,0.6270966999277552,5109
2,mount,0.3,False,0.926605504587156,0.8547249647390691,0.8892149669845928,0.8204566874479029,1418
2,mount,0.35,True,0.9293937068303914,0.8540197461212976,0.8901139287026828,0.8205132420189803,1418
2,mount,0.4,False,0.9313801079414032,0.8519040902679831,0.8898710865561695,0.8203362209785174,1418
2,mount,0.45,False,0.9324534161490683,0.8469675599435825,0.8876570583887657,0.819603375496161,1418
2,mount,0.5,False,0.9356862745098039,0.8413258110014105,0.8860007426661716,0.81906252688614,1418
2,mount,0.55,False,0.9382422802850356,0.8356840620592384,0.8839985080193957,0.8184151302065583,1418
2,mount,0.6000000000000001,False,0.9432,0.8314527503526093,0.883808095952024,0.8182887007823858,1418
2,mount,0.65,False,0.9451170298627926,0.8258110014104373,0.8814452389913436,0.8174155618471303,1418
2,mount,0.7,False,0.9470252648736757,0.8194640338504936,0.8786389413988657,0.8164053785547689,1418
2,mount,0.75,False,0.9543189368770764,0.810296191819464,0.8764302059496567,0.8151697988312986,1418
2,mount,0.8,False,0.9565587734241908,0.7919605077574048,0.8665123456790123,0.8117049123440037,1418
2,mount,0.8500000000000001,False,0.9608355091383812,0.7785613540197461,0.860148032723023,0.8093770666137922,1418
2,mount,0.9000000000000001,False,0.9653284671532847,0.7461212976022567,0.8416865552903738,0.8030556604602863,1418
2,mount,0.95,False,0.9737903225806451,0.6812411847672779,0.8016597510373444,0.7898563043251366,1418
