class_index,class_name,support,selected_threshold,raw_precision,raw_recall,raw_f1,decoded_precision,decoded_recall,decoded_f1
0,attack,329,0.8500000000000001,0.58311345646438,0.6717325227963525,0.6242937853107344,0.7158273381294964,0.6048632218844985,0.6556836902800659
1,investigation,5109,0.3,0.8767902687855601,0.8747308670972793,0.8757593572408386,0.8615498977885151,0.907418281464083,0.8838894184938036
2,mount,1418,0.35,0.9293394777265745,0.8533145275035261,0.8897058823529411,0.9293937068303914,0.8540197461212976,0.8901139287026828
3,other,3223,0.0,0.8482278097546199,0.8687558175612783,0.8583690987124463,0.8668591594481874,0.8383493639466336,0.852365930599369
