epoch,train_loss,val_loss,box_map50,box_map5095,pose_map50,pose_map5095,pck05,validation_scope,validation_images,seconds
1,5.520644569322699,3.5401272646924284,0.9056344994668157,0.5039448910146757,0.42299863366211965,0.13853695689073425,0.7901666666666667,full,3000,886.9761912822723
2,2.7998487568718624,2.8271184627045978,0.9465894872529506,0.6616823717716475,0.7649800208387894,0.3629613705028984,0.8852662185995519,full,3000,660.2883322238922
3,2.3308978319353777,2.6744531293710074,0.9678002409939613,0.7086932199152233,0.8043343837636406,0.4094034097947715,0.911047619047619,subset,750,646.5596232414246
4,2.080984050611098,2.262494740333963,0.9691251174902484,0.7303722673918528,0.8465093677309229,0.4905087824940562,0.9235476190476191,full,3000,630.8256719112396
5,1.8674593331100784,2.2009404649337134,0.9683501446344859,0.7395403294237926,0.8796314103323742,0.5256224738271291,0.9400952380952381,subset,750,648.0438234806061
6,1.724620270951886,2.0163191924703883,0.9694237425318983,0.7658798834604219,0.8694464650632108,0.548018681297489,0.935952380952381,full,3000,663.0533285140991
7,1.668253234056669,2.0601794719696045,0.9695756387875041,0.7559656661281344,0.8829738143298907,0.5552440550465179,0.9358095238095238,subset,750,650.0386729240417
8,1.6227396139846042,1.8708744695846071,0.9698173533411234,0.7685379511849992,0.892514167853019,0.5886444545792721,0.9415238095238095,full,3000,660.0093560218811
9,1.5335630313072621,1.9324561605850856,0.9798543696322518,0.7816493275515761,0.8961717447233721,0.5786219622628314,0.94335304215144,subset,750,655.663286447525
10,1.4652666220226762,1.8388535228181393,0.9696756558614519,0.7797461376411292,0.8917671295118654,0.5942754275506171,0.9421666666666667,full,3000,661.2648470401764
11,1.4700218122510524,1.879743089278539,0.9695221176844302,0.7696515768414688,0.9009428460765353,0.6021895596885852,0.9388571428571428,subset,750,663.444215297699
12,1.360670793975625,1.7760684084385,0.9696990006327223,0.7834086353843184,0.8919793108827067,0.6097950432651131,0.9440714285714286,full,3000,693.4189236164093
13,1.3616041267679488,1.7925768444935481,0.9694011584899713,0.773688212941096,0.8931185756914934,0.603703536705929,0.9415238095238095,subset,750,642.6517536640167
14,1.3086482445677492,1.72537562568137,0.9696518499934801,0.7852163301191103,0.8936894498394068,0.6205155840753442,0.9451666666666667,full,3000,655.7177231311798
15,1.275600174877131,1.7114561299482982,0.970144461460488,0.7901020682555036,0.9049322279929171,0.6333972726869987,0.9526988365439634,subset,750,641.0118927955627
16,1.2492788218634894,1.7010433388517259,0.9697771282725443,0.7885088205246874,0.9014283489765483,0.6282892472734015,0.9481428571428572,full,3000,665.9396104812622
17,1.2404292844166265,1.6535925368467967,0.9701139268605338,0.791557324119219,0.9073338736745608,0.6337593707479012,0.9498095238095238,subset,750,664.9887280464172
18,1.1974512063361402,1.6625916818354993,0.9697437991404064,0.7933490369543703,0.9056851619217549,0.636207177499228,0.9484761904761905,full,3000,662.6622235774994
19,1.2168578763617162,1.6974745218952496,0.9686874222662452,0.7890941910458419,0.9065121973844301,0.6296700473814762,0.9488571428571428,subset,750,660.9712076187134
20,1.2029286880637997,1.6267571303438633,0.9697849819012748,0.7889479142683181,0.9060606425821329,0.6460472365232073,0.9479761904761905,full,3000,675.5910713672638
21,1.18487095758551,1.634270208577315,0.9698562847169967,0.7889927134459842,0.9143206361791454,0.6389873742660026,0.9501904761904761,subset,750,682.8297955989838
22,1.1502302525756516,1.6228396911570366,0.9699034790450448,0.7919467870557406,0.9068059912231494,0.6457006398483152,0.9489047619047619,full,3000,676.3200945854187
23,1.118591323262806,1.634674442311128,0.9791438557449286,0.7938988642272902,0.9057331739984607,0.6555073674455851,0.9475238095238095,subset,750,713.65576171875
24,1.119831500487907,1.6116827548818384,0.9698256578367509,0.7928191334541902,0.9071059922468782,0.6508814606359683,0.95,full,3000,705.8087222576141
25,1.0860608917344767,1.5998475526769955,0.9686971054592015,0.7984226950288666,0.918410392385491,0.6615278122809712,0.9541904761904761,subset,750,744.5221002101898
26,1.0842514484656562,1.5992383532067562,0.9698039115553868,0.7951210778606794,0.9044886850792772,0.6468598656127985,0.9480952380952381,full,3000,715.7161271572113
27,1.0545210685592574,1.5776039411624272,0.979962607398429,0.8033010508848933,0.9063656954089889,0.6561941261673677,0.9546061415220294,subset,750,685.9836869239807
28,1.0663336194657091,1.584921194517866,0.969800356347758,0.7961178906713768,0.9082983504405281,0.6542333506973532,0.9492619047619048,full,3000,664.1743807792664
29,1.0440859391217663,1.56062155465285,0.969831372347012,0.7976899096985312,0.9049288844243234,0.653955223646961,0.952952380952381,subset,750,654.2950356006622
