class_index,class_name,threshold,selected,precision,recall,f1,macro_f1,support
0,attack,0.3,False,0.6274509803921569,0.5835866261398176,0.6047244094488189,0.7644577812618343,329
0,attack,0.35,False,0.6324503311258278,0.5805471124620061,0.6053882725832013,0.7644971749962383,329
0,attack,0.4,False,0.6428571428571429,0.574468085106383,0.6067415730337079,0.7646395198433428,329
0,attack,0.45,False,0.6642599277978339,0.5592705167173252,0.6072607260726073,0.7646366735746062,329
0,attack,0.5,True,0.6996047430830039,0.5379939209726444,0.6082474226804123,0.7650562294775141,329
0,attack,0.55,False,0.7035398230088495,0.48328267477203646,0.5729729729729729,0.7560017401081968,329
0,attack,0.6000000000000001,False,0.7438423645320197,0.45896656534954405,0.5676691729323308,0.7545953299724272,329
0,attack,0.65,False,0.7861271676300579,0.4133738601823708,0.5418326693227091,0.747832005905148,329
0,attack,0.7,False,0.8053691275167785,0.364741641337386,0.502092050209205,0.7372257404030744,329
0,attack,0.75,False,0.8333333333333334,0.303951367781155,0.44543429844098,0.7221629646017526,329
0,attack,0.8,False,0.8636363636363636,0.23100303951367782,0.3645083932853717,0.7010270861906851,329
0,attack,0.8500000000000001,False,0.9491525423728814,0.1702127659574468,0.288659793814433,0.6812602688955435,329
0,attack,0.9000000000000001,False,1.0,0.06990881458966565,0.13068181818181818,0.640681598786691,329
0,attack,0.95,False,1.0,0.00303951367781155,0.00606060606060606,0.6088696203768361,329
1,investigation,0.3,True,0.823828125,0.8256018790369936,0.8247140482940659,0.7650562294775141,5109
1,investigation,0.35,False,0.8321876263647392,0.8056371109806224,0.8186971655892591,0.7625804050902582,5109
1,investigation,0.4,False,0.8379000209161264,0.7841064787629674,0.8101112234580385,0.758657637052536,5109
1,investigation,0.45,False,0.8463888282784202,0.7592483852025836,0.8004539826661164,0.75317787543173,5109
1,investigation,0.5,False,0.8539377289377289,0.730084165198669,0.7871689353170835,0.7466604552443162,5109
1,investigation,0.55,False,0.8663245356793744,0.6938735564689763,0.7705684164764699,0.7390861006040677,5109
1,investigation,0.6000000000000001,False,0.8766657956623988,0.6566842826384811,0.750895255147717,0.7306559970809229,5109
1,investigation,0.65,False,0.8828169014084507,0.6134272851830104,0.7238711167571313,0.7197800259436072,5109
1,investigation,0.7,False,0.891566265060241,0.5648854961832062,0.6915887850467289,0.7075213879322407,5109
1,investigation,0.75,False,0.9072422404566536,0.49774907026815424,0.6428210313447927,0.6903695390775444,5109
1,investigation,0.8,False,0.916923076923077,0.40829908005480525,0.5650054171180932,0.6639612843065098,5109
1,investigation,0.8500000000000001,False,0.9366065879428216,0.29496966138187514,0.4486454301875558,0.6266117675965146,5109
1,investigation,0.9000000000000001,False,0.9508196721311475,0.1475826972010178,0.2555066079295154,0.5685064831443012,5109
1,investigation,0.95,False,0.9620253164556962,0.014875709532198082,0.029298380878951428,0.5041487485004307,5109
2,mount,0.3,False,0.7680538555691554,0.885049365303244,0.8224115334207077,0.7636824487502141,1418
2,mount,0.35,False,0.7723076923076924,0.885049365303244,0.8248439040420638,0.7645595764225133,1418
2,mount,0.4,False,0.7768800497203232,0.8815232722143864,0.8259002312520647,0.7650070754511887,1418
2,mount,0.45,True,0.7829652996845425,0.8751763046544428,0.8265068265068265,0.7650562294775141,1418
2,mount,0.5,False,0.791343669250646,0.8638928067700987,0.8260283209710048,0.7648097940308456,1418
2,mount,0.55,False,0.8014608233731739,0.8511988716502116,0.8255813953488372,0.7647556305670644,1418
2,mount,0.6000000000000001,False,0.8129692832764505,0.8399153737658674,0.8262226847034339,0.7644474440221252,1418
2,mount,0.65,False,0.8242677824267782,0.8335684062059239,0.8288920056100982,0.7649607093690003,1418
2,mount,0.7,False,0.8378962536023055,0.8201692524682651,0.8289379900213827,0.7640800516357901,1418
2,mount,0.75,False,0.850566037735849,0.7947813822284908,0.8217280349981771,0.7606674290863786,1418
2,mount,0.8,False,0.8585858585858586,0.7792665726375176,0.8170055452865064,0.7588805433125185,1418
2,mount,0.8500000000000001,False,0.8739703459637562,0.7482369534555712,0.8062310030395136,0.754328957923359,1418
2,mount,0.9000000000000001,False,0.8972972972972973,0.7023977433004231,0.7879746835443039,0.7473584935037911,1418
2,mount,0.95,False,0.9343493552168816,0.5620592383638928,0.7018934390136504,0.7192851802894131,1418
