class_index,class_name,support,selected_threshold,raw_precision,raw_recall,raw_f1,decoded_precision,decoded_recall,decoded_f1
0,attack,329,0.8500000000000001,0.4691119691119691,0.7386018237082067,0.5737898465171193,0.6986301369863014,0.6200607902735562,0.6570048309178744
1,investigation,5109,0.3,0.864989939637827,0.8414562536699941,0.8530608195257466,0.8437961595273265,0.89449990213349,0.8684085510688835
2,mount,1418,0.3,0.9319371727748691,0.7531734837799718,0.8330733229329172,0.9278969957081545,0.7623413258110014,0.8370112272551297
3,other,3223,0.0,0.8322206095791002,0.8895439031957804,0.8599280143971205,0.8512164691203993,0.8467266521874031,0.8489656245139212
