epoch,train_loss,train_acc,val_loss,val_acc,val_macroF1,elapsed_s,lr_head,lr_backbone,cpu_pct,ram_gb_used,gpu_util_pct,vram_gb_used,gpu_temp_c,gpu_power_w,precision_attack,recall_attack,f1_attack,precision_investigation,recall_investigation,f1_investigation,precision_mount,recall_mount,f1_mount,precision_other,recall_other,f1_other
1,0.8472580097055173,0.6441657685901833,0.9495915577111264,0.5627542414922115,0.5156338080850171,259.27278685569763,5e-05,5e-05,50.4,6.64,nan,nan,nan,nan,0.12914639540026537,0.8875379939209727,0.2254826254826255,0.8283093053735255,0.37110980622431006,0.5125709651257097,0.9324894514767933,0.4675599435825106,0.6228276186002819,0.5855126608551267,0.8752714861929879,0.7016540231314514
2,0.6203550669046405,0.7571764475360047,0.6194541047415918,0.7528524655223733,0.6743232594192565,220.60395646095276,5e-05,5e-05,50.6,6.62,nan,nan,nan,nan,0.6303030303030303,0.3161094224924012,0.42105263157894735,0.7872121710526315,0.7494617341945586,0.7678732577960493,0.9136546184738956,0.6417489421720733,0.7539353769676885,0.677109028120375,0.8516909711448961,0.7544317713343411
3,0.5825097991568168,0.7756441657685902,0.6720637865246288,0.7343982537950193,0.6335952398812522,211.57656502723694,5e-05,5e-05,50.6,6.6,nan,nan,nan,nan,0.2790152403282532,0.723404255319149,0.40270727580372245,0.7076853389702552,0.9174006654922685,0.7990112512785543,0.9338959212376934,0.4682651622002821,0.6237670267731329,0.9582452431289641,0.5625193918709277,0.7088954056695992
4,0.5434062158963336,0.7897031449005585,0.5519789480131179,0.7887687270562556,0.7053264145615242,206.13058471679688,5e-05,5e-05,50.8,6.62,nan,nan,nan,nan,0.3088235294117647,0.7021276595744681,0.42896935933147634,0.8029510646245798,0.8414562536699941,0.8217528433527669,0.8531711555169418,0.692524682651622,0.76449980537174,0.8627034677990092,0.7564381011479988,0.806083650190114
5,0.5274574400734472,0.7960713236014499,0.5473512205103087,0.7877765651354302,0.7212998963014006,203.50808382034302,5e-05,5e-05,50.8,6.62,nan,nan,nan,nan,0.38581314878892736,0.6778115501519757,0.49173098125689085,0.8236009732360098,0.7950675278919553,0.8090827606812071,0.9042844120328167,0.6995768688293371,0.7888667992047714,0.7669930875576036,0.8262488364877444,0.7955190440627333
6,0.5156430529261177,0.802978348192417,0.5870731689050676,0.7635678142672884,0.7283383099153352,202.0749499797821,5e-05,5e-05,50.8,6.61,nan,nan,nan,nan,0.45137614678899085,0.7477203647416414,0.562929061784897,0.8484921014839636,0.6938735564689763,0.763432755464628,0.8536585365853658,0.7898448519040903,0.8205128205128205,0.6886745796241345,0.8641017685386286,0.7664786018989954
7,0.5043076666416513,0.8077299892230821,0.5344634202634176,0.7937295366603829,0.7060970390518244,202.03169989585876,5e-05,5e-05,50.8,6.62,nan,nan,nan,nan,0.3333333333333333,0.6474164133738601,0.44008264462809915,0.8010297903641045,0.8526130358191427,0.8260168768370152,0.8927165354330708,0.6396332863187588,0.7452752670501231,0.8452779638312123,0.7831213155445237,0.8130133676920599
8,0.4936471034693867,0.81057117664348,0.572142047469785,0.7633693818831233,0.7126014165465636,202.69803762435913,5e-05,5e-05,50.9,6.6,nan,nan,nan,nan,0.3814935064935065,0.7142857142857143,0.4973544973544974,0.853940708604483,0.6934820904286553,0.765392093324692,0.8519095869056897,0.7708039492242595,0.8093298778230285,0.7003225006201935,0.8758920260626746,0.7783291976840364
9,0.4707282287562062,0.8194866268247282,0.5676078480208249,0.7876773489433475,0.7337133892494493,201.94407773017883,5e-05,5e-05,50.9,6.64,nan,nan,nan,nan,0.5452054794520548,0.6048632218844985,0.5734870317002881,0.8052126200274349,0.8042669798394989,0.8047395221308264,0.9061895551257253,0.6607898448519041,0.764274061990212,0.7531450936538999,0.8358672044678871,0.7923529411764706
10,0.4637295283774223,0.8228176741451945,0.6641803947990642,0.7512650064490525,0.6751016594027494,201.53147625923157,5e-05,5e-05,50.7,6.51,nan,nan,nan,nan,0.24911347517730498,0.8541033434650456,0.3857240905971174,0.8252299605781866,0.7375220199647681,0.7789147286821705,0.8908730158730159,0.6332863187588152,0.7403132728771641,0.7773171453953213,0.8144585789636984,0.7954545454545455
